studlab,name,year_publication,treat,r,n,weight,pasi_score,bias,indirectness,age,perc_male
1,Griffith_2010_ACCEPT,2010,AIL1223,231,556,90,20,H,1,45,0.678848283
1,Griffith_2010_ACCEPT,2010,ATA,80,347,90,20,H,1,45,0.678848283
2,Igarashi_2012,2012,AIL1223,48,126,72,30,M,2,45,0.7875
2,Igarashi_2012,2012,PBO,1,32,72,30,M,2,45,0.7875
3,Krueger_2007,2007,AIL1223,95,256,93,19,L,2,45,0.69375
3,Krueger_2007,2007,PBO,1,64,93,19,L,2,45,0.69375
4,Leonardi_2008_PHOENIX1,2008,AIL1223,200,511,93.5,20.5,L,2,45,0.693211488
4,Leonardi_2008_PHOENIX1,2008,PBO,5,255,93.5,20.5,L,2,45,0.693211488
5,Papp_2008_PHOENIX2,2008,AIL1223,382,820,91,19.5,L,2,47,0.682926829
5,Papp_2008_PHOENIX2,2008,PBO,3,410,91,19.5,L,2,47,0.682926829
6,Tsai_2011_PEARL,2011,AIL1223,30,61,74,24,L,2,41,0.851239669
6,Tsai_2011_PEARL,2011,PBO,1,60,74,24,L,2,41,0.851239669
7,Papp_2012a,2012,PBO,0,50,91,22,L,2,44.5,0.634517766
7,Papp_2012a,2012,SM,32,147,91,22,L,2,44.5,0.634517766
8,Blauvelt_2015_FEATURE,2014,AIL17,63,118,92,21,L,2,46,0.661016949
8,Blauvelt_2015_FEATURE,2014,PBO,0,59,92,21,L,2,46,0.661016949
9,Langley_2014_ERASURE,2014,AIL17,240,490,89,22,L,2,45,0.689701897
9,Langley_2014_ERASURE,2014,PBO,3,248,89,22,L,2,45,0.689701897
10,Langley_2014_FIXTURE,2014,AIL17,312,654,83,23.5,L,1,44,0.711332312
10,Langley_2014_FIXTURE,2014,ATA,67,326,83,23.5,L,1,44,0.711332312
10,Langley_2014_FIXTURE,2014,PBO,5,326,83,23.5,L,1,44,0.711332312
11,Papp_2013a,2013,AIL17,20,103,91,21,H,2,46,0.728
11,Papp_2013a,2013,PBO,1,22,91,21,H,2,46,0.728
12,Rich_2013,2013,AIL17,73,337,.,20.5,L,2,44,0.757425743
12,Rich_2013,2013,PBO,1,67,.,20.5,L,2,44,0.757425743
18,Reich_2005_EXPRESS,2005,ATA,172,301,.,23,L,2,43,0.708994709
18,Reich_2005_EXPRESS,2005,PBO,1,77,.,23,L,2,43,0.708994709
19,Torii_2010,2010,ATA,19,35,69,32,M,2,45,0.666666667
19,Torii_2010,2010,PBO,0,19,69,32,M,2,45,0.666666667
