,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,nicotine_gum ,2.2750258144,0.38517821490000004,13.4372668425,1.1035784033,0.1208529555, nicotine_patch 
1,no_treatment ,0.39057965310000003,0.010634186700000001,14.3454755787,0.5439068899,0.1208529555, nicotine_patch 
2,placebo ,0.5682346724,0.16521596630000002,1.9543549586000002,1.5866835357,0.1208529555, nicotine_patch 
3,sublingual_tablet,0.7962361579,0.1554844091,4.0775279183,1.1999874916,0.1208529555, nicotine_patch 
4, nicotine_inhaler ,1.7607250528,0.3546510731,8.7414164142,1.2232060524000001,0.1208529555, nicotine_patch 
5,nicotine_gum ,1.2920960094,0.2521460944,6.6212094271,1.1995013505,0.1208529555, nicotine_inhaler 
6,no_treatment ,0.22182887240000002,0.0064636076,7.6130934279,0.5543427542,0.1208529555, nicotine_inhaler 
7,placebo ,0.3227276579,0.1163058094,0.8955110815,1.9204656907,0.1208529555, nicotine_inhaler 
8,sublingual_tablet,0.4522206103,0.1031825544,1.9819579137,1.3264122192,0.1208529555, nicotine_inhaler 
9, nicotine_patch ,0.5679478454,0.1143979365,2.8196728444,1.2232060524000001,0.1208529555, nicotine_inhaler 
10,no_treatment ,0.1716814159,0.007464426200000001,3.9486636906,0.6251012664000001,0.1208529555,nicotine_gum 
11,placebo ,0.2497706482,0.0697177501,0.8948277401,1.5359440601,0.1208529555,nicotine_gum 
12,sublingual_tablet,0.3499899442,0.0662528198,1.8488716611,1.1775828627,0.1208529555,nicotine_gum 
13, nicotine_inhaler ,0.7739362963,0.15102980970000002,3.9659547462,1.1995013505,0.1208529555,nicotine_gum 
14, nicotine_patch ,0.4395554519,0.0744198959,2.5962008265,1.1035784033,0.1208529555,nicotine_gum 
15,nicotine_gum ,2.8572249475,0.5408704244,15.0936971827,1.1775828627,0.1208529555,sublingual_tablet
16,no_treatment ,0.4905324246,0.0140921035,17.0749568255,0.5521318414,0.1208529555,sublingual_tablet
17,placebo ,0.7136509273,0.24513033550000002,2.0776606253,1.8341688716000002,0.1208529555,sublingual_tablet
18, nicotine_inhaler ,2.2113100936,0.5045515816,9.6915608009,1.3264122192,0.1208529555,sublingual_tablet
19, nicotine_patch ,1.2559088031,0.24524663470000002,6.4315130089,1.1999874916,0.1208529555,sublingual_tablet
20,nicotine_gum ,4.0036729977,1.1175335265,14.3435495151,1.5359440601,0.1208529555,placebo 
21,no_treatment ,0.6873562492,0.0232808993,20.2938300506,0.5789875724,0.1208529555,placebo 
22,sublingual_tablet,1.4012452891,0.48131056050000004,4.0794624544,1.8341688716000002,0.1208529555,placebo 
23, nicotine_inhaler ,3.0985878515,1.1166807655,8.5980227926,1.9204656907,0.1208529555,placebo 
24, nicotine_patch ,1.7598362939,0.5116777766,6.052683784,1.5866835357,0.1208529555,placebo 
25,nicotine_gum ,5.8247422678,0.2532502331,133.9687710209,0.6251012664000001,0.1208529555,no_treatment 
26,placebo ,1.4548496521,0.049276060600000005,42.9536672185,0.5789875724,0.1208529555,no_treatment 
27,sublingual_tablet,2.0386012214,0.058565301800000004,70.9617266683,0.5521318414,0.1208529555,no_treatment 
28, nicotine_inhaler ,4.5079794577,0.1313526505,154.7123618672,0.5543427542,0.1208529555,no_treatment 
29, nicotine_patch ,2.5602972199,0.0697083896,94.0363404753,0.5439068899,0.1208529555,no_treatment 
