,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
0,Berlin,placebo , nicotine_patch ,-0.4648622297,-0.5440518207,0.079189591,0.5790361338000001
1,Oncken,placebo , nicotine_patch ,-1.2417131323000001,-0.5440518207,-0.6976613116,1.7186756977000002
2,Bollinger,placebo , nicotine_inhaler ,-1.1373983136999999,-1.1332181646,-0.0041801491,0.42348118220000003
3,Tonneson,placebo , nicotine_inhaler ,-1.0707359191,-1.1332181646,0.062482245500000005,1.6372558312
4,Garvey,placebo ,nicotine_gum ,-1.7411851833,-1.4414802204,-0.29970496290000004,0.6373232515
5,Jarvis,placebo ,nicotine_gum ,0.0674412808,-1.4414802204,1.5089215012000001,1.430033197
6,Tonneson_2,no_treatment ,nicotine_gum ,-1.7621147526,-1.7621147526,0.0,1.5615113422
7,Glover,placebo ,sublingual_tablet,-0.0090498355,-0.24061955610000002,0.2315697206,0.4670116895
8,Molander,placebo ,sublingual_tablet,-2.677480135,-0.24061955610000002,-2.4368605789,1.5149636295
9,Berlin, nicotine_patch ,placebo ,0.4648622297,0.5440518207,-0.079189591,0.5790361338000001
10,Oncken, nicotine_patch ,placebo ,1.2417131323000001,0.5440518207,0.6976613116,1.7186756977000002
11,Bollinger, nicotine_inhaler ,placebo ,1.1373983136999999,1.1332181646,0.0041801491,0.42348118220000003
12,Tonneson, nicotine_inhaler ,placebo ,1.0707359191,1.1332181646,-0.062482245500000005,1.6372558312
13,Garvey,nicotine_gum ,placebo ,1.7411851833,1.4414802204,0.29970496290000004,0.6373232515
14,Jarvis,nicotine_gum ,placebo ,-0.0674412808,1.4414802204,-1.5089215012000001,1.430033197
15,Glover,sublingual_tablet,placebo ,0.0090498355,0.24061955610000002,-0.2315697206,0.4670116895
16,Molander,sublingual_tablet,placebo ,2.677480135,0.24061955610000002,2.4368605789,1.5149636295
17,Tonneson_2,nicotine_gum ,no_treatment ,1.7621147526,1.7621147526,0.0,1.5615113422
