,comparison,direct,indirect,p-value
1,nicotine_gum :no_treatment ,5.8247422678,,
2,nicotine_gum :placebo ,4.0036729977,,
3,nicotine_gum :sublingual_tablet,,2.8572249475,
4,nicotine_gum : nicotine_inhaler ,,1.2920960094,
5,nicotine_gum : nicotine_patch ,,2.2750258144,
6,no_treatment :placebo ,,0.6873562492,
7,no_treatment :sublingual_tablet,,0.4905324246,
8,no_treatment : nicotine_inhaler ,,0.22182887240000002,
9,no_treatment : nicotine_patch ,,0.39057965310000003,
10,sublingual_tablet:placebo ,1.4012452891,,
11, nicotine_inhaler :placebo ,3.0985878515,,
12, nicotine_patch :placebo ,1.7598362939,,
13,sublingual_tablet: nicotine_inhaler ,,0.4522206103,
14,sublingual_tablet: nicotine_patch ,,0.7962361579,
15, nicotine_inhaler : nicotine_patch ,,1.7607250528,
