,Treatment,RR,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,ADA,1.6282243345,1.4283553184,1.856060918,14.9656705479,0,ETA
1,APRE,0.7216820998,0.42273045940000004,1.2320499782,3.6645790389,0,ETA
2,BIME,2.8415797099,2.5045017663999998,3.224024577,15.5222548583,0,ETA
3,BRODA,2.262709904,1.9607846059,2.6111262267,13.6853861462,0,ETA
4,CERTO,1.2465057108,0.9458015569,1.6428144738000001,7.0997332985,0,ETA
5,CICLO,0.6581692425,0.1223841682,3.5395652744,1.1650736441,0,ETA
6,DEUCRAVA,1.3135603351,0.18569331560000002,9.2918840303,1.0018400784,0,ETA
7,FUM,0.4088719361,0.1843746788,0.9067202786,2.4609759298,0,ETA
8,GUSEL,2.262972938,2.0148066118,2.5417062303,16.8738314592,0,ETA
9,IFX,4.7053953914,1.9387661789,11.4200185817,2.2105478593,0,ETA
10,IXE,2.8343642619000002,2.5448240868000003,3.1568471906,18.1892188534,0,ETA
11,MTX,0.6518127793,0.1310362457,3.2423082418,1.2217292757,0,ETA
12,NETA,0.42153631140000003,0.1900434974,0.9350115328,2.4602934312,0,ETA
13,PBO,0.09391639110000001,0.07833726220000001,0.1125937807,10.8059502032,0,ETA
14,RISAN,2.6987904099,2.3518240552,3.0969449695,14.2428967791,0,ETA
15,SECU,2.4654058205,2.2016115383,2.7608075967,17.3195645584,0,ETA
16,SONELO,2.3862400845,1.8552589445,3.0691897525,7.7872132311,0,ETA
17,TILDRA,1.7428734069,1.3909227584,2.1838795103,8.6891852988,0,ETA
18,USK,1.7745139283,1.583382237,1.9887173218,17.1985151288,0,ETA
19,ADA,0.9175607520000001,0.8366529011,1.0062927321,21.2329170609,0,USK
20,APRE,0.4066928348,0.2370712868,0.6976764841,3.6316653074,0,USK
21,BIME,1.6013284904,1.481574992,1.7307614855,25.2161754767,0,USK
22,BRODA,1.2751153248,1.16734741,1.3928322257999999,22.1963965505,0,USK
23,CERTO,0.7024490994,0.5226260875000001,0.9441448657,6.6281899866,0,USK
24,CICLO,0.370901142,0.0690701269,1.991709924,1.1661021874,0,USK
25,DEUCRAVA,0.7402367004,0.1047781998,5.2296219399,1.0024938225,0,USK
26,ETA,0.5635346018,0.5028366722000001,0.6315594407,17.1985151288,0,USK
27,FUM,0.2304134837,0.10422818290000001,0.5093667758,2.4707141954000003,0,USK
28,GUSEL,1.2752635535,1.1816770233,1.3762619556,25.7156325367,0,USK
29,IFX,2.6516531183,1.0934676795,6.430244251,2.2126160069,0,USK
30,IXE,1.5972623357,1.4623422362,1.74463057,22.2092034122,0,USK
31,MTX,0.367319055,0.0739584536,1.8243119156,1.2229154396,0,USK
32,NETA,0.2375502974,0.10743270840000001,0.5252603667,2.4700235649,0,USK
33,PBO,0.0529251361,0.0447825577,0.062548237,11.7323354535,0,USK
34,RISAN,1.520861779,1.3849166694,1.6701514264,20.9318601999,0,USK
35,SECU,1.3893414874,1.3126359736,1.4705293832000002,34.511553204,0,USK
36,SONELO,1.3447288558000001,1.0663696950000001,1.69574933,8.4507408859,0,USK
37,TILDRA,0.9821694714,0.765255094,1.2605690287,7.8539915147,0,USK
38,ADA,17.3369559384,14.5696104817,20.6299297835,11.2706820575,0,PBO
39,APRE,7.6843039998,4.4826106301,13.1727988074,3.6365377031,0,PBO
