,studlab,treat1,treat2,RR,TE_direct,TE_adj,seTE
0,ACCEPT_2010,USK,ETA,0.5889475615,0.5889475615,0.0,0.1102206823
1,FIXTURE_2014,PBO,ETA,-2.595254707,-2.4568829987000003,-0.1383717083,0.4569358859
2,Bagel 2012,PBO,ETA,-2.7080502011,-2.4568829987000003,-0.2511672024,1.0170587998
3,Leonardi_2003,PBO,ETA,-2.9957322736,-2.4568829987000003,-0.5388492749,1.0043555938
4,Papp_2005,PBO,ETA,-3.3868442523,-2.4568829987000003,-0.9299612536,1.004783653
5,Tyring_2006,PBO,ETA,-2.7816412735,-2.4568829987000003,-0.3247582748,0.5088545326
6,Vandekerkhof_2008,PBO,ETA,-1.8292425625000002,-2.4568829987000003,0.6276404362,1.0221385815
7,Bachelez_2015,PBO,ETA,-3.5471512943,-2.4568829987000003,-1.0902682956,0.9985107959
8,UNCOVER-2_2015,PBO,ETA,-3.4481236124,-2.4568829987000003,-0.9912406137,1.0030850892
9,UNCOVER-3_2015,PBO,ETA,-2.1104775897,-2.4568829987000003,0.346405409,0.411183171
10,Gottlieb_2011,PBO,ETA,-2.7672553763,-2.4568829987000003,-0.3103723776,1.0042434712
11,Strober_2011,PBO,ETA,-1.5394167632,-2.4568829987000003,0.9174662355000001,0.5910052765
12,LIBERATE_2017,PBO,ETA,-1.7465772464,-2.4568829987000003,0.7103057523,0.6067980785
13,ReSURFACE-2_2017,PBO,ETA,-2.8151982555,-2.4568829987000003,-0.35831525680000004,0.7108587965000001
14,CIMPACT_2018,PBO,ETA,-3.4456491442,-2.4568829987000003,-0.9887661455000001,1.413594344
15,FIXTURE_2014,SECU,ETA,0.8421005983000001,0.8421005983000001,0.0,0.11633556930000001
16,PIECE_2016,IFX,ETA,2.2192034841,2.2192034841,0.0,1.0082270276
17,CIMPACT_2018,CERTO,ETA,0.179393297,0.179393297,-2.7755575620000004e-17,0.1478152386
18,LIBERATE_2017,APRE,ETA,-0.3483066943,-0.3483066943,0.0,0.3435992974
