,ADA,APRE,BIME,BRODA,CERTO,CICLO,DEUCRAVA,ETA,FUM,GUSEL,IFX,IXE,MTX,NETA,PBO,RISAN,SECU,SONELO,TILDRA,USK
ADA,ADA,.,"0.60
( 0.51,   0.71)",.,.,.,.,.,.,"0.69
( 0.63,   0.76)",.,.,.,.,"15.31
(10.83,  21.64)","0.65
( 0.57,   0.75)",.,.,.,.
APRE,"2.26
( 1.31,  3.88)",APRE,.,.,.,.,.,"0.71
( 0.36,   1.38)",.,.,.,.,.,.,"6.95
( 3.38,  14.33)",.,.,.,.,.
BIME,"0.57
( 0.52,  0.63)","0.25
( 0.15,  0.44)",BIME,.,.,.,.,.,.,.,.,.,.,.,"25.52
(11.24,  57.96)",.,"1.15
( 1.07,   1.24)",.,.,"1.71
( 1.46,   2.01)"
BRODA,"0.72
( 0.63,  0.82)","0.32
( 0.18,  0.55)","1.26
( 1.12,  1.41)",BRODA,.,.,.,.,.,.,.,.,.,.,"26.60
(16.94,  41.76)",.,.,.,.,"1.27
( 1.16,   1.39)"
CERTO,"1.31
( 0.97,  1.77)","0.58
( 0.32,  1.05)","2.28
( 1.69,  3.08)","1.82
( 1.33,  2.47)",CERTO,.,.,"1.20
( 0.90,   1.60)",.,.,.,.,.,.,"19.73
( 8.28,  47.02)",.,.,.,.,.
CICLO,"2.47
( 0.46, 13.29)","1.10
( 0.19,  6.36)","4.32
( 0.80, 23.20)","3.44
( 0.64, 18.49)","1.89
( 0.34, 10.40)",CICLO,.,.,.,.,.,.,"1.01
( 0.61,   1.68)",.,.,.,.,.,.,.
DEUCRAVA,"1.24
( 0.18,  8.76)","0.55
( 0.07,  4.15)","2.16
( 0.31, 15.29)","1.72
( 0.24, 12.19)","0.95
( 0.13,  6.83)","0.50
( 0.04,  6.53)",DEUCRAVA,.,.,.,.,.,.,.,"13.99
( 1.99,  98.10)",.,.,.,.,.
ETA,"1.63
( 1.43,  1.86)","0.72
( 0.42,  1.23)","2.84
( 2.50,  3.22)","2.26
( 1.96,  2.61)","1.25
( 0.95,  1.64)","0.66
( 0.12,  3.54)","1.31
( 0.19,  9.29)",ETA,.,.,"0.11
( 0.02,   0.78)","0.34
( 0.30,   0.39)",.,.,"11.67
( 8.13,  16.74)",.,"0.43
( 0.34,   0.54)",.,"0.57
( 0.45,   0.72)","0.55
( 0.45,   0.69)"
FUM,"3.98
( 1.80,  8.82)","1.77
( 0.69,  4.54)","6.95
( 3.14, 15.38)","5.53
( 2.49, 12.28)","3.05
( 1.32,  7.06)","1.61
( 0.30,  8.76)","3.21
( 0.39, 26.15)","2.45
( 1.10,  5.42)",FUM,.,.,.,"0.50
( 0.05,   5.22)",.,"4.47
( 2.01,   9.95)",.,.,.,.,.
GUSEL,"0.72
( 0.67,  0.78)","0.32
( 0.19,  0.55)","1.26
( 1.16,  1.36)","1.00
( 0.89,  1.12)","0.55
( 0.41,  0.74)","0.29
( 0.05,  1.56)","0.58
( 0.08,  4.10)","0.44
( 0.39,  0.50)","0.18
( 0.08,  0.40)",GUSEL,.,"0.77
( 0.70,   0.85)",.,.,"27.76
(16.21,  47.55)",.,"0.91
( 0.84,   0.98)",.,.,.
