,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,unique_id,studlab.orig,rob,year,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio,effect_size1,outcome1_direction,treat.orig1,treat.orig2,treat_class1,treat_class2,rsae1,rsae2,n.orig1,n.orig2,r11,r12,n12
0,ACCEPT_2010,ETA,USK,-0.5889475615,0.1102206823,80.0,347,231.0,556,0.0,0,1,ACCEPT_2010,3,2010,0,903,45.0,613.0,19.0,,90.0,20.0,874.0,592.0,510.0,103.0,RR,beneficial,ETA,USK,ATA,AIL1223,4.0,8.0,347,556,80.0,231.0,556
1,Igarashi_2012,USK,PBO,2.5006550067999997,0.990780917,48.0,126,1.0,32,0.0,0,2,Igarashi_2012,2,2012,0,160,45.0,126.0,16.0,26,72.0,30.0,158.0,107.0,119.0,1.0,RR,beneficial,USK,PBO,AIL1223,PBO,3.0,2.0,126,32,48.0,1.0,32
2,Krueger_2007,USK,PBO,3.1675825305,0.9954873509000001,95.0,256,1.0,64,0.0,0,3,Krueger_2007,1,2007,0,320,45.0,222.0,18.0,,93.0,19.0,,,,,RR,beneficial,USK,PBO,AIL1223,PBO,9.0,1.0,256,64,95.0,1.0,64
3,PHOENIX1_2008,USK,PBO,2.9937734091,0.446230304,200.0,511,5.0,255,0.0,0,4,PHOENIX1_2008,1,2008,0,766,45.0,531.0,20.0,,93.5,20.5,726.0,492.0,424.0,392.0,RR,beneficial,USK,PBO,AIL1223,PBO,6.0,2.0,511,255,200.0,5.0,255
4,PHOENIX2_2008,PBO,USK,-4.1536611394,0.5764482612,3.0,410,382.0,820,0.0,0,5,PHOENIX2_2008,1,2008,0,1230,47.0,840.0,20.0,,91.0,19.5,1173.0,829.0,688.0,466.0,RR,beneficial,PBO,USK,PBO,AIL1223,8.0,13.0,410,820,3.0,382.0,820
5,PEARL_2011,USK,PBO,3.3846680797,1.0001366027,30.0,61,1.0,60,0.0,0,6,PEARL_2011,1,2011,0,121,41.0,103.0,13.0,,74.0,24.0,118.0,101.0,86.0,22.0,RR,beneficial,USK,PBO,AIL1223,PBO,0.0,2.0,61,60,30.0,1.0,60
6,FEATURE_2015,SECU,PBO,4.1552504384,1.4108516897,63.0,118,0.0,59,0.5,0,7,FEATURE_2015,1,2014,0,177,46.0,117.0,19.0,,92.0,21.0,,,88.0,77.0,RR,beneficial,SECU,PBO,AIL17,PBO,4.0,1.0,118,59,63.0,0.0,59
7,ERASURE_2014,SECU,PBO,3.7010499897,0.5756969043,240.0,490,3.0,248,0.0,0,8,ERASURE_2014,1,2014,0,738,45.0,509.0,17.5,30,89.0,22.0,,,361.0,216.0,RR,beneficial,SECU,PBO,AIL17,PBO,10.0,4.0,490,248,240.0,3.0,248
8,FIXTURE_2014,PBO,ETA,-2.595254707,0.4569358859,5.0,326,67.0,326,0.0,0,9,FIXTURE_2014,1,2014,0,1306,44.0,929.0,16.5,34,83.0,23.5,,,796.0,163.0,RR,beneficial,PBO,ETA,PBO,ATA,6.0,3.0,326,326,5.0,67.0,326
9,FIXTURE_2014,PBO,SECU,-3.4373553053,0.44565523840000004,5.0,326,312.0,654,0.0,0,9,FIXTURE_2014,1,2014,0,1306,44.0,929.0,16.5,34,83.0,23.5,,,796.0,163.0,RR,beneficial,PBO,SECU,PBO,AIL17,6.0,11.0,326,654,5.0,312.0,654
10,FIXTURE_2014,ETA,SECU,-0.8421005983000001,0.11633556930000001,67.0,326,312.0,654,0.0,0,9,FIXTURE_2014,1,2014,0,1306,44.0,929.0,16.5,34,83.0,23.5,,,796.0,163.0,RR,beneficial,ETA,SECU,ATA,AIL17,3.0,11.0,326,654,67.0,312.0,654
11,Papp_2013a,SECU,PBO,1.4520457387,0.9974150173,20.0,103,1.0,22,0.0,0,10,Papp_2013a,3,2013,0,125,46.0,91.0,18.0,,91.0,21.0,,84.0,77.0,36.0,RR,beneficial,SECU,PBO,AIL17,PBO,3.0,2.0,103,22,20.0,1.0,22
12,Rich_2013,SECU,PBO,2.6750691302,0.9979007455000001,73.0,337,1.0,67,0.0,0,11,Rich_2013,1,2013,0,404,44.0,306.0,17.0,,,20.5,,263.0,292.0,119.0,RR,beneficial,SECU,PBO,AIL17,PBO,12.0,1.0,337,67,73.0,1.0,67
13,Flystrom_2008,MTX,CICLO,-0.7633021672,0.5598794989,4.0,41,9.0,43,0.0,0,14,Flystrom_2008,3,2007,0,84,46.5,55.0,,,86.0,15.0,,58.0,8.0,0.0,RR,beneficial,MTX,CICLO,CSA,CSA,,,41,43,4.0,9.0,43
14,Heydendael_2003,CICLO,MTX,-0.1941560144,0.29120019810000003,14.0,44,17.0,44,0.0,0,15,Heydendael_2003,3,2003,0,88,42.5,57.0,,,,13.5,,71.0,13.0,,RR,beneficial,CICLO,MTX,CSA,CSA,,,44,44,14.0,17.0,44
15,EXPRESS_2005,IFX,PBO,3.7841896339,0.9947384990000001,172.0,301,1.0,77,0.0,0,17,EXPRESS_2005,1,2005,0,378,43.0,268.0,19.0,,,23.0,,,,,RR,beneficial,IFX,PBO,ATA,PBO,17.0,2.0,301,77,172.0,1.0,77
16,Torii_2010,PBO,IFX,-3.0644434152,1.404218995,0.0,19,19.0,35,0.5,0,18,Torii_2010,2,2010,0,54,45.0,36.0,13.0,25,69.0,32.0,54.0,36.0,,,RR,beneficial,PBO,IFX,PBO,ATA,1.0,1.0,19,35,0.0,19.0,35
17,Papp_2012a,BRODA,PBO,3.7597501046,1.4067581984,89.0,160,0.0,38,0.5,0,19,Papp_2012a,1,2012,0,198,42.5,127.0,19.0,30,90.0,19.0,187.0,110.0,141.0,78.0,RR,beneficial,BRODA,PBO,AIL17,PBO,2.0,1.0,160,38,89.0,0.0,38
18,ESTEEM-1_2015,PBO,APRE,-3.3177384063,1.0064076507,1.0,282,55.0,562,0.0,0,20,ESTEEM-1_2015,1,2015,0,844,46.5,573.0,19.5,31,93.5,19.0,,,314.0,242.0,RR,beneficial,PBO,APRE,PBO,SM,8.0,12.0,282,562,1.0,55.0,562
19,Asahina_2010,PBO,ADA,-3.7681432849,1.4098896276000001,0.0,46,57.0,123,0.5,0,21,Asahina_2010,2,2010,0,169,45.0,143.0,14.0,,70.0,28.0,163.0,43.0,71.0,0.0,RR,beneficial,PBO,ADA,PBO,ATA,2.0,4.0,46,123,0.0,57.0,123
20,Gordon_2006,ADA,PBO,3.6539500383,1.4137746287000001,35.0,96,0.0,52,0.5,0,22,Gordon_2006,1,2006,0,148,44.0,99.0,20.0,,95.0,16.0,,,,,RR,beneficial,ADA,PBO,ATA,PBO,14.0,0.0,96,52,35.0,0.0,52
21,REVEAL_2008,PBO,ADA,-2.9899003953000003,0.3318166474,9.0,398,366.0,814,0.0,0,23,REVEAL_2008,1,2008,0,1212,44.0,803.0,18.0,,93.0,19.0,908.0,197.0,276.0,150.0,RR,beneficial,PBO,ADA,PBO,ATA,7.0,15.0,398,814,9.0,366.0,814
22,Bagel 2012,PBO,ETA,-2.7080502011,1.0170587998,1.0,62,15.0,62,0.0,0,25,Bagel 2012,1,2012,0,124,40.5,69.0,15.0,30,,15.5,,,,,RR,beneficial,PBO,ETA,PBO,ATA,,,62,62,1.0,15.0,62
23,Gottlieb_2003a,ETA,PBO,,,,57,,55,0.0,0,28,Gottlieb_2003a,3,2003,0,112,47.5,70.0,21.5,,91.5,19.0,,97.0,82.0,,RR,beneficial,ETA,PBO,ATA,PBO,2.0,2.0,57,55,,,55
24,Leonardi_2003,ETA,PBO,2.9957322736,1.0043555938,60.0,504,1.0,168,0.0,0,29,Leonardi_2003,1,2003,0,672,45.0,439.0,19.0,,,18.0,,,,,RR,beneficial,ETA,PBO,ATA,PBO,,,504,168,60.0,1.0,168
25,Papp_2005,PBO,ETA,-3.3868442523,1.004783653,1.0,204,59.0,407,0.0,0,30,Papp_2005,2,2005,0,611,45.0,382.0,19.0,,,16.5,,,,,RR,beneficial,PBO,ETA,PBO,ATA,,,204,407,1.0,59.0,407
26,Tyring_2006,PBO,ETA,-2.7816412735,0.5088545326,4.0,309,65.0,311,0.0,0,31,Tyring_2006,1,2006,0,620,46.0,419.0,20.0,,,18.0,,,,,RR,beneficial,PBO,ETA,PBO,ATA,3.0,6.0,309,311,4.0,65.0,311
27,Vandekerkhof_2008,PBO,ETA,-1.8292425625000002,1.0221385815,1.0,46,13.0,96,0.0,0,32,Vandekerkhof_2008,1,2008,0,143,45.0,84.0,18.0,,,21.0,,,,,RR,beneficial,PBO,ETA,PBO,ATA,3.0,2.0,46,96,1.0,13.0,96
28,Fallaharani_2011,MTX,FUM,0.6931471806,1.1972189997,2.0,30,1.0,30,0.0,0,35,Fallaharani_2011,3,2011,0,60,42.0,36.0,16.5,;,85.0,16.5,50.0,29.0,33.0,4.0,RR,beneficial,MTX,FUM,CSA,CSA,,,30,30,2.0,1.0,30
29,Leonardi_2012,PBO,IXE,-3.3098476031,1.4044107872,0.0,27,57.0,115,0.5,0,38,Leonardi_2012,1,2012,0,142,46.0,81.0,16.0,,93.0,18.0,,,,,RR,beneficial,PBO,IXE,PBO,AIL17,1.0,2.0,27,115,0.0,57.0,115
30,EXPRESS-II_2007,PBO,IFX,-4.449551124,0.9987358912000001,1.0,208,258.0,627,0.0,0,40,EXPRESS-II_2007,1,2007,0,835,44.0,551.0,18.0,,92.0,20.0,768.0,,,117.0,RR,beneficial,PBO,IFX,PBO,ATA,5.0,12.0,208,627,1.0,258.0,627
31,Gottlieb_2004a,IFX,PBO,3.2685314153,0.9925449982000001,102.0,198,1.0,51,0.0,0,42,Gottlieb_2004a,1,2004,0,249,44.0,174.0,17.0,,,19.0,226.0,171.0,216.0,81.0,RR,beneficial,IFX,PBO,ATA,PBO,12.0,0.0,198,51,102.0,1.0,51
32,Hunter_1963,PBO,MTX,-0.9903987040000001,1.5994504551,0.0,17,1.0,19,0.5,0,50,Hunter_1963,3,1963,0,41,,,,,,,,,,,RR,beneficial,PBO,MTX,PBO,CSA,,,17,19,0.0,1.0,19
33,Reich_2012a,CERTO,PBO,3.2017813915,0.9971379265,50.0,118,1.0,58,0.0,0,52,Reich_2012a,1,2012,0,176,43.0,123.0,20.0,27,82.0,21.0,,,,41.0,RR,beneficial,CERTO,PBO,ATA,PBO,7.0,1.0,118,58,50.0,1.0,58
34,Yang_2012,IFX,PBO,3.9556717701,1.4095411364000001,48.0,84,0.0,45,0.5,0,55,Yang_2012,3,2012,0,129,40.0,95.0,16.0,,68.0,,,,,,RR,beneficial,IFX,PBO,ATA,PBO,1.0,0.0,84,45,48.0,0.0,45
35,Meffert_1997,PBO,CICLO,,,,43,,84,0.0,0,58,Meffert_1997,3,1997,0,127,,,,,,16.0,,,,,RR,beneficial,PBO,CICLO,PBO,CSA,0.0,5.0,43,84,,,84
36,LOTUS_2013,PBO,USK,,,,162,,160,0.0,0,59,LOTUS_2013,2,2013,0,322,40.0,248.0,14.0,,70.0,23.0,309.0,120.0,132.0,30.0,RR,beneficial,PBO,USK,PBO,AIL1223,1.0,1.0,162,160,,,160
37,ESTEEM-2_2015,APRE,PBO,1.7953892373,0.7285491927000001,24.0,275,2.0,138,0.0,0,66,ESTEEM-2_2015,1,2015,0,413,45.5,276.0,18.5,31,91.0,19.5,,,159.0,136.0,RR,beneficial,APRE,PBO,SM,PBO,5.0,3.0,275,138,24.0,2.0,138
38,Bachelez_2015,PBO,ETA,-3.5471512943,0.9985107959,1.0,108,108.0,336,0.0,0,67,Bachelez_2015,1,2015,0,444,44.0,304.0,17.5,,81.0,19.5,,318.0,,49.0,RR,beneficial,PBO,ETA,PBO,ATA,2.0,7.0,108,336,1.0,108.0,336
39,Gordon_2015_X-PLORE,PBO,ADA,-2.9209084818,1.0027792585,1.0,42,19.0,43,0.0,0,68,Gordon_2015_X-PLORE,3,2015,0,293,47.0,207.0,19.0,31,92.0,21.0,283.0,154.0,147.0,126.0,RR,beneficial,PBO,ADA,PBO,ATA,1.0,1.0,42,43,1.0,19.0,43
40,Gordon_2015_X-PLORE,PBO,GUSEL,-2.9748425171,0.9908037456000001,1.0,42,97.0,208,0.0,0,68,Gordon_2015_X-PLORE,3,2015,0,293,47.0,207.0,19.0,31,92.0,21.0,283.0,154.0,147.0,126.0,RR,beneficial,PBO,GUSEL,PBO,AIL23,1.0,3.0,42,208,1.0,97.0,208
41,Gordon_2015_X-PLORE,ADA,GUSEL,-0.0539340353,0.18675478850000002,19.0,43,97.0,208,0.0,0,68,Gordon_2015_X-PLORE,3,2015,0,293,47.0,207.0,19.0,31,92.0,21.0,283.0,154.0,147.0,126.0,RR,beneficial,ADA,GUSEL,ATA,AIL23,1.0,3.0,43,208,19.0,97.0,208
42,UNCOVER-2_2015,ETA,IXE,-1.2479186832,0.1135659037,67.0,358,455.0,698,0.0,0,69,UNCOVER-2_2015,1,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0,RR,beneficial,ETA,IXE,ATA,AIL17,8.0,13.0,358,698,67.0,455.0,698
43,UNCOVER-2_2015,ETA,PBO,3.4481236124,1.0030850892,67.0,358,1.0,168,0.0,0,69,UNCOVER-2_2015,1,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0,RR,beneficial,ETA,PBO,ATA,PBO,8.0,2.0,358,168,67.0,1.0,168
44,UNCOVER-2_2015,IXE,PBO,4.6960422956,0.9974030061,455.0,698,1.0,168,0.0,0,69,UNCOVER-2_2015,1,2015,0,1224,45.0,821.0,19.0,31,91.0,21.0,1007.0,570.0,606.0,288.0,RR,beneficial,IXE,PBO,AIL17,PBO,13.0,2.0,698,168,455.0,1.0,168
45,UNCOVER-3_2015,ETA,IXE,-0.9549880218000001,0.0907457383,98.0,382,514.0,771,0.0,0,70,UNCOVER-3_2015,1,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0,RR,beneficial,ETA,IXE,ATA,AIL17,5.0,15.0,382,771,98.0,514.0,771
46,UNCOVER-3_2015,ETA,PBO,2.1104775897,0.411183171,98.0,382,6.0,193,0.0,0,70,UNCOVER-3_2015,1,2015,0,1346,46.0,918.0,18.0,30.5,91.0,21.0,1063.0,522.0,615.0,209.0,RR,beneficial,ETA,PBO,ATA,PBO,5.0,5.0,382,193,98.0,6.0,193
