,comparison,k,direct,nma,indirect,p-value
1,ADA:APRE,0,,2.2561517528,2.2561517528,
2,ADA:BIME,1,0.6026216969,0.5729997047000001,0.5579111524,0.4370839788
3,ADA:BRODA,0,,0.7195904043,0.7195904043,
4,ADA:CERTO,0,,1.3062309466,1.3062309466,
5,ADA:CICLO,0,,2.4738687703,2.4738687703,
6,ADA:DEUCRAVA,0,,1.2395504729,1.2395504729,
7,ADA:ETA,0,,1.6282243345,1.6282243345,
8,ADA:FUM,0,,3.9822354896,3.9822354896,
9,ADA:GUSEL,3,0.6888569240000001,0.7195067635,0.7901515295,0.09979484
10,ADA:IFX,0,,0.34603347840000004,0.34603347840000004,
11,ADA:IXE,0,,0.5744583914,0.5744583914,
12,ADA:MTX,0,,2.4979938814000002,2.4979938814000002,
13,ADA:NETA,0,,3.8625956779,3.8625956779,
14,ADA:PBO,8,15.3125565949,17.3369559384,18.0796602242,0.4159879248
15,ADA:RISAN,1,0.6540318686000001,0.6033163333,0.5557425114,0.1021466806
16,ADA:SECU,0,,0.660428527,0.660428527,
17,ADA:SONELO,0,,0.6823388582000001,0.6823388582000001,
18,ADA:TILDRA,0,,0.9342183592000001,0.9342183592000001,
19,ADA:USK,0,,0.9175607520000001,0.9175607520000001,
20,APRE:BIME,0,,0.25397214700000004,0.25397214700000004,
21,APRE:BRODA,0,,0.3189459235,0.3189459235,
22,APRE:CERTO,0,,0.5789641344,0.5789641344,
23,APRE:CICLO,0,,1.096499279,1.096499279,
24,APRE:DEUCRAVA,0,,0.5494091749000001,0.5494091749000001,
25,APRE:ETA,1,0.7058823529,0.7216820998,0.7494916588,0.9155677831000001
26,APRE:FUM,0,,1.7650565768000002,1.7650565768000002,
27,APRE:GUSEL,0,,0.3189088512,0.3189088512,
28,APRE:IFX,0,,0.1533733172,0.1533733172,
29,APRE:IXE,0,,0.2546186845,0.2546186845,
30,APRE:MTX,0,,1.1071923147,1.1071923147,
31,APRE:NETA,0,,1.7120283124,1.7120283124,
32,APRE:PBO,5,6.9546813624,7.6843039998,8.7065609473,0.6847928492
33,APRE:RISAN,0,,0.2674094651,0.2674094651,
34,APRE:SECU,0,,0.292723451,0.292723451,
35,APRE:SONELO,0,,0.30243482390000004,0.30243482390000004,
36,APRE:TILDRA,0,,0.41407602930000004,0.41407602930000004,
37,APRE:USK,0,,0.4066928348,0.4066928348,
38,BIME:BRODA,0,,1.2558303232,1.2558303232,
39,BIME:CERTO,0,,2.2796363349,2.2796363349,
40,BIME:CICLO,0,,4.3173997303,4.3173997303,
41,BIME:DEUCRAVA,0,,2.1632654656,2.1632654656,
42,BIME:ETA,0,,2.8415797099,2.8415797099,
43,BIME:FUM,0,,6.9498037385,6.9498037385,
44,BIME:GUSEL,0,,1.2556843532,1.2556843532,
45,BIME:IFX,0,,0.6038981793,0.6038981793,
46,BIME:IXE,0,,1.0025457024,1.0025457024,
47,BIME:MTX,0,,4.3595029127,4.3595029127,
48,BIME:NETA,0,,6.741008148,6.741008148,
49,BIME:PBO,3,25.5225794083,30.2564832016,30.4987293715,0.6774206342
50,BIME:RISAN,0,,1.0529086288,1.0529086288,
51,BIME:SECU,1,1.1506702413,1.1525809205,1.1583271588,0.9290388871
52,BIME:SONELO,0,,1.1908188654,1.1908188654,
53,BIME:TILDRA,0,,1.6303993731,1.6303993731,
54,BIME:USK,1,1.7114341756,1.6013284904,1.5693581821,0.3557842155
