,comparison,direct,indirect,p-value
1,ADA:BIME,0.6026216969,0.5579111524,0.4370839788
2,ADA:GUSEL,0.6888569240000001,0.7901515295,0.09979484
3,ADA:PBO,15.3125565949,18.0796602242,0.4159879248
4,ADA:RISAN,0.6540318686000001,0.5557425114,0.1021466806
5,APRE:ETA,0.7058823529,0.7494916588,0.9155677831000001
6,APRE:PBO,6.9546813624,8.7065609473,0.6847928492
7,BIME:PBO,25.5225794083,30.4987293715,0.6774206342
8,BIME:SECU,1.1506702413,1.1583271588,0.9290388871
9,BIME:USK,1.7114341756,1.5693581821,0.3557842155
10,BRODA:PBO,26.6006313004,23.622304621,0.6375371522000001
11,BRODA:USK,1.2700166812,1.476051496,0.5909529903
12,CERTO:ETA,1.1964912281,1.8671768143,0.3610893928
13,CERTO:PBO,19.7279593038,12.4690971935,0.3359232106
14,ETA:IFX,0.1086956522,0.2516533127,0.4567971054
15,ETA:IXE,0.3433042459,0.36765996570000004,0.5415941750000001
16,ETA:PBO,11.6683844285,10.3230877097,0.5650801487
17,ETA:SECU,0.43080462480000004,0.3977031119,0.5507652789
18,ETA:TILDRA,0.5680756943,0.6436110093,0.7687619344000001
19,ETA:USK,0.5549109872,0.5668954779,0.8691879
20,FUM:MTX,0.5,0.7698315247,0.7938504655
21,FUM:PBO,4.4699646642,2.903209677,0.7938504655
22,GUSEL:IXE,0.7733007733,0.8592795239000001,0.2220360328
23,GUSEL:PBO,27.7649338757,23.7260621779,0.5865882684
24,GUSEL:SECU,0.9083881721,0.9392259025,0.6244258989
25,IFX:PBO,42.5525807976,98.5181808682,0.4567971054
26,IXE:PBO,37.6523842126,29.5085288172,0.4264505656
27,IXE:USK,1.4074129652,1.7135904815,0.036198401000000005
28,MTX:PBO,5.8064193541,8.9399293289,0.7938504655
29,PBO:RISAN,0.0444177593,0.0338331799,0.36463475030000003
30,PBO:SECU,0.043992353500000005,0.0367982896,0.4034955787
31,PBO:SONELO,0.015333701000000002,0.039741550300000004,0.5011486893
32,PBO:TILDRA,0.0579774402,0.053227624700000004,0.8332395574
33,PBO:USK,0.0559922086,0.0518208794,0.6859538310000001
34,RISAN:SECU,1.1239457488,1.0761958585,0.6443436142
35,RISAN:USK,1.6536334732,1.440827809,0.1591334005
36,SECU:SONELO,1.0382491971,0.3061470389,0.5011486893
37,SECU:USK,1.3979261997,1.3715336385999999,0.7583502013000001
