,unique_id,name,treat,treat_class,rsae,n,bias,rpasi90m,nm,year_publication,co_intervention,sample_size,age,male,duration_pso,bmi,weight,pasi_score,previous_topical,previous_photo,previous_systemic,previous_bio
0,1,ACCEPT_2010,ETA,ATA,4.0,347,H,80.0,347,2010,0,903,45.0,613.0,19.0,,90.0,20.0,874.0,592.0,510.0,103.0
1,1,ACCEPT_2010,USK,AIL1223,8.0,556,H,231.0,556,2010,0,903,45.0,613.0,19.0,,90.0,20.0,874.0,592.0,510.0,103.0
2,2,Igarashi_2012,USK,AIL1223,3.0,126,M,48.0,126,2012,0,160,45.0,126.0,16.0,26,72.0,30.0,158.0,107.0,119.0,1.0
3,2,Igarashi_2012,PBO,PBO,2.0,32,M,1.0,32,2012,0,160,45.0,126.0,16.0,26,72.0,30.0,158.0,107.0,119.0,1.0
4,3,Krueger_2007,USK,AIL1223,9.0,256,L,95.0,256,2007,0,320,45.0,222.0,18.0,,93.0,19.0,,,,
5,3,Krueger_2007,PBO,PBO,1.0,64,L,1.0,64,2007,0,320,45.0,222.0,18.0,,93.0,19.0,,,,
6,4,PHOENIX1_2008,USK,AIL1223,6.0,511,L,200.0,511,2008,0,766,45.0,531.0,20.0,,93.5,20.5,726.0,492.0,424.0,392.0
7,4,PHOENIX1_2008,PBO,PBO,2.0,255,L,5.0,255,2008,0,766,45.0,531.0,20.0,,93.5,20.5,726.0,492.0,424.0,392.0
8,5,PHOENIX2_2008,PBO,PBO,8.0,410,L,3.0,410,2008,0,1230,47.0,840.0,20.0,,91.0,19.5,1173.0,829.0,688.0,466.0
9,5,PHOENIX2_2008,USK,AIL1223,13.0,820,L,382.0,820,2008,0,1230,47.0,840.0,20.0,,91.0,19.5,1173.0,829.0,688.0,466.0
10,6,PEARL_2011,USK,AIL1223,0.0,61,L,30.0,61,2011,0,121,41.0,103.0,13.0,,74.0,24.0,118.0,101.0,86.0,22.0
11,6,PEARL_2011,PBO,PBO,2.0,60,L,1.0,60,2011,0,121,41.0,103.0,13.0,,74.0,24.0,118.0,101.0,86.0,22.0
12,7,FEATURE_2015,SECU,AIL17,4.0,118,L,63.0,118,2014,0,177,46.0,117.0,19.0,,92.0,21.0,,,88.0,77.0
13,7,FEATURE_2015,PBO,PBO,1.0,59,L,0.0,59,2014,0,177,46.0,117.0,19.0,,92.0,21.0,,,88.0,77.0
14,8,ERASURE_2014,SECU,AIL17,10.0,490,L,240.0,490,2014,0,738,45.0,509.0,17.5,30,89.0,22.0,,,361.0,216.0
15,8,ERASURE_2014,PBO,PBO,4.0,248,L,3.0,248,2014,0,738,45.0,509.0,17.5,30,89.0,22.0,,,361.0,216.0
16,9,FIXTURE_2014,PBO,PBO,6.0,326,L,5.0,326,2014,0,1306,44.0,929.0,16.5,34,83.0,23.5,,,796.0,163.0
17,9,FIXTURE_2014,ETA,ATA,3.0,326,L,67.0,326,2014,0,1306,44.0,929.0,16.5,34,83.0,23.5,,,796.0,163.0
18,9,FIXTURE_2014,SECU,AIL17,11.0,654,L,312.0,654,2014,0,1306,44.0,929.0,16.5,34,83.0,23.5,,,796.0,163.0
19,10,Papp_2013a,SECU,AIL17,3.0,103,H,20.0,103,2013,0,125,46.0,91.0,18.0,,91.0,21.0,,84.0,77.0,36.0
20,10,Papp_2013a,PBO,PBO,2.0,22,H,1.0,22,2013,0,125,46.0,91.0,18.0,,91.0,21.0,,84.0,77.0,36.0
21,11,Rich_2013,SECU,AIL17,12.0,337,L,73.0,337,2013,0,404,44.0,306.0,17.0,,,20.5,,263.0,292.0,119.0
