,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,ACE,0.9902686053,0.862249743,1.1372945236,14.1586506086,0.0079191502,CCBd
1,ACE + TLD,0.8564508433,0.6963869213,1.0533053172,9.4735648158,0.0079191502,CCBd
2,ARB,1.0267189151,0.8915267807,1.1824117384,13.8821995776,0.0079191502,CCBd
3,ARB + TTD,1.0594433614,0.8040956447000001,1.3958790144,7.1070964488,0.0079191502,CCBd
4,BB,1.1776613745,1.0271638331,1.350209449,14.334910419,0.0079191502,CCBd
5,BB + TTD,1.0158320285,0.8290226841,1.2447363985,9.6449207551,0.0079191502,CCBd
6,CCBn,1.0199372508,0.7929046707,1.3119761226,7.7841600301,0.0079191502,CCBd
7,CCBn + ACE,1.0986513574,0.3857266583,3.1292491176,1.8725344972,0.0079191502,CCBd
8,TLD,1.0219735043,0.7065060763000001,1.4783027049,5.3093647297,0.0079191502,CCBd
9,TTD,1.1256889677,0.9480271712,1.3366448667,11.4107812927,0.0079191502,CCBd
10,placebo,1.141733822,1.006772754,1.2947868476,15.5805237627,0.0079191502,CCBd
11,ACE,0.9644982583,0.8578178664,1.0844456925000001,16.721234419,0.0079191502,ARB
12,ACE + TLD,0.8341629152000001,0.6915519962000001,1.0061828654,10.4538694852,0.0079191502,ARB
13,ARB + TTD,1.0318728386,0.7944022992,1.3403304046,7.4940531324,0.0079191502,ARB
14,BB,1.1470143943,1.0054507266,1.3085096922,14.8793185763,0.0079191502,ARB
15,BB + TTD,0.9893964293,0.7934406573,1.2337473323,8.8801763005,0.0079191502,ARB
16,CCBd,0.9739764071,0.845729087,1.1216712965,13.8821995776,0.0079191502,ARB
17,CCBn,0.9933948189,0.7611828408,1.2964470735,7.3613753215,0.0079191502,ARB
18,CCBn + ACE,1.0700605017,0.3763293259,3.0426262282,1.8755875993000002,0.0079191502,ARB
19,TLD,0.9953780819,0.6719152051,1.4745573822,4.9873979508,0.0079191502,ARB
20,TTD,1.0963944962,0.8912994585,1.3486835203,9.4639410856,0.0079191502,ARB
21,placebo,1.1120218058,1.0158962546,1.2172428937,21.6793600212,0.0079191502,ARB
22,ACE,1.1562468681,0.95286066,1.4030454568000001,10.1309843689,0.0079191502,ACE + TLD
23,ARB,1.1988065901,0.9938551275,1.4460228666,10.4538694852,0.0079191502,ACE + TLD
24,ARB + TTD,1.2370159591,0.9207107868000001,1.6619860493,6.637063834,0.0079191502,ACE + TLD
25,BB,1.3750484148,1.1190579779,1.6895980195,9.5144845399,0.0079191502,ACE + TLD
26,BB + TTD,1.1860949596,0.9070685743,1.5509535808,7.3078812829,0.0079191502,ACE + TLD
27,CCBd,1.1676093354,0.9493923402000001,1.4359833152,9.4735648158,0.0079191502,ACE + TLD
28,CCBn,1.1908882555,0.8763352130000001,1.618347427,6.3904834508,0.0079191502,ACE + TLD
29,CCBn + ACE,1.2827955813,0.44655132880000004,3.6850511847,1.8573926674,0.0079191502,ACE + TLD
30,TLD,1.1932658042,0.7831415864,1.8181683928,4.6540818598,0.0079191502,ACE + TLD
31,TTD,1.3143649474,1.017240748,1.698275672,7.6484877864000005,0.0079191502,ACE + TLD
32,placebo,1.3330990692,1.1311713698,1.5710732924,11.9328362037,0.0079191502,ACE + TLD
33,ACE,0.8797000182,0.7143865531,1.0832680412,9.4159807927,0.0079191502,TTD
34,ACE + TLD,0.7608236982000001,0.5888325532,0.9830514575,7.6484877864000005,0.0079191502,TTD
35,ARB,0.9120804632,0.7414637941000001,1.1219573741,9.4639410856,0.0079191502,TTD
36,ARB + TTD,0.9411510567,0.6871744372,1.2889963065,6.2318076718,0.0079191502,TTD
37,BB,1.0461694201,0.8503070366000001,1.2871473579,9.4552111299,0.0079191502,TTD
38,BB + TTD,0.9024091536000001,0.6950611613000001,1.1716124074,7.5076173374,0.0079191502,TTD
39,CCBd,0.8883448526000001,0.7481418774,1.0548220878,11.4107812927,0.0079191502,TTD
40,CCBn,0.9060560067000001,0.6709224457,1.2235952045,6.5236007409,0.0079191502,TTD
41,CCBn + ACE,0.9759812781,0.33874134510000004,2.8119964364000003,1.8521903322000002,0.0079191502,TTD
42,TLD,0.907864902,0.6044944787000001,1.363484216,4.8192410278,0.0079191502,TTD
43,placebo,1.0142533638,0.8331468259,1.2347282064,9.9645075205,0.0079191502,TTD
44,ACE,0.8408772052,0.7251857739,0.9750252966,13.2416527212,0.0079191502,BB
45,ACE + TLD,0.7272471203,0.5918567544000001,0.8936087493,9.5144845399,0.0079191502,BB
46,ARB,0.8718286405000001,0.7642281948,0.9945788228,14.8793185763,0.0079191502,BB
47,ARB + TTD,0.8996162941,0.6832457026000001,1.1845072328,7.1243246211,0.0079191502,BB
48,BB + TTD,0.8625841438,0.6865489099000001,1.0837558614,8.5868786575,0.0079191502,BB
49,CCBd,0.8491405268000001,0.7406258346,0.9735545273,14.334910419,0.0079191502,BB
50,CCBn,0.8660700545000001,0.659513592,1.1373190004,7.1936315436000005,0.0079191502,BB
51,CCBn + ACE,0.9329093924,0.3270393323,2.6612087555,1.8698228636,0.0079191502,BB
52,TLD,0.8677991199,0.5862328244,1.2846010682,4.9968994084,0.0079191502,BB
53,TTD,0.9558681231,0.7769118228,1.1760457775,9.4552111299,0.0079191502,BB
54,placebo,0.9694924592,0.8561481455000001,1.0978422757,15.7645904914,0.0079191502,BB
55,ACE,0.9013492758,0.3178191103,2.5562670421,1.8802574348,0.0079191502,CCBn + ACE
56,ACE + TLD,0.7795474311,0.2713666513,2.2393842218,1.8573926674,0.0079191502,CCBn + ACE
