,OR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0,1.2371573064,1.0361792095,1,36,ACE,ARB,0.3721242119,4.113030413,0.7021886368,1.5290298049,,,2.6617149088,0.0,0.0
1,1.0148741549,1.0361792095,1,59,ACE,ARB,0.672672518,1.5311604425,0.7021886368,1.5290298049,,,22.7122688476,0.0,0.0
2,0.7228688267000001,0.9101712548,2,36,ACE,CCBd,0.2339899065,2.2331704322,0.5603355546000001,1.4784207539,,,3.0193721255,0.0,0.0
3,0.9590271493,0.9101712548,2,76,ACE,CCBd,0.5603669764,1.6413049160000002,0.5603355546000001,1.4784207539,,,13.3050970081,0.0,0.0
4,1.6891891892,1.6891891892,3,14,ACE,CCBn,0.3147645148,9.0650628744,0.3147645148,9.0650628744,,,1.3607708805,,
5,0.8277027027,0.8598865094,4,14,ACE,placebo,0.1788397868,3.8307569928,0.6444298540000001,1.1473782671000001,0.5383245618,1.3735297656,1.6363863877,0.0,0.0
6,0.9385659635,0.8598865094,4,27,ACE,placebo,0.3397035317,2.5931613469,0.6444298540000001,1.1473782671000001,0.5383245618,1.3735297656,3.7193713129,0.0,0.0
7,0.7549841712,0.8598865094,4,37,ACE,placebo,0.4726807498,1.2058902312,0.6444298540000001,1.1473782671000001,0.5383245618,1.3735297656,17.5182743631,0.0,0.0
8,0.9303258145000001,0.8598865094,4,62,ACE,placebo,0.5463232281,1.5842381884,0.6444298540000001,1.1473782671000001,0.5383245618,1.3735297656,13.5563875126,0.0,0.0
9,0.9478098303,0.8598865094,4,69,ACE,placebo,0.5058658937,1.7758530189,0.6444298540000001,1.1473782671000001,0.5383245618,1.3735297656,9.7440550687,0.0,0.0
10,0.9161842284,0.7461856972,5,5,ACE + TLD,placebo,0.5530239181000001,1.5178250216,0.4745448035,1.1733203916,,,10.4762196359,0.0291150522,0.26921134420000004
11,0.5754417834000001,0.7461856972,5,70,ACE + TLD,placebo,0.3178330028,1.0418466398,0.4745448035,1.1733203916,,,8.2750924832,0.0291150522,0.26921134420000004
12,0.8422056253,0.8432474531,6,20,ARB,BB,0.3005948176,2.3596891023,0.5386124476,1.3201816451,,,3.6191092815,0.0,0.0
13,0.8434909233000001,0.8432474531,6,49,ARB,BB,0.5126994755000001,1.3877075590999999,0.5386124476,1.3201816451,,,15.4982606008,0.0,0.0
14,0.5842982319000001,0.5842982319000001,7,36,ARB,CCBd,0.1825626475,1.8700672262,0.1825626475,1.8700672262,,,2.838567231,,
15,1.7774851876,1.7774851876,8,20,ARB,TTD,0.5701483381,5.5414589169,0.5701483381,5.5414589169,,,2.9711922111,,
16,0.9943741210000001,0.9267481710000001,9,4,ARB,placebo,0.6376556266,1.5506487376,0.7300348542,1.1764673529,0.548898193,1.5647021312,19.4587053999,0.0,0.0
