,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
0,36,ARB,CCBd,-0.5373437555,-0.5373437555,0.0,0.3522904052
1,2,TTD,CCBd,0.24488079340000002,0.23320936620000002,0.0116714272,0.081166577
2,18,TTD,CCBd,0.20508748640000002,0.23320936620000002,-0.028121879800000003,0.1614174116
3,57,TTD,CCBd,0.08004270770000001,0.23320936620000002,-0.1531666585,0.4703608362
4,12,BB,CCBd,0.1815735526,0.1830681134,-0.0014945608,0.050515296300000005
5,30,BB,CCBd,0.2235388864,0.1830681134,0.040470773,0.2628674804
6,36,ACE,CCBd,-0.3245275025,-0.0556811611,-0.2688463414,0.33119468500000004
7,76,ACE,CCBd,-0.0418358945,-0.0556811611,0.013845266600000001,0.0751591664
8,75,TLD,CCBd,0.002283106,0.002283106,0.0,0.1818030219
9,76,BB + TTD,CCBd,0.0179777582,0.0179777582,0.0,0.0744266324
10,3,placebo,CCBd,0.0307488949,0.0421169849,-0.01136809,0.0709021289
11,67,placebo,CCBd,0.2328899508,0.0421169849,0.1907729659,0.2904517113
12,36,CCBd,ARB,0.5373437555,0.5373437555,0.0,0.3522904052
13,20,TTD,ARB,-0.5751995494000001,-0.5751995494000001,0.0,0.3365652334
14,20,BB,ARB,0.171731084,0.1702849935,0.0014460905,0.2763110816
15,49,BB,ARB,0.17020613780000002,0.1702849935,-7.88557e-05,0.06452336980000001
16,36,ACE,ARB,0.212816253,0.0174478401,0.1953684129,0.37569763640000003
17,59,ACE,ARB,0.014764619500000001,0.0174478401,-0.0026832206000000003,0.0440290667
18,4,placebo,ARB,0.0056417639,0.067331182,-0.061689418100000004,0.051390880300000004
19,68,placebo,ARB,0.0714746765,0.067331182,0.0041434945,0.041574474300000004
20,74,placebo,ARB,0.12147611330000001,0.067331182,0.054144931300000004,0.0936333614
21,79,placebo,ARB,0.1510285689,0.067331182,0.0836973869,0.0752392431
22,5,placebo,ACE + TLD,0.0875378118,0.24725167550000002,-0.1597138637,0.06633922760000001
23,70,placebo,ACE + TLD,0.5526172143,0.24725167550000002,0.3053655388,0.0917295187
24,2,CCBd,TTD,-0.24488079340000002,-0.23320936620000002,-0.0116714272,0.081166577
25,18,CCBd,TTD,-0.20508748640000002,-0.23320936620000002,0.028121879800000003,0.1614174116
26,57,CCBd,TTD,-0.08004270770000001,-0.23320936620000002,0.1531666585,0.4703608362
27,20,ARB,TTD,0.5751995494000001,0.5751995494000001,0.0,0.3365652334
28,20,BB,TTD,0.7469306334,0.7469306334,0.0,0.3282996378
29,9,placebo,TTD,0.2117481716,0.2117481716,0.0,0.2019884869
30,12,CCBd,BB,-0.1815735526,-0.1830681134,0.0014945608,0.050515296300000005
31,30,CCBd,BB,-0.2235388864,-0.1830681134,-0.040470773,0.2628674804
32,20,ARB,BB,-0.171731084,-0.1702849935,-0.0014460905,0.2763110816
33,49,ARB,BB,-0.17020613780000002,-0.1702849935,7.88557e-05,0.06452336980000001
34,20,TTD,BB,-0.7469306334,-0.7469306334,0.0,0.3282996378
35,13,placebo,BB,0.9735764524,0.051891106000000006,0.9216853464,0.5311165487
36,28,placebo,BB,-0.0380085918,0.051891106000000006,-0.0898996978,0.1547849634
37,44,placebo,BB,0.0751828342,0.051891106000000006,0.0232917282,0.1191172587
38,77,placebo,BB,0.018671251700000002,0.051891106000000006,-0.033219854300000004,0.1694740606
39,14,ACE,CCBn + ACE,-0.0033840980000000003,-0.0033840980000000003,0.0,0.6377838261000001
40,14,CCBn,CCBn + ACE,-0.5276327421,-0.5276327421,0.0,0.7348853633
41,14,placebo,CCBn + ACE,0.1857171458,0.1857171458,0.0,0.6111119846
42,36,CCBd,ACE,0.3245275025,0.0556811611,0.2688463414,0.33119468500000004
43,76,CCBd,ACE,0.0418358945,0.0556811611,-0.013845266600000001,0.0751591664
44,36,ARB,ACE,-0.212816253,-0.0174478401,-0.1953684129,0.37569763640000003
45,59,ARB,ACE,-0.014764619500000001,-0.0174478401,0.0026832206000000003,0.0440290667
46,14,CCBn + ACE,ACE,0.0033840980000000003,0.0033840980000000003,0.0,0.6377838261000001
47,14,CCBn,ACE,-0.5242486441,-0.5242486441,0.0,0.7348775715
48,76,BB + TTD,ACE,0.059813652700000004,0.059813652700000004,6.938893904000001e-18,0.0748218155
49,14,placebo,ACE,0.1891012438,0.17604208000000002,0.0130591638,0.6111026146
50,27,placebo,ACE,0.06340213930000001,0.17604208000000002,-0.11263994070000001,0.26886264260000003
51,37,placebo,ACE,0.2810584953,0.17604208000000002,0.1050164153,0.057083248
52,62,placebo,ACE,0.07222041600000001,0.17604208000000002,-0.10382166400000001,0.0737659645
53,69,placebo,ACE,0.0536013978,0.17604208000000002,-0.1224406822,0.10262667780000001
54,14,CCBn + ACE,CCBn,0.5276327421,0.5276327421,0.0,0.7348853633
55,14,ACE,CCBn,0.5242486441,0.5242486441,0.0,0.7348775715
56,86,TLD,CCBn,0.1192146751,0.1192146751,0.0,0.48885007010000003
57,19,BB + TTD,CCBn,-0.012116760800000001,-0.0162763342,0.0041595734,0.0757694492
58,58,BB + TTD,CCBn,-0.0201731183,-0.0162763342,-0.0038967841,0.07333696020000001
59,14,placebo,CCBn,0.7133498879,0.7133498879,0.0,0.7118530002
60,38,placebo,ARB + TTD,0.0748043641,0.0748043641,0.0,0.0880861503
61,75,CCBd,TLD,-0.002283106,-0.002283106,0.0,0.1818030219
62,86,CCBn,TLD,-0.1192146751,-0.1192146751,0.0,0.48885007010000003
63,76,CCBd,BB + TTD,-0.0179777582,-0.0179777582,0.0,0.0744266324
64,76,ACE,BB + TTD,-0.059813652700000004,-0.059813652700000004,-6.938893904000001e-18,0.0748218155
65,19,CCBn,BB + TTD,0.012116760800000001,0.0162763342,-0.0041595734,0.0757694492
66,58,CCBn,BB + TTD,0.0201731183,0.0162763342,0.0038967841,0.07333696020000001
67,3,CCBd,placebo,-0.0307488949,-0.0421169849,0.01136809,0.0709021289
68,67,CCBd,placebo,-0.2328899508,-0.0421169849,-0.1907729659,0.2904517113
69,4,ARB,placebo,-0.0056417639,-0.067331182,0.061689418100000004,0.051390880300000004
70,68,ARB,placebo,-0.0714746765,-0.067331182,-0.0041434945,0.041574474300000004
71,74,ARB,placebo,-0.12147611330000001,-0.067331182,-0.054144931300000004,0.0936333614
72,79,ARB,placebo,-0.1510285689,-0.067331182,-0.0836973869,0.0752392431
73,5,ACE + TLD,placebo,-0.0875378118,-0.24725167550000002,0.1597138637,0.06633922760000001
74,70,ACE + TLD,placebo,-0.5526172143,-0.24725167550000002,-0.3053655388,0.0917295187
75,9,TTD,placebo,-0.2117481716,-0.2117481716,0.0,0.2019884869
76,13,BB,placebo,-0.9735764524,-0.051891106000000006,-0.9216853464,0.5311165487
77,28,BB,placebo,0.0380085918,-0.051891106000000006,0.0898996978,0.1547849634
78,44,BB,placebo,-0.0751828342,-0.051891106000000006,-0.0232917282,0.1191172587
79,77,BB,placebo,-0.018671251700000002,-0.051891106000000006,0.033219854300000004,0.1694740606
80,14,CCBn + ACE,placebo,-0.1857171458,-0.1857171458,0.0,0.6111119846
81,14,ACE,placebo,-0.1891012438,-0.17604208000000002,-0.0130591638,0.6111026146
82,27,ACE,placebo,-0.06340213930000001,-0.17604208000000002,0.11263994070000001,0.26886264260000003
83,37,ACE,placebo,-0.2810584953,-0.17604208000000002,-0.1050164153,0.057083248
84,62,ACE,placebo,-0.07222041600000001,-0.17604208000000002,0.10382166400000001,0.0737659645
85,69,ACE,placebo,-0.0536013978,-0.17604208000000002,0.1224406822,0.10262667780000001
86,14,CCBn,placebo,-0.7133498879,-0.7133498879,0.0,0.7118530002
87,38,ARB + TTD,placebo,-0.0748043641,-0.0748043641,0.0,0.0880861503
