,ACE,ACE + TLD,ARB,ARB + TTD,BB,BB + TTD,CCBd,CCBn,CCBn + ACE,TLD,TTD,placebo
ACE,ACE,.,"1.03
(0.85,1.24)",.,.,"0.94
(0.75,1.18)","0.93
(0.75,1.16)","1.69
(0.40,7.21)","1.00
(0.28,3.52)",.,.,"0.86
(0.76,0.98)"
ACE + TLD,"1.16
(0.95,1.40)",ACE + TLD,.,.,.,.,.,.,.,.,.,"0.75
(0.64,0.88)"
ARB,"0.96
(0.86,1.08)","0.83
(0.69,1.01)",ARB,.,"0.84
(0.69,1.03)",.,"0.58
(0.29,1.19)",.,.,.,"1.78
(0.90,3.52)","0.92
(0.83,1.03)"
ARB + TTD,"0.93
(0.72,1.22)","0.81
(0.60,1.09)","0.97
(0.75,1.26)",ARB + TTD,.,.,.,.,.,.,.,"0.93
(0.73,1.19)"
BB,"0.84
(0.73,0.98)","0.73
(0.59,0.89)","0.87
(0.76,0.99)","0.90
(0.68,1.18)",BB,.,"1.21
(1.00,1.45)",.,.,.,"2.11
(1.08,4.11)","0.94
(0.78,1.14)"
BB + TTD,"0.97
(0.79,1.20)","0.84
(0.64,1.10)","1.01
(0.81,1.26)","1.04
(0.75,1.44)","1.16
(0.92,1.46)",BB + TTD,"1.02
(0.81,1.28)","0.98
(0.84,1.16)",.,.,.,.
CCBd,"0.99
(0.86,1.14)","0.86
(0.70,1.05)","1.03
(0.89,1.18)","1.06
(0.80,1.40)","1.18
(1.03,1.35)","1.02
(0.83,1.24)",CCBd,.,.,"1.00
(0.67,1.48)","0.80
(0.66,0.97)","0.95
(0.77,1.17)"
CCBn,"0.97
(0.75,1.25)","0.84
(0.62,1.14)","1.01
(0.77,1.31)","1.04
(0.73,1.48)","1.15
(0.88,1.52)","1.00
(0.85,1.17)","0.98
(0.76,1.26)",CCBn,"0.59
(0.14,2.52)","0.89
(0.34,2.35)",.,"0.49
(0.12,2.00)"
CCBn + ACE,"0.90
(0.32,2.56)","0.78
(0.27,2.24)","0.93
(0.33,2.66)","0.96
(0.33,2.81)","1.07
(0.38,3.06)","0.92
(0.32,2.65)","0.91
(0.32,2.59)","0.93
(0.32,2.67)",CCBn + ACE,.,.,"0.83
(0.25,2.79)"
TLD,"0.97
(0.66,1.43)","0.84
(0.55,1.28)","1.00
(0.68,1.49)","1.04
(0.66,1.64)","1.15
(0.78,1.71)","0.99
(0.66,1.49)","0.98
(0.68,1.42)","1.00
(0.65,1.53)","1.08
(0.36,3.25)",TLD,.,.
TTD,"0.88
(0.71,1.08)","0.76
(0.59,0.98)","0.91
(0.74,1.12)","0.94
(0.69,1.29)","1.05
(0.85,1.29)","0.90
(0.70,1.17)","0.89
(0.75,1.05)","0.91
(0.67,1.22)","0.98
(0.34,2.81)","0.91
(0.60,1.36)",TTD,"0.81
(0.53,1.25)"
placebo,"0.87
(0.78,0.96)","0.75
(0.64,0.88)","0.90
(0.82,0.98)","0.93
(0.73,1.19)","1.03
(0.91,1.17)","0.89
(0.72,1.10)","0.88
(0.77,0.99)","0.89
(0.69,1.16)","0.96
(0.34,2.73)","0.90
(0.61,1.32)","0.99
(0.81,1.20)",placebo
