,comparison,k,direct,nma,indirect,p-value
1,ACE:ACE + TLD,0,,1.1562468681,1.1562468681,
2,ACE:ARB,2,1.0274183593,0.9644982583,0.9268046258,0.4013067314
3,ACE:ARB + TTD,0,,0.9347065085,0.9347065085,
4,ACE:BB,0,,0.8408772052,0.8408772052,
5,ACE:BB + TTD,1,0.9419400452000001,0.9748349900000001,1.1220572156,0.5050339377
6,ACE:CCBd,2,0.9313915213,0.9902686053,1.0333736398,0.46932555140000004
7,ACE:CCBn,1,1.6891891892,0.9709113032000001,0.954174857,0.4474090679
8,ACE:CCBn + ACE,1,0.9966216216,0.9013492758,0.7265501986,0.7819840880000001
9,ACE:TLD,0,,0.9689767896,0.9689767896,
10,ACE:TTD,0,,0.8797000182,0.8797000182,
11,ACE:placebo,5,0.8618072328,0.8673375407,0.8770622358,0.8713683006
12,ACE + TLD:ARB,0,,0.8341629152000001,0.8341629152000001,
13,ACE + TLD:ARB + TTD,0,,0.8083970078,0.8083970078,
14,ACE + TLD:BB,0,,0.7272471203,0.7272471203,
15,ACE + TLD:BB + TTD,0,,0.8431028156,0.8431028156,
16,ACE + TLD:CCBd,0,,0.8564508433,0.8564508433,
17,ACE + TLD:CCBn,0,,0.8397093475,0.8397093475,
18,ACE + TLD:CCBn + ACE,0,,0.7795474311,0.7795474311,
19,ACE + TLD:TLD,0,,0.8380362502,0.8380362502,
20,ACE + TLD:TTD,0,,0.7608236982000001,0.7608236982000001,
21,ACE + TLD:placebo,2,0.7501317968,0.7501317968,,
22,ARB:ARB + TTD,0,,0.9691116604000001,0.9691116604000001,
23,ARB:BB,2,0.8433296367,0.8718286405000001,0.8937301223,0.6691825649
24,ARB:BB + TTD,0,,1.0107172114,1.0107172114,
25,ARB:CCBd,1,0.5842982319000001,1.0267189151,1.0506718039,0.1134626184
26,ARB:CCBn,0,,1.0066490996,1.0066490996,
27,ARB:CCBn + ACE,0,,0.9345265977,0.9345265977,
28,ARB:TLD,0,,1.0046433794,1.0046433794,
29,ARB:TTD,1,1.7774851876,0.9120804632,0.8523726754000001,0.0442741258
30,ARB:placebo,4,0.9236980305,0.8992629414000001,0.8431379703,0.3675198159
31,ARB + TTD:BB,0,,0.8996162941,0.8996162941,
32,ARB + TTD:BB + TTD,0,,1.042931638,1.042931638,
33,ARB + TTD:CCBd,0,,1.0594433614,1.0594433614,
34,ARB + TTD:CCBn,0,,1.0387338639,1.0387338639,
35,ARB + TTD:CCBn + ACE,0,,0.9643126131,0.9643126131,
36,ARB + TTD:TLD,0,,1.0366642158,1.0366642158,
37,ARB + TTD:TTD,0,,0.9411510567,0.9411510567,
38,ARB + TTD:placebo,1,0.9279250040000001,0.9279250040000001,,
39,BB:BB + TTD,0,,1.1593071901,1.1593071901,
40,BB:CCBd,2,1.2051403895,1.1776613745,1.1476710433,0.7265905979
41,BB:CCBn,0,,1.1546410072,1.1546410072,
42,BB:CCBn + ACE,0,,1.0719154594,1.0719154594,
43,BB:TLD,0,,1.1523404174,1.1523404174,
44,BB:TTD,1,2.1105121294,1.0461694201,0.9704709902,0.0299451975
45,BB:placebo,4,0.94497676,1.031467538,1.1024888543,0.228643858
46,BB + TTD:CCBd,1,1.0181403309000001,1.0158320285,1.0067224105,0.9652138449000001
47,BB + TTD:CCBn,2,0.983931364,0.9959750246000001,1.3874893080000001,0.4308415372
48,BB + TTD:CCBn + ACE,0,,0.9246172788,0.9246172788,
49,BB + TTD:TLD,0,,0.9939905723,0.9939905723,
50,BB + TTD:TTD,0,,0.9024091536000001,0.9024091536000001,
51,BB + TTD:placebo,0,,0.8897275432,0.8897275432,
52,CCBd:CCBn,0,,0.9804524732000001,0.9804524732000001,
53,CCBd:CCBn + ACE,0,,0.9102068579,0.9102068579,
54,CCBd:TLD,1,0.9977194983000001,0.9784989491,0.8630627614,0.7930392755
55,CCBd:TTD,3,0.7973375234000001,0.8883448526000001,1.3306834151,0.0170940447
56,CCBd:placebo,2,0.9458999098,0.8758608887,0.83832002,0.3657375697
57,CCBn:CCBn + ACE,1,0.59,0.9283538803,1.5537952786,0.3707903417
58,CCBn:TLD,1,0.887617231,0.998007528,1.0261050041,0.7930392755
59,CCBn:TTD,0,,0.9060560067000001,0.9060560067000001,
60,CCBn:placebo,1,0.49,0.8933231468,0.9123673406,0.39438461900000005
61,CCBn + ACE:TLD,0,,1.0750291987,1.0750291987,
62,CCBn + ACE:TTD,0,,0.9759812781,0.9759812781,
63,CCBn + ACE:placebo,1,0.8305084746,0.9622657542,1.468451052,0.6389999654
64,TLD:TTD,0,,0.907864902,0.907864902,
65,TLD:placebo,0,,0.8951066217,0.8951066217,
66,placebo:TTD,1,1.2358366271,1.0142533638,0.9633483212,0.3148386955
