,comparison,direct,indirect,p-value
1,ACE:ARB,1.0274183593,0.9268046258,0.4013067314
2,ACE:BB + TTD,0.9419400452000001,1.1220572156,0.5050339377
3,ACE:CCBd,0.9313915213,1.0333736398,0.46932555140000004
4,ACE:CCBn,1.6891891892,0.954174857,0.4474090679
5,ACE:CCBn + ACE,0.9966216216,0.7265501986,0.7819840880000001
6,ACE:placebo,0.8618072328,0.8770622358,0.8713683006
7,ARB:BB,0.8433296367,0.8937301223,0.6691825649
8,ARB:CCBd,0.5842982319000001,1.0506718039,0.1134626184
9,ARB:TTD,1.7774851876,0.8523726754000001,0.0442741258
10,ARB:placebo,0.9236980305,0.8431379703,0.3675198159
11,BB:CCBd,1.2051403895,1.1476710433,0.7265905979
12,BB:TTD,2.1105121294,0.9704709902,0.0299451975
13,BB:placebo,0.94497676,1.1024888543,0.228643858
14,BB + TTD:CCBd,1.0181403309000001,1.0067224105,0.9652138449000001
15,BB + TTD:CCBn,0.983931364,1.3874893080000001,0.4308415372
16,CCBd:TLD,0.9977194983000001,0.8630627614,0.7930392755
17,CCBd:TTD,0.7973375234000001,1.3306834151,0.0170940447
18,CCBd:placebo,0.9458999098,0.83832002,0.3657375697
19,CCBn:CCBn + ACE,0.59,1.5537952786,0.3707903417
20,CCBn:TLD,0.887617231,1.0261050041,0.7930392755
21,CCBn:placebo,0.49,0.9123673406,0.39438461900000005
22,CCBn + ACE:placebo,0.8305084746,1.468451052,0.6389999654
23,placebo:TTD,1.2358366271,0.9633483212,0.3148386955
