,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,amit,1.0278689323,0.8023955094,1.316700467,7.9146733623,0.0319122128,agom
1,bupr,1.13402632,0.7608560932,1.6902219827,4.9112288357,0.0319122128,agom
2,cita,0.8803972671,0.6745306158000001,1.1490943922,7.3585677489,0.0319122128,agom
3,clom,0.8278606896,0.6246892567,1.0971107859,6.9604607508,0.0319122128,agom
4,dulo,0.9456416124,0.7233316188000001,1.2362767447,7.3135456922,0.0319122128,agom
5,esci,1.1076505193,0.8707524765,1.4089993495,8.1449925554,0.0319122128,agom
6,fluo,0.829793101,0.6729339171000001,1.0232157614,9.3543020953,0.0319122128,agom
7,fluv,0.8229421585000001,0.61570333,1.09993525,6.7558094221000005,0.0319122128,agom
8,miln,0.9292354809000001,0.687067545,1.2567593758,6.4915799598,0.0319122128,agom
9,mirt,1.0556916876,0.8109643027000001,1.3742712665,7.4319158087,0.0319122128,agom
10,nefa,0.8659083408,0.5655619438,1.3257562021,4.6013793031,0.0319122128,agom
11,paro,0.9862701602,0.7975573249,1.2196350012,9.2288886645,0.0319122128,agom
12,rebo,0.6976131187,0.4876857471,0.9979050367000001,5.4749606529,0.0319122128,agom
13,sert,0.9191025418000001,0.71923071,1.1745180936,7.9929690113,0.0319122128,agom
14,traz,0.7333937524,0.5305939395,1.0137062565,6.0552563645,0.0319122128,agom
15,venl,0.9854761165,0.7905003379000001,1.2285423924,8.8905497747,0.0319122128,agom
16,vort,1.3742993099,0.7812179524,2.4176333728,3.4699778256,0.0319122128,agom
17,agom,0.8818137484,0.5916382642,1.3143089855,4.9112288357,0.0319122128,bupr
18,amit,0.9063889561,0.6212301263000001,1.3224422077,5.188384164,0.0319122128,bupr
19,cita,0.7763464142000001,0.5224164635,1.1537036004,4.9478239585,0.0319122128,bupr
20,clom,0.7300189378,0.4886198779,1.0906794293,4.8818683186000005,0.0319122128,bupr
21,dulo,0.8338797749,0.553974017,1.2552131645,4.7925105518,0.0319122128,bupr
22,esci,0.9767414564,0.6624612038000001,1.4401203679,5.0481637186,0.0319122128,bupr
23,fluo,0.7317229648,0.511816786,1.0461135935,5.4835105301,0.0319122128,bupr
24,fluv,0.7256817095,0.4825918451,1.0912201456,4.8046252249,0.0319122128,bupr
25,miln,0.8194126226,0.5398178920000001,1.2438213997,4.6962314116,0.0319122128,bupr
26,mirt,0.9309234442000001,0.6317870818,1.3716938569,5.0564385906,0.0319122128,bupr
27,nefa,0.7635698798,0.45659435470000004,1.276929851,3.8116776417000002,0.0319122128,bupr
28,paro,0.8697065869,0.6075329326000001,1.2450181822,5.4634220267,0.0319122128,bupr
29,rebo,0.6151648391,0.3883816672,0.9743708606,4.2617800244,0.0319122128,bupr
30,sert,0.8104772576,0.5566428524,1.1800625522,5.2169361024,0.0319122128,bupr
31,traz,0.6467166939,0.4317276239,0.9687647002,4.8501233574,0.0319122128,bupr
32,venl,0.8690063883,0.6089525613,1.2401164735,5.5116543561,0.0319122128,bupr
