,agom,amit,bupr,cita,clom,dulo,esci,fluo,fluv,miln,mirt,nefa,paro,rebo,sert,traz,venl,vort
agom,agom,.,.,.,.,"0.76
(0.44, 1.30)","1.23
(0.75, 2.02)","1.15
(0.81, 1.63)",.,.,.,.,"0.85
(0.58, 1.26)",.,.,.,"1.36
(0.86, 2.14)",.
amit,"0.97
(0.76,1.25)",amit,.,.,.,.,.,"1.07
(0.78, 1.46)","1.09
(0.66, 1.80)","1.17
(0.63, 2.16)",.,.,"1.07
(0.85, 1.36)",.,"1.28
(0.90, 1.82)","1.39
(0.74, 2.60)","1.19
(0.67, 2.09)",.
bupr,"0.88
(0.59,1.31)","0.91
(0.62,1.32)",bupr,.,.,.,.,"1.19
(0.53, 2.64)",.,.,.,.,"1.00
(0.47, 2.12)",.,"0.94
(0.12, 7.09)","2.10
(0.94, 4.68)","1.17
(0.68, 2.03)",.
cita,"1.14
(0.87,1.48)","1.17
(0.92,1.48)","1.29
(0.87,1.91)",cita,"0.57
(0.25, 1.29)",.,"0.69
(0.52, 0.91)","0.96
(0.64, 1.45)","1.11
(0.56, 2.19)",.,"1.32
(0.61, 2.89)",.,.,"1.73
(1.00, 2.98)","0.89
(0.55, 1.44)",.,"1.71
(0.89, 3.32)",.
clom,"1.21
(0.91,1.60)","1.24
(0.97,1.59)","1.37
(0.92,2.05)","1.06
(0.81,1.39)",clom,.,.,"0.61
(0.38, 0.99)","1.85
(0.65, 5.26)","0.87
(0.37, 2.03)",.,.,"0.91
(0.67, 1.23)",.,"0.95
(0.55, 1.65)","1.62
(0.70, 3.75)","0.60
(0.32, 1.12)",.
dulo,"1.06
(0.81,1.38)","1.09
(0.83,1.42)","1.20
(0.80,1.81)","0.93
(0.70,1.23)","0.88
(0.65,1.18)",dulo,"0.69
(0.46, 1.05)",.,.,.,.,.,"1.04
(0.70, 1.53)",.,.,.,"0.90
(0.62, 1.31)",.
esci,"0.90
(0.71,1.15)","0.93
(0.74,1.17)","1.02
(0.69,1.51)","0.79
(0.65,0.98)","0.75
(0.57,0.97)","0.85
(0.67,1.09)",esci,"0.98
(0.61, 1.58)",.,.,.,.,"1.09
(0.74, 1.60)",.,"0.87
(0.47, 1.64)",.,"1.21
(0.76, 1.92)",.
fluo,"1.21
(0.98,1.49)","1.24
(1.05,1.47)","1.37
(0.96,1.95)","1.06
(0.87,1.30)","1.00
(0.80,1.24)","1.14
(0.90,1.45)","1.33
(1.10,1.62)",fluo,"0.97
(0.57, 1.66)","1.17
(0.75, 1.84)","0.65
(0.44, 0.95)","0.96
(0.50, 1.86)","0.79
(0.61, 1.02)","1.01
(0.56, 1.83)","0.70
(0.53, 0.93)","0.83
(0.47, 1.47)","0.81
(0.64, 1.03)",.
fluv,"1.22
(0.91,1.62)","1.25
(0.98,1.59)","1.38
(0.92,2.07)","1.07
(0.82,1.40)","1.01
(0.76,1.34)","1.15
(0.85,1.56)","1.35
(1.03,1.76)","1.01
(0.81,1.26)",fluv,"0.58
(0.32, 1.06)","0.88
(0.55, 1.41)",.,"0.88
(0.46, 1.68)",.,"1.56
(0.82, 2.97)",.,"0.42
(0.17, 1.04)",.
miln,"1.08
(0.80,1.46)","1.11
(0.85,1.43)","1.22
(0.80,1.85)","0.95
(0.70,1.27)","0.89
(0.67,1.19)","1.02
(0.74,1.40)","1.19
(0.89,1.59)","0.89
(0.70,1.14)","0.89
(0.66,1.18)",miln,.,.,"0.95
(0.67, 1.36)",.,"2.09
(0.34,12.95)",.,.,.
mirt,"0.95
(0.73,1.23)","0.97
(0.78,1.22)","1.07
(0.73,1.58)","0.83
(0.65,1.07)","0.78
(0.60,1.02)","0.90
(0.68,1.18)","1.05
(0.82,1.34)","0.79
(0.65,0.95)","0.78
(0.61,1.00)","0.88
(0.66,1.17)",mirt,.,"0.97
(0.71, 1.33)",.,"0.97
(0.55, 1.72)","1.50
(0.78, 2.91)","1.37
(0.90, 2.08)",.
nefa,"1.15
(0.75,1.77)","1.19
(0.79,1.78)","1.31
(0.78,2.19)","1.02
(0.67,1.55)","0.96
(0.62,1.46)","1.09
(0.71,1.69)","1.28
(0.84,1.94)","0.96
(0.65,1.41)","0.95
(0.62,1.46)","1.07
(0.69,1.66)","1.22
(0.80,1.85)",nefa,"0.76
(0.42, 1.38)",.,"1.17
(0.57, 2.38)",.,.,.
paro,"1.01
(0.82,1.25)","1.04
(0.89,1.22)","1.15
(0.80,1.65)","0.89
(0.72,1.10)","0.84
(0.68,1.03)","0.96
(0.76,1.21)","1.12
(0.93,1.36)","0.84
(0.74,0.96)","0.83
(0.67,1.05)","0.94
(0.75,1.19)","1.07
(0.88,1.30)","0.88
(0.60,1.29)",paro,"1.50
(0.85, 2.62)","0.90
(0.58, 1.39)","1.72
(0.98, 3.03)","0.63
(0.39, 1.01)",.
rebo,"1.43
(1.00,2.05)","1.47
(1.05,2.06)","1.63
(1.03,2.57)","1.26
(0.91,1.75)","1.19
(0.83,1.70)","1.36
(0.94,1.96)","1.59
(1.13,2.23)","1.19
(0.87,1.62)","1.18
(0.82,1.70)","1.33
(0.91,1.94)","1.51
(1.07,2.14)","1.24
(0.77,2.01)","1.41
(1.04,1.93)",rebo,.,.,"1.04
(0.52, 2.11)",.
sert,"1.09
(0.85,1.39)","1.12
(0.92,1.35)","1.23
(0.85,1.80)","0.96
(0.77,1.20)","0.90
(0.71,1.14)","1.03
(0.79,1.34)","1.21
(0.97,1.50)","0.90
(0.77,1.06)","0.90
(0.70,1.14)","1.01
(0.77,1.32)","1.15
(0.92,1.43)","0.94
(0.64,1.39)","1.07
(0.90,1.27)","0.76
(0.54,1.06)",sert,"0.56
(0.24, 1.30)","0.85
(0.55, 1.30)",.
traz,"1.36
(0.99,1.88)","1.40
(1.06,1.86)","1.55
(1.03,2.32)","1.20
(0.87,1.65)","1.13
(0.82,1.55)","1.29
(0.92,1.81)","1.51
(1.11,2.06)","1.13
(0.87,1.48)","1.12
(0.81,1.56)","1.27
(0.90,1.78)","1.44
(1.07,1.93)","1.18
(0.75,1.86)","1.34
(1.03,1.76)","0.95
(0.64,1.41)","1.25
(0.94,1.67)",traz,"0.47
(0.20, 1.13)",.
venl,"1.01
(0.81,1.27)","1.04
(0.86,1.27)","1.15
(0.81,1.64)","0.89
(0.72,1.11)","0.84
(0.66,1.06)","0.96
(0.76,1.21)","1.12
(0.92,1.37)","0.84
(0.73,0.98)","0.84
(0.65,1.06)","0.94
(0.72,1.23)","1.07
(0.87,1.32)","0.88
(0.59,1.31)","1.00
(0.85,1.17)","0.71
(0.51,0.97)","0.93
(0.77,1.12)","0.74
(0.56,0.99)",venl,"0.72
(0.43, 1.21)"
vort,"0.73
(0.41,1.28)","0.75
(0.43,1.30)","0.83
(0.44,1.55)","0.64
(0.36,1.13)","0.60
(0.34,1.07)","0.69
(0.39,1.22)","0.81
(0.46,1.41)","0.60
(0.35,1.04)","0.60
(0.34,1.06)","0.68
(0.38,1.21)","0.77
(0.44,1.34)","0.63
(0.33,1.21)","0.72
(0.42,1.24)","0.51
(0.28,0.93)","0.67
(0.39,1.16)","0.53
(0.30,0.96)","0.72
(0.43,1.21)",vort
