,comparison,k,direct,nma,indirect,p-value
1,agom:amit,0,,0.9728866868,0.9728866868,
2,agom:bupr,0,,0.8818137484,0.8818137484,
3,agom:cita,0,,1.135850868,1.135850868,
4,agom:clom,0,,1.2079327025,1.2079327025,
5,agom:dulo,1,0.7597348799,1.0574830749,1.1778644272,0.1673094541
6,agom:esci,2,1.2303114354,0.9028118369,0.8212675752,0.1632601045
7,agom:fluo,2,1.1475240914,1.2051196845,1.2387692779,0.7312000437
8,agom:fluv,0,,1.2151522312,1.2151522312,
9,agom:miln,0,,1.0761534837,1.0761534837,
10,agom:mirt,0,,0.9472462573,0.9472462573,
11,agom:nefa,0,,1.1548566435,1.1548566435,
12,agom:paro,2,0.8541343959000001,1.0139209725,1.0903483594,0.3028785209
13,agom:rebo,0,,1.4334592817,1.4334592817,
14,agom:sert,0,,1.088017881,1.088017881,
15,agom:traz,0,,1.3635240233,1.3635240233,
16,agom:venl,2,1.3577179062,1.0147379355,0.9274967565000001,0.1503234282
17,agom:vort,0,,0.7276435292,0.7276435292,
18,amit:bupr,0,,0.9063889561,0.9063889561,
19,amit:cita,0,,1.1675058189,1.1675058189,
20,amit:clom,0,,1.2415964972,1.2415964972,
21,amit:dulo,0,,1.0869539991,1.0869539991,
22,amit:esci,0,,0.9279722389,0.9279722389,
23,amit:fluo,12,1.0658250752,1.2387050834,1.3162609367,0.2652239838
24,amit:fluv,3,1.0873803369,1.2490172265,1.3024379731,0.5367650474
25,amit:miln,2,1.1716457819000001,1.1061447323,1.0926018985,0.8395029452
26,amit:mirt,0,,0.9736449992,0.9736449992,
27,amit:nefa,0,,1.1870412651,1.1870412651,
28,amit:paro,13,1.0721636904,1.0421778674,1.0172234447,0.7501573749
29,amit:rebo,0,,1.4734082614,1.4734082614,
30,amit:sert,4,1.2766733393,1.1183397777,1.0591270644,0.3845632006
31,amit:traz,2,1.38923025,1.4015239821,1.4047003059,0.9753006156
32,amit:venl,2,1.1854918069,1.0430175984,1.025759051,0.639010496
33,amit:vort,0,,0.7479221774,0.7479221774,
34,bupr:cita,0,,1.2880847798000001,1.2880847798000001,
35,bupr:clom,0,,1.3698274773,1.3698274773,
36,bupr:dulo,0,,1.1992136398,1.1992136398,
37,bupr:esci,0,,1.023812385,1.023812385,
38,bupr:fluo,1,1.1892857143,1.3666374409,1.4149890881,0.7030503332
39,bupr:fluv,0,,1.378014613,1.378014613,
40,bupr:miln,0,,1.2203863748,1.2203863748,
41,bupr:mirt,0,,1.0742021873,1.0742021873,
42,bupr:nefa,0,,1.3096378295,1.3096378295,
43,bupr:paro,1,1.0008169935,1.1498130692,1.1982226013,0.6793687659000001
44,bupr:rebo,0,,1.6255805541,1.6255805541,
45,bupr:sert,1,0.9375,1.2338409137,1.2460074536,0.7865157933
46,bupr:traz,1,2.0952380952,1.5462721304,1.3952358292,0.39139905810000003
47,bupr:venl,1,1.1721664275,1.1507395268,1.1353505876,0.9307791192
48,bupr:vort,0,,0.8251669136,0.8251669136,
49,cita:clom,1,0.5673624288,1.0634606501,1.1466081497,0.1125224923
50,cita:dulo,0,,0.9310052091000001,0.9310052091000001,
51,cita:esci,10,0.686374287,0.7948330739,0.9385037335,0.1409008509
52,cita:fluo,2,0.9637093591,1.0609840767,1.0946506057,0.5941607894000001
53,cita:fluv,1,1.1070967742,1.0698167035,1.0629435095,0.9143892848
54,cita:miln,0,,0.9474425860000001,0.9474425860000001,
55,cita:mirt,1,1.3238146552,0.8339530162000001,0.7912755468,0.22163240380000002
56,cita:nefa,0,,1.0167326328,1.0167326328,
57,cita:paro,0,,0.8926532532,0.8926532532,
58,cita:rebo,1,1.7296037295,1.2620136341000001,1.0597057335,0.15771127270000002
59,cita:sert,3,0.8895408929,0.9578879690000001,0.9776659792000001,0.7331617037
60,cita:traz,0,,1.2004428238,1.2004428238,
61,cita:venl,2,1.7145638111000001,0.8933725053,0.825598201,0.0406147465
62,cita:vort,0,,0.6406153745000001,0.6406153745000001,
63,clom:dulo,0,,0.8754486676000001,0.8754486676000001,
64,clom:esci,0,,0.7474024299,0.7474024299,
65,clom:fluo,4,0.6101968295,0.9976712130000001,1.129445787,0.0261700884
66,clom:fluv,2,1.8541578428,1.0059767641,0.9579243591000001,0.2326890087
67,clom:miln,1,0.8695652174,0.8909051651000001,0.8938023984000001,0.9525061673
68,clom:mirt,0,,0.7841879398,0.7841879398,
69,clom:nefa,0,,0.9560604172,0.9560604172,
70,clom:paro,6,0.9100615674,0.8393853154,0.7800626356,0.4692098011
71,clom:rebo,0,,1.1867045894000001,1.1867045894000001,
72,clom:sert,2,0.9549682378000001,0.9007272332,0.8887018419,0.8170487358
73,clom:traz,1,1.6161616161999999,1.1288079382,1.0639885742,0.3671075827
74,clom:venl,2,0.6043506428000001,0.8400616470000001,0.8874347999000001,0.26175126400000004
75,clom:vort,0,,0.6023874738,0.6023874738,
76,dulo:esci,2,0.6930312795,0.8537364411,0.9552762804,0.2238756302
77,dulo:fluo,0,,1.1396113214999999,1.1396113214999999,
78,dulo:fluv,0,,1.1490985152,1.1490985152,
79,dulo:miln,0,,1.0176555155,1.0176555155,
80,dulo:mirt,0,,0.8957554781,0.8957554781,
81,dulo:nefa,0,,1.0920804984,1.0920804984,
82,dulo:paro,2,1.0371002205,0.9588058632,0.9183275070000001,0.6198477801
83,dulo:rebo,0,,1.3555387465,1.3555387465,
84,dulo:sert,0,,1.0288749833,1.0288749833,
85,dulo:traz,0,,1.289405056,1.289405056,
86,dulo:venl,2,0.8992284654,0.9595784175000001,0.9985763215000001,0.6673818436000001
87,dulo:vort,0,,0.6880900002,0.6880900002,
88,esci:fluo,2,0.9798355087,1.3348514443,1.4158972124,0.1658240165
89,esci:fluv,0,,1.345964,1.345964,
90,esci:miln,0,,1.1920019651,1.1920019651,
91,esci:mirt,0,,1.0492178089,1.0492178089,
92,esci:nefa,0,,1.2791775609,1.2791775609,
93,esci:paro,2,1.090278106,1.1230700917,1.1340659314,0.8620212584
94,esci:rebo,0,,1.5877719178,1.5877719178,
95,esci:sert,2,0.8749895573,1.2051435709,1.2593888929000001,0.2853268599
96,esci:traz,0,,1.5103080925999999,1.5103080925999999,
97,esci:venl,2,1.2100500867,1.1239750013,1.1049378525,0.7280627675
98,esci:vort,0,,0.805974733,0.805974733,
99,fluv:fluo,2,1.0315224873,0.9917437943,0.9834663405,0.8744397141
100,miln:fluo,2,0.8519963571,1.1198399696,1.2496095492000001,0.157667783
101,mirt:fluo,5,1.5452287518999999,1.2722348335,1.1943386662,0.2593195062
102,nefa:fluo,3,1.0370213761,1.0435231864,1.0469193622,0.9816129497
103,paro:fluo,9,1.2695202129,1.1885735843,1.1593971942,0.5507157738
104,rebo:fluo,2,0.9858531698,0.8407073014,0.7915682660000001,0.5352645401
105,sert:fluo,6,1.4255053666,1.1076285652,0.9715245221000001,0.0282383472
106,traz:fluo,4,1.1977006505,0.8838272475000001,0.8105546489000001,0.23382414070000002
107,venl:fluo,9,1.2384992784,1.1876166666,1.1574142299,0.6626991879
108,vort:fluo,0,,1.6561951507,1.6561951507,
109,fluv:miln,2,0.5831929804,0.8856120707,1.0059969317,0.11703823810000001
110,fluv:mirt,2,0.8771217407,0.7795288796000001,0.7439173831,0.5639287306
111,fluv:nefa,0,,0.9503802189,0.9503802189,
112,fluv:paro,2,0.8788245681,0.8343983136,0.8284078128,0.8671295915
113,fluv:rebo,0,,1.1796540754,1.1796540754,
114,fluv:sert,2,1.5572251845,0.8953757834,0.8163929013000001,0.0702747423
115,fluv:traz,0,,1.1221014029,1.1221014029,
116,fluv:venl,1,0.4229166666,0.8350706269,0.881521172,0.1217388306
117,fluv:vort,0,,0.5988085365,0.5988085365,
118,miln:mirt,0,,0.8802148315,0.8802148315,
119,miln:nefa,0,,1.0731337685,1.0731337685,
120,miln:paro,2,0.9523264085,0.9421713425,0.9343813245,0.9369068429
121,miln:rebo,0,,1.3320212251,1.3320212251,
122,miln:sert,1,2.0869565218,1.0110248189,0.9951020054,0.4313985475
123,miln:traz,0,,1.2670349016,1.2670349016,
124,miln:venl,0,,0.9429304935,0.9429304935,
125,miln:vort,0,,0.6761521848000001,0.6761521848000001,
126,mirt:nefa,0,,1.2191725589,1.2191725589,
127,mirt:paro,5,0.9733649347000001,1.0703879426,1.1309293722,0.4572435235
128,mirt:rebo,0,,1.5132910483000002,1.5132910483000002,
129,mirt:sert,1,0.9741302408,1.1486114330000001,1.1819229101,0.5380915620000001
130,mirt:traz,1,1.5027652086,1.4394609773,1.4241446554000001,0.8867210285
131,mirt:venl,2,1.3661627680000001,1.0712504037,0.9921685309,0.1949958347
132,mirt:vort,0,,0.7681672253,0.7681672253,
133,nefa:paro,2,0.7603259061000001,0.877962627,0.9716295073000001,0.5362232295
134,nefa:rebo,0,,1.2412443482,1.2412443482,
135,nefa:sert,1,1.1666666666,0.9421237581,0.8593928204,0.48215292870000004
136,nefa:traz,0,,1.1806868247,1.1806868247,
137,nefa:venl,0,,0.8786700421,0.8786700421,
138,nefa:vort,0,,0.6300726010000001,0.6300726010000001,
139,paro:rebo,1,1.4962121213000001,1.4137781155,1.3786465561,0.8122727472
140,paro:sert,2,0.8981699174000001,1.0730795698,1.1078843272,0.38742577510000004
141,paro:traz,2,1.7209308401999999,1.344803057,1.253877745,0.3341006043
142,paro:venl,2,0.6264512531,1.0008057463,1.0621534947,0.039372963000000004
143,paro:vort,0,,0.7176531001,0.7176531001,
