,Treatment,MD,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,Fluticasone,-2.6,-2.7302095318,-2.4697904682000003,15.0526614487,0.0043597815,Salmeterol
1,Placebo,0.1523468296,0.0544548382,0.2502388209,20.0220669034,0.0043597815,Salmeterol
2,SFC,-0.2476531704,-0.410555588,-0.0847507529,12.0317428631,0.0043597815,Salmeterol
3,Placebo,2.7523468296,2.5894439009,2.9152497582,12.031705119,0.0043597815,Fluticasone
4,SFC,2.3523468296,2.1438001445,2.5608935146,9.3983752362,0.0043597815,Fluticasone
5,Salmeterol,2.6,2.4697904682000003,2.7302095318,15.0526614487,0.0043597815,Fluticasone
6,Fluticasone,-2.3523468296,-2.5608935146,-2.1438001445,9.3983752362,0.0043597815,SFC
7,Placebo,0.4,0.2697911075,0.5302088925,15.0527353597,0.0043597815,SFC
8,Salmeterol,0.2476531704,0.0847507529,0.410555588,12.0317428631,0.0043597815,SFC
9,Fluticasone,-2.7523468296,-2.9152497582,-2.5894439009,12.031705119,0.0043597815,Placebo
10,SFC,-0.4,-0.5302088925,-0.2697911075,15.0527353597,0.0043597815,Placebo
11,Salmeterol,-0.1523468296,-0.2502388209,-0.0544548382,20.0220669034,0.0043597815,Placebo
