,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
0,15,dulo,agom,0.2747857488,0.2747857488,0.0,0.2100644149
1,14,esci,agom,-0.3388210339,-0.2017315848,-0.1370894491,0.3461215857
2,16,esci,agom,-0.1103480572,-0.2017315848,0.0913835276,0.282592498
3,8,fluo,agom,-0.3539150413,-0.1265629109,-0.22735213040000002,0.1875676463
4,13,fluo,agom,0.0567118049,-0.1265629109,0.18327471580000002,0.1684068265
5,10,paro,agom,0.3637255019,0.1460196717,0.2177058302,0.23450814820000002
6,12,paro,agom,-0.0136043204,0.1460196717,-0.1596239921,0.20080382970000002
7,11,venl,agom,-0.207099617,-0.3110337801,0.1039341631,0.3066072273
8,19,venl,agom,-0.37903185100000003,-0.3110337801,-0.0679980709,0.2479999092
9,52,fluo,bupr,-0.1733528868,-0.1733528868,0.0,0.3664725901
10,75,paro,bupr,-0.0008166599,-0.0008166599,0.0,0.3381307434
11,59,sert,bupr,0.0645385211,0.0645385211,0.0,1.0165300455
12,53,traz,bupr,-0.7396671962,-0.7396671962,0.0,0.36912790640000004
13,61,venl,bupr,-0.1588536841,-0.1588536841,0.0,0.2147418231
14,137,esci,cita,0.3249262456,0.37013065780000004,-0.0452044122,0.524033563
15,140,esci,cita,0.2717101269,0.37013065780000004,-0.0984205309,0.21387955790000002
16,141,esci,cita,0.7515215888,0.37013065780000004,0.38139093100000004,0.2518525458
17,147,esci,cita,0.5520685823,0.37013065780000004,0.18193792450000001,0.6130774031
18,148,esci,cita,1.3388921222,0.37013065780000004,0.9687614644,0.4873258824
19,150,esci,cita,0.10008345860000001,0.37013065780000004,-0.27004719920000003,0.7747584311
20,151,esci,cita,-0.7259370034,0.37013065780000004,-1.0960676612,1.2512359481
21,152,esci,cita,-0.161477862,0.37013065780000004,-0.5316085198,0.2843809118
22,153,esci,cita,0.2744368457,0.37013065780000004,-0.0956938121,0.7433919417
23,157,esci,cita,0.1625189295,0.37013065780000004,-0.20761172830000002,0.7558594641
24,85,fluo,cita,-0.11588933800000001,0.0340117398,-0.1499010778,0.2274308286
25,86,fluo,cita,0.1999064616,0.0340117398,0.1658947218,0.23925622170000002
26,82,clom,cita,0.5667569752,0.5667569752,0.0,0.3789586106
27,84,fluv,cita,-0.1017410701,-0.1017410701,-1.3877787810000002e-17,0.2978505346
28,263,mirt,cita,-0.2805174592,-0.2805174592,0.0,0.3567726809
29,392,rebo,cita,-0.5478923242,-0.5478923242,0.0,0.21317966530000002
30,93,sert,cita,-0.6286086594,0.1000010833,-0.7286097427,0.6247221605000001
31,137,sert,cita,1.6846613337,0.1000010833,1.5846602504,0.7937995677
32,405,sert,cita,0.06982826660000001,0.1000010833,-0.0301728167,0.2157907051
33,480,venl,cita,-0.09716374850000001,-0.4842689858,0.3871052373,0.3427027871
34,488,venl,cita,-1.9459101491,-0.4842689858,-1.4616411633,0.6659222034000001
35,15,agom,dulo,-0.2747857488,-0.2747857488,0.0,0.2100644149
36,144,esci,dulo,0.4853178642,0.3676368121,0.1176810521,0.2393108672
37,145,esci,dulo,0.2445295894,0.3676368121,-0.1231072227,0.24476590180000002
38,118,paro,dulo,0.2108866802,-0.0086793099,0.2195659901,0.1897376131
39,126,paro,dulo,-0.3659907759,-0.0086793099,-0.357311466,0.24204402930000002
40,114,venl,dulo,0.1451692912,0.1039793936,0.041189897600000004,0.22007437200000002
41,116,venl,dulo,0.073203404,0.1039793936,-0.0307759896,0.1902304908
42,14,agom,esci,0.3388210339,0.2017315848,0.1370894491,0.3461215857
43,16,agom,esci,0.1103480572,0.2017315848,-0.0913835276,0.282592498
44,137,cita,esci,-0.3249262456,-0.37013065780000004,0.0452044122,0.524033563
45,140,cita,esci,-0.2717101269,-0.37013065780000004,0.0984205309,0.21387955790000002
46,141,cita,esci,-0.7515215888,-0.37013065780000004,-0.38139093100000004,0.2518525458
47,147,cita,esci,-0.5520685823,-0.37013065780000004,-0.18193792450000001,0.6130774031
48,148,cita,esci,-1.3388921222,-0.37013065780000004,-0.9687614644,0.4873258824
49,150,cita,esci,-0.10008345860000001,-0.37013065780000004,0.27004719920000003,0.7747584311
50,151,cita,esci,0.7259370034,-0.37013065780000004,1.0960676612,1.2512359481
51,152,cita,esci,0.161477862,-0.37013065780000004,0.5316085198,0.2843809118
52,153,cita,esci,-0.2744368457,-0.37013065780000004,0.0956938121,0.7433919417
53,157,cita,esci,-0.1625189295,-0.37013065780000004,0.20761172830000002,0.7558594641
54,144,dulo,esci,-0.4853178642,-0.3676368121,-0.1176810521,0.2393108672
55,145,dulo,esci,-0.2445295894,-0.3676368121,0.1231072227,0.24476590180000002
56,131,fluo,esci,0.0569534748,0.0209868073,0.0359666675,0.285756369
57,149,fluo,esci,-0.0195670927,0.0209868073,-0.0405539,0.3034325251
58,143,paro,esci,0.1088143657,-0.10216995520000001,0.2109843209,0.2393521094
59,146,paro,esci,-0.2355660713,-0.10216995520000001,-0.13339611610000002,0.1903197071
60,136,sert,esci,-0.0740476421,0.090828035,-0.1648756771,0.29581854500000004
61,137,sert,esci,1.359735088,0.090828035,1.268907053,0.8206576197000001
62,133,venl,esci,-0.47870427050000003,-0.1890934183,-0.2896108522,0.28381999690000004
63,134,venl,esci,0.0896121587,-0.1890934183,0.27870557700000004,0.2784251131
64,169,fluo,amit,-0.896872646,-0.06811085360000001,-0.8287617924,0.5722003784
