,studlab,treat1,treat2,TE,seTE,event1,n1,event2,n2,incr,allstudies,studlab.orig,rob,effect_size1,outcome1_direction,treat.orig1,treat.orig2,r1,r2,n.orig1,n.orig2,year,year2,age_mean1,age_mean2
0,8,agom,fluo,0.3539150413,0.1875676463,177,252,164,263,0.0,0,8,1,OR,beneficial,agom,fluo,177,164,252,263,2023.0,2021.0,42.0,43.0
1,10,agom,paro,-0.3637255019,0.23450814820000002,106,167,120,168,0.0,0,10,1,OR,beneficial,agom,paro,106,120,167,168,2021.0,2021.0,43.0,42.0
2,11,agom,venl,0.207099617,0.3066072273,113,137,111,140,0.0,0,11,1,OR,beneficial,agom,venl,113,111,137,140,2021.0,2021.0,40.0,42.0
3,12,agom,paro,0.0136043204,0.20080382970000002,127,213,118,199,0.0,0,12,1,OR,beneficial,agom,paro,127,118,213,199,2021.0,2021.0,69.0,68.0
4,13,agom,fluo,-0.0567118049,0.1684068265,205,314,209,314,0.0,0,13,1,OR,beneficial,agom,fluo,205,209,314,314,2021.0,2021.0,39.0,39.0
5,14,agom,esci,0.3388210339,0.3461215857,44,71,36,67,0.0,0,14,1,OR,beneficial,agom,esci,44,36,71,67,2010.0,2010.0,41.0,41.0
6,15,agom,dulo,-0.2747857488,0.2100644149,131,202,153,216,0.0,0,15,1,OR,beneficial,agom,dulo,131,153,202,216,2010.0,2010.0,43.0,43.0
7,16,agom,esci,0.1103480572,0.282592498,134,164,128,160,0.0,0,16,1,OR,beneficial,agom,esci,134,128,164,160,2008.0,2008.0,44.0,43.0
8,19,agom,venl,0.37903185100000003,0.2479999092,126,165,115,167,0.0,0,19,2,OR,beneficial,agom,venl,126,115,165,167,2004.0,2004.0,41.0,40.0
9,52,bupr,fluo,0.1733528868,0.3664725901,37,61,35,62,0.0,0,52,2,OR,beneficial,bupr,fluo,37,35,61,62,1991.0,1991.0,41.0,43.0
10,53,bupr,traz,0.7396671962,0.36912790640000004,33,63,21,61,0.0,0,53,2,OR,beneficial,bupr,traz,33,21,63,61,1994.0,1994.0,40.0,41.0
11,59,bupr,sert,-0.0645385211,1.0165300455,3,7,4,9,0.0,0,59,2,OR,beneficial,bupr,sert,3,4,7,9,2003.0,2003.0,42.0,42.0
12,61,bupr,venl,0.1588536841,0.2147418231,86,171,82,177,0.0,0,61,2,OR,beneficial,bupr,venl,86,82,171,177,2006.0,2006.0,37.0,37.0
13,75,bupr,paro,0.0008166599,0.3381307434,35,69,36,71,0.0,0,75,2,OR,beneficial,bupr,paro,35,36,69,71,,,38.0,37.0
14,82,cita,clom,-0.5667569752,0.3789586106,23,57,31,57,0.0,0,82,1,OR,beneficial,cita,clom,23,31,57,57,1986.0,1986.0,,
15,84,cita,fluv,0.1017410701,0.2978505346,33,108,31,109,0.0,0,84,1,OR,beneficial,cita,fluv,33,31,108,109,1993.0,1993.0,,
16,85,cita,fluo,0.11588933800000001,0.2274308286,120,173,123,184,0.0,0,85,1,OR,beneficial,cita,fluo,120,123,173,184,1996.0,1996.0,44.0,43.0
17,86,cita,fluo,-0.1999064616,0.23925622170000002,102,158,109,158,0.0,0,86,2,OR,beneficial,cita,fluo,102,109,158,158,1997.0,1997.0,43.0,41.0
18,93,cita,sert,0.6286086594,0.6247221605000001,9,25,6,26,0.0,0,93,2,OR,beneficial,cita,sert,9,6,25,26,2011.0,2011.0,43.0,38.0
19,114,dulo,venl,-0.1451692912,0.22007437200000002,85,166,91,166,0.0,0,114,1,OR,beneficial,dulo,venl,85,91,166,166,2008.0,2008.0,45.0,43.0
20,116,dulo,venl,-0.073203404,0.1902304908,79,164,170,340,0.0,0,116,2,OR,beneficial,dulo,venl,79,170,164,340,2008.0,2008.0,43.0,42.0
21,118,dulo,paro,-0.2108866802,0.1897376131,144,238,157,240,0.0,0,118,2,OR,beneficial,dulo,paro,144,157,238,240,2007.0,2007.0,39.0,38.0
22,126,dulo,paro,0.3659907759,0.24204402930000002,86,140,74,141,0.0,0,126,2,OR,beneficial,dulo,paro,86,74,140,141,2014.0,2014.0,38.0,39.0
23,131,esci,fluo,-0.0569534748,0.285756369,61,102,63,103,0.0,0,131,2,OR,beneficial,esci,fluo,61,63,102,103,,,37.0,37.0
24,133,esci,venl,0.47870427050000003,0.28381999690000004,59,101,47,101,0.0,0,133,1,OR,beneficial,esci,venl,59,47,101,101,2004.0,2004.0,37.0,38.0
25,134,esci,venl,-0.0896121587,0.2784251131,113,148,113,145,0.0,0,134,1,OR,beneficial,esci,venl,113,113,148,145,2004.0,2004.0,49.0,47.0
26,136,esci,sert,0.0740476421,0.29581854500000004,75,107,74,108,0.0,0,136,1,OR,beneficial,esci,sert,75,74,107,108,2007.0,2007.0,41.0,38.0
27,137,cita,esci,-0.3249262456,0.524033563,64,74,62,69,0.0,0,137,2,OR,beneficial,cita,esci,64,62,74,69,2004.0,2004.0,33.0,33.0
28,137,cita,sert,-1.6846613337,0.7937995677,64,74,69,71,0.0,0,137,2,OR,beneficial,cita,sert,64,69,74,71,2004.0,2004.0,33.0,37.0
29,137,esci,sert,-1.359735088,0.8206576197000001,62,69,69,71,0.0,0,137,2,OR,beneficial,esci,sert,62,69,69,71,2004.0,2004.0,33.0,37.0
30,140,cita,esci,-0.2717101269,0.21387955790000002,96,182,104,175,0.0,0,140,1,OR,beneficial,cita,esci,96,104,182,175,2005.0,2005.0,46.0,46.0
31,141,cita,esci,-0.7515215888,0.2518525458,87,152,105,142,0.0,0,141,1,OR,beneficial,cita,esci,87,105,152,142,2005.0,2005.0,46.0,44.0
32,143,esci,paro,-0.1088143657,0.2393521094,112,166,111,159,0.0,0,143,1,OR,beneficial,esci,paro,112,111,166,159,2006.0,2006.0,45.0,45.0
