,comparison,direct,indirect,p-value
1,agom:dulo,0.7597348799,1.1778644272,0.1673094541
2,agom:esci,1.2303114354,0.8212675752,0.1632601045
3,agom:fluo,1.1475240914,1.2387692779,0.7312000437
4,agom:paro,0.8541343959000001,1.0903483594,0.3028785209
5,agom:venl,1.3577179062,0.9274967565000001,0.1503234282
6,amit:fluo,1.0658250752,1.3162609367,0.2652239838
7,amit:fluv,1.0873803369,1.3024379731,0.5367650474
8,amit:miln,1.1716457819000001,1.0926018985,0.8395029452
9,amit:paro,1.0721636904,1.0172234447,0.7501573749
10,amit:sert,1.2766733393,1.0591270644,0.3845632006
11,amit:traz,1.38923025,1.4047003059,0.9753006156
12,amit:venl,1.1854918069,1.025759051,0.639010496
13,bupr:fluo,1.1892857143,1.4149890881,0.7030503332
14,bupr:paro,1.0008169935,1.1982226013,0.6793687659000001
15,bupr:sert,0.9375,1.2460074536,0.7865157933
16,bupr:traz,2.0952380952,1.3952358292,0.39139905810000003
17,bupr:venl,1.1721664275,1.1353505876,0.9307791192
18,cita:clom,0.5673624288,1.1466081497,0.1125224923
19,cita:esci,0.686374287,0.9385037335,0.1409008509
20,cita:fluo,0.9637093591,1.0946506057,0.5941607894000001
21,cita:fluv,1.1070967742,1.0629435095,0.9143892848
22,cita:mirt,1.3238146552,0.7912755468,0.22163240380000002
23,cita:rebo,1.7296037295,1.0597057335,0.15771127270000002
24,cita:sert,0.8895408929,0.9776659792000001,0.7331617037
25,cita:venl,1.7145638111000001,0.825598201,0.0406147465
26,clom:fluo,0.6101968295,1.129445787,0.0261700884
27,clom:fluv,1.8541578428,0.9579243591000001,0.2326890087
28,clom:miln,0.8695652174,0.8938023984000001,0.9525061673
29,clom:paro,0.9100615674,0.7800626356,0.4692098011
30,clom:sert,0.9549682378000001,0.8887018419,0.8170487358
31,clom:traz,1.6161616161999999,1.0639885742,0.3671075827
32,clom:venl,0.6043506428000001,0.8874347999000001,0.26175126400000004
33,dulo:esci,0.6930312795,0.9552762804,0.2238756302
34,dulo:paro,1.0371002205,0.9183275070000001,0.6198477801
35,dulo:venl,0.8992284654,0.9985763215000001,0.6673818436000001
36,esci:fluo,0.9798355087,1.4158972124,0.1658240165
37,esci:paro,1.090278106,1.1340659314,0.8620212584
38,esci:sert,0.8749895573,1.2593888929000001,0.2853268599
39,esci:venl,1.2100500867,1.1049378525,0.7280627675
40,fluv:fluo,1.0315224873,0.9834663405,0.8744397141
41,miln:fluo,0.8519963571,1.2496095492000001,0.157667783
42,mirt:fluo,1.5452287518999999,1.1943386662,0.2593195062
43,nefa:fluo,1.0370213761,1.0469193622,0.9816129497
44,paro:fluo,1.2695202129,1.1593971942,0.5507157738
45,rebo:fluo,0.9858531698,0.7915682660000001,0.5352645401
46,sert:fluo,1.4255053666,0.9715245221000001,0.0282383472
47,traz:fluo,1.1977006505,0.8105546489000001,0.23382414070000002
48,venl:fluo,1.2384992784,1.1574142299,0.6626991879
49,fluv:miln,0.5831929804,1.0059969317,0.11703823810000001
50,fluv:mirt,0.8771217407,0.7439173831,0.5639287306
51,fluv:paro,0.8788245681,0.8284078128,0.8671295915
52,fluv:sert,1.5572251845,0.8163929013000001,0.0702747423
53,fluv:venl,0.4229166666,0.881521172,0.1217388306
54,miln:paro,0.9523264085,0.9343813245,0.9369068429
55,miln:sert,2.0869565218,0.9951020054,0.4313985475
56,mirt:paro,0.9733649347000001,1.1309293722,0.4572435235
57,mirt:sert,0.9741302408,1.1819229101,0.5380915620000001
58,mirt:traz,1.5027652086,1.4241446554000001,0.8867210285
59,mirt:venl,1.3661627680000001,0.9921685309,0.1949958347
60,nefa:paro,0.7603259061000001,0.9716295073000001,0.5362232295
61,nefa:sert,1.1666666666,0.8593928204,0.48215292870000004
62,paro:rebo,1.4962121213000001,1.3786465561,0.8122727472
63,paro:sert,0.8981699174000001,1.1078843272,0.38742577510000004
64,paro:traz,1.7209308401999999,1.253877745,0.3341006043
65,paro:venl,0.6264512531,1.0621534947,0.039372963000000004
66,rebo:venl,1.0446428571,0.6404995319,0.22478101420000002
67,sert:traz,0.5595463138,1.3903932025,0.0473736188
68,sert:venl,0.846960754,0.9535706208,0.6247072271
69,traz:venl,0.46951219510000003,0.7847105223,0.2764033846
