,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,amitriptyline,1.0551023831,0.8376369046000001,1.329025778,8.4918931426,0.0280045488,agomelatine
1,bupropion,1.0634356653,0.7681193915000001,1.4722911916,6.0249304114,0.0280045488,agomelatine
2,citalopram,0.904850134,0.7030333470000001,1.1646016059,7.7665284485,0.0280045488,agomelatine
3,clomipramine,0.8672724127,0.6613178104,1.1373675803,7.2293084424,0.0280045488,agomelatine
4,duloxetine,0.9453683131,0.7280871031,1.2274922102,7.505152725,0.0280045488,agomelatine
5,escitalopram,1.1178349308,0.8840068343,1.4135127512,8.3516486492,0.0280045488,agomelatine
6,fluoxetine,0.8341335802000001,0.680694576,1.0221600908,9.6418806079,0.0280045488,agomelatine
7,fluvoxamine,0.8245068439000001,0.6205393929,1.0955171315,6.8966401944,0.0280045488,agomelatine
8,milnacipran,0.9376095251000001,0.6985638612,1.2584556265,6.6597129944999995,0.0280045488,agomelatine
9,mirtazapine,1.0015877333,0.7797557223,1.2865285356,7.8286935175,0.0280045488,agomelatine
10,nefazodone,0.7479213281,0.5049393286,1.1078287654,4.9890607785,0.0280045488,agomelatine
11,paroxetine,0.9901057050000001,0.8058188095000001,1.2165381294,9.516743870700001,0.0280045488,agomelatine
12,reboxetine,0.7228196802,0.5147472598,1.0149996531,5.7734719888,0.0280045488,agomelatine
13,sertraline,0.9258861496,0.7333059988,1.1690415234,8.40522795,0.0280045488,agomelatine
14,trazodone,0.7174429922000001,0.5268442817,0.9769954139,6.3473873229,0.0280045488,agomelatine
15,venlafaxine,0.974315801,0.7889004066,1.2033094065,9.2849016705,0.0280045488,agomelatine
16,vortioxetine,1.3587356512,0.7857114454,2.3496699465,3.5784689817,0.0280045488,agomelatine
17,agomelatine,1.026361267,0.831041455,1.2675871271,9.2849016705,0.0280045488,venlafaxine
18,amitriptyline,1.0829162187999999,0.9164806848,1.2795769254,11.745537139,0.0280045488,venlafaxine
19,bupropion,1.0914691768,0.8290342150000001,1.4369792493,7.1267930452,0.0280045488,venlafaxine
20,citalopram,0.92870313,0.7627312519,1.1307908277,9.9551315415,0.0280045488,venlafaxine
21,clomipramine,0.8901348123,0.7167559917,1.1054528924,9.0473733671,0.0280045488,venlafaxine
22,duloxetine,0.9702894196,0.7758675502,1.2134307688,8.7651600122,0.0280045488,venlafaxine
23,escitalopram,1.1473024759000001,0.9484835192000001,1.3877974098,10.2992900539,0.0280045488,venlafaxine
24,fluoxetine,0.8561223982,0.750235231,0.9769543345,14.8454982209,0.0280045488,venlafaxine
25,fluvoxamine,0.8462418890000001,0.6701177493,1.068655972,8.3993353445,0.0280045488,venlafaxine
26,milnacipran,0.9623261002000001,0.7490387632000001,1.2363465933,7.8223952519,0.0280045488,venlafaxine
27,mirtazapine,1.027990855,0.8518857081000001,1.240501147,10.4305708966,0.0280045488,venlafaxine
28,nefazodone,0.7676374819,0.5353794964,1.1006534758,5.439280778,0.0280045488,venlafaxine
29,paroxetine,1.0162061459,0.8804390278,1.172909081,13.6670293067,0.0280045488,venlafaxine
30,reboxetine,0.7418741228,0.5512183883,0.9984739729000001,6.5982490338,0.0280045488,venlafaxine
31,sertraline,0.9502936816,0.8087515527,1.1166075395,12.1528297978,0.0280045488,venlafaxine
32,trazodone,0.7363556985,0.5663389885,0.9574119489,7.4660844693,0.0280045488,venlafaxine
33,vortioxetine,1.3945536445,0.8412784355,2.3116958494,3.8780626835,0.0280045488,venlafaxine
34,agomelatine,1.0099931704,0.8220046506,1.2409737626,9.516743870700001,0.0280045488,paroxetine
35,amitriptyline,1.065646201,0.9257234348000001,1.2267182432000001,13.9242983555,0.0280045488,paroxetine
36,bupropion,1.0740627591,0.8162960313000001,1.4132260430999999,7.1421638649,0.0280045488,paroxetine
37,citalopram,0.9138924555,0.7539237589000001,1.1078035549,10.1859638096,0.0280045488,paroxetine
38,clomipramine,0.8759392136,0.7175289066,1.0693220843,9.8253758565,0.0280045488,paroxetine
39,duloxetine,0.9548155397,0.7643819115,1.1926926856,8.8109441493,0.0280045488,paroxetine
40,escitalopram,1.1290056457,0.9386495131,1.3579655986999999,10.6146528042,0.0280045488,paroxetine
41,fluoxetine,0.8424692192000001,0.7419505796,0.9566060123000001,15.4264520887,0.0280045488,paroxetine
42,fluvoxamine,0.8327462813000001,0.6670435372,1.0396118548,8.833854795,0.0280045488,paroxetine
43,milnacipran,0.9469792168000001,0.7541343423,1.1891377793,8.6075669911,0.0280045488,paroxetine
44,mirtazapine,1.0115967702,0.8493934576000001,1.2047750266000001,11.2152009852,0.0280045488,paroxetine
45,nefazodone,0.7553954333,0.5334142374,1.0697544622,5.6331055742,0.0280045488,paroxetine
46,reboxetine,0.7300429404000001,0.5450736683,0.9777810338,6.7081385188,0.0280045488,paroxetine
47,sertraline,0.9351386876000001,0.7985223202,1.0951282675,12.4104101836,0.0280045488,paroxetine
48,trazodone,0.7246125222,0.5638191421000001,0.9312619388000001,7.8117673403,0.0280045488,paroxetine
49,venlafaxine,0.9840523048,0.8525810024,1.1357969927,13.6670293067,0.0280045488,paroxetine
50,vortioxetine,1.372313728,0.8115075337000001,2.3206746578,3.7307766764,0.0280045488,paroxetine
51,agomelatine,1.0800463971,0.8554016089,1.3636871942,8.40522795,0.0280045488,sertraline
52,amitriptyline,1.1395595275,0.9609403716,1.3513803302,11.4966309101,0.0280045488,sertraline
53,bupropion,1.1485598589000001,0.875466088,1.506842775,7.2189474952,0.0280045488,sertraline
54,citalopram,0.9772801271,0.7966201334,1.1989107566000001,9.589257461,0.0280045488,sertraline
55,clomipramine,0.9366944446000001,0.7484810458000001,1.172236074,8.737858716,0.0280045488,sertraline
56,duloxetine,1.0210416405,0.7953393190000001,1.3107940305999999,7.8459704248,0.0280045488,sertraline
57,escitalopram,1.2073135896,0.9818571144,1.4845399418,9.4820111178,0.0280045488,sertraline
58,fluoxetine,0.900902968,0.7748066678000001,1.0475208739,12.9987248614,0.0280045488,sertraline
59,fluvoxamine,0.8905056462000001,0.7025055960000001,1.1288170661999999,8.2652965834,0.0280045488,sertraline
60,milnacipran,1.0126617895,0.7830517626,1.3095991208,7.622343186,0.0280045488,sertraline
61,mirtazapine,1.0817612228,0.8866030501000001,1.3198774164,9.8518012055,0.0280045488,sertraline
62,nefazodone,0.8077897357,0.5657394388,1.1534006866,5.5030182669,0.0280045488,sertraline
63,paroxetine,1.0693600995,0.9131350451,1.2523131473,12.4104101836,0.0280045488,sertraline
64,reboxetine,0.7806787914000001,0.5729374749,1.0637450018,6.3351038236,0.0280045488,sertraline
65,trazodone,0.7748717189000001,0.5939254216000001,1.0109454131,7.369980026,0.0280045488,sertraline
66,venlafaxine,1.0523062705,0.8955698082,1.2364736693,12.1528297978,0.0280045488,sertraline
67,vortioxetine,1.4674975447,0.8633307394,2.4944658465,3.6945161631,0.0280045488,sertraline
68,agomelatine,1.105155387,0.8586627349,1.4224076344,7.7665284485,0.0280045488,citalopram
69,amitriptyline,1.1660520825,0.9508111951,1.430018353,9.6048522707,0.0280045488,citalopram
70,bupropion,1.1752616542,0.8605230035,1.6051168305,6.2879817702,0.0280045488,citalopram
71,clomipramine,0.9584707789,0.7454292411,1.2323989767,7.7969961139,0.0280045488,citalopram
72,duloxetine,1.0447788839,0.8012094016,1.3623940435000002,7.3840160498,0.0280045488,citalopram
73,escitalopram,1.2353812956,1.0128333763,1.5068292387,9.8676954802,0.0280045488,citalopram
74,fluoxetine,0.9218472197,0.7658077929,1.1096809203,10.568983987,0.0280045488,citalopram
75,fluvoxamine,0.9112081802,0.7040723068,1.1792827806,7.6001298649999995,0.0280045488,citalopram
76,milnacipran,1.0362042176,0.7831532019,1.37102061,7.0002203155,0.0280045488,citalopram
77,mirtazapine,1.1069100791,0.8813815354000001,1.3901470293,8.6026376999,0.0280045488,citalopram
78,nefazodone,0.8265692848,0.5641733154,1.2110051359,5.1319346868,0.0280045488,citalopram
79,paroxetine,1.0942206536,0.9026871195,1.326394066,10.1859638096,0.0280045488,citalopram
80,reboxetine,0.7988280634,0.5938545033,1.0745498625,6.6102014393,0.0280045488,citalopram
81,sertraline,1.023248066,0.8340904396000001,1.2553034477,9.589257461,0.0280045488,citalopram
82,trazodone,0.7928859877000001,0.5910250268,1.0636913177,6.6707263952,0.0280045488,citalopram
83,venlafaxine,1.0767703561,0.8843368513000001,1.3110777847000001,9.9551315415,0.0280045488,citalopram
84,vortioxetine,1.5016140245,0.8729640794,2.5829753269999998,3.6135598875,0.0280045488,citalopram
85,agomelatine,0.9477753212000001,0.7524308531,1.1938346968,8.4918931426,0.0280045488,amitriptyline
86,bupropion,1.0078980792,0.7553192472,1.3449392978999999,6.79418879,0.0280045488,amitriptyline
87,citalopram,0.8575946263,0.6992917244,1.0517335147,9.6048522707,0.0280045488,amitriptyline
88,clomipramine,0.8219793894,0.6554171085,1.0308704302,8.6555814714,0.0280045488,amitriptyline
89,duloxetine,0.8959967565,0.6992363537,1.1481242122,7.9048840238,0.0280045488,amitriptyline
90,escitalopram,1.0594563605,0.8601679897000001,1.3049169387,9.4057359509,0.0280045488,amitriptyline
91,fluoxetine,0.7905712219000001,0.6811304967,0.9175963488000001,13.1542002439,0.0280045488,amitriptyline
92,fluvoxamine,0.7814472388,0.6215960407000001,0.9824061723,8.5642922905,0.0280045488,amitriptyline
93,milnacipran,0.8886431688,0.6954328966000001,1.135532537,7.994738305,0.0280045488,amitriptyline
94,mirtazapine,0.9492801356,0.7855480022,1.1471390333,10.3527116498,0.0280045488,amitriptyline
95,nefazodone,0.7088613769000001,0.4961649904,1.0127366126,5.4940207341,0.0280045488,amitriptyline
96,paroxetine,0.9383977525,0.815183116,1.0802362373,13.9242983555,0.0280045488,amitriptyline
97,reboxetine,0.6850706545,0.5037258665000001,0.9317008177,6.3741957187,0.0280045488,amitriptyline
98,sertraline,0.8775320428000001,0.7399841315,1.0406472967,11.4966309101,0.0280045488,amitriptyline
99,trazodone,0.6799747623,0.5263078802,0.878507989,7.6511895081,0.0280045488,amitriptyline
100,venlafaxine,0.9234324712,0.7815083096000001,1.0911304696,11.745537139,0.0280045488,amitriptyline
101,vortioxetine,1.2877761182,0.7562932631,2.1927569787,3.6825294711,0.0280045488,amitriptyline
102,agomelatine,1.1988487501,0.9783203326000001,1.4690876573,9.6418806079,0.0280045488,fluoxetine
103,amitriptyline,1.2649081732,1.0898038133,1.4681474473,13.1542002439,0.0280045488,fluoxetine
104,bupropion,1.2748985181,0.9690874254,1.6772132099000001,7.1463201226,0.0280045488,fluoxetine
105,citalopram,1.0847784521,0.9011599476000001,1.3058106868000001,10.568983987,0.0280045488,fluoxetine
106,clomipramine,1.0397284479,0.8444287231000001,1.2801971507,9.4206076906,0.0280045488,fluoxetine
107,duloxetine,1.1333536204999999,0.9000817586000001,1.4270819477,8.5050721417,0.0280045488,fluoxetine
108,escitalopram,1.3401150095,1.1138221287,1.6123833353,10.597001627400001,0.0280045488,fluoxetine
109,fluvoxamine,0.9884589993,0.7922788723,1.2332162668,8.8594088479,0.0280045488,fluoxetine
110,milnacipran,1.1240520072,0.8892108245,1.4209149058000001,8.3631682309,0.0280045488,fluoxetine
111,mirtazapine,1.2007522022,1.0052092837,1.4343339983,11.0265719832,0.0280045488,fluoxetine
112,nefazodone,0.8966445493,0.6323485531,1.2714055307,5.6125276883,0.0280045488,fluoxetine
113,paroxetine,1.1869869869,1.0453624451,1.3477986641,15.4264520887,0.0280045488,fluoxetine
114,reboxetine,0.8665514701,0.6480865237,1.1586592575,6.7470507596000004,0.0280045488,fluoxetine
115,sertraline,1.1099974531,0.9546349146,1.290644546,12.9987248614,0.0280045488,fluoxetine
116,trazodone,0.8601056344,0.6684308894000001,1.1067437399,7.7740079125,0.0280045488,fluoxetine
117,venlafaxine,1.1680572802,1.0235892966,1.332915276,14.8454982209,0.0280045488,fluoxetine
118,vortioxetine,1.6289185371000001,0.9661360281,2.7463788983,3.7521515578,0.0280045488,fluoxetine
119,agomelatine,0.9984147836,0.7772855186000001,1.2824529161,7.8286935175,0.0280045488,mirtazapine
120,amitriptyline,1.0534298175,0.8717339145,1.2729966815,10.3527116498,0.0280045488,mirtazapine
121,bupropion,1.0617498896,0.7828056767,1.4400928118,6.4306745186,0.0280045488,mirtazapine
122,citalopram,0.9034157507,0.7193483703,1.1345824252,8.6026376999,0.0280045488,mirtazapine
123,clomipramine,0.8658975982,0.6760766735,1.1090142287,7.9204667851,0.0280045488,mirtazapine
124,duloxetine,0.9438696997,0.7234305667,1.2314796348,7.3688766529,0.0280045488,mirtazapine
125,escitalopram,1.1160629205,0.8863015369,1.4053867568,8.5030585042,0.0280045488,mirtazapine
126,fluoxetine,0.8328112979000001,0.6971876852000001,0.9948177123,11.0265719832,0.0280045488,mirtazapine
127,fluvoxamine,0.8231998221,0.6465947762,1.0480411722,8.1166417045,0.0280045488,mirtazapine
128,milnacipran,0.9361232111000001,0.7144335703,1.2266034279,7.25235383,0.0280045488,mirtazapine
129,nefazodone,0.7467357109,0.5126265986,1.08775905,5.2104985643,0.0280045488,mirtazapine
130,paroxetine,0.9885361732000001,0.8300304853,1.1773106928,11.2152009852,0.0280045488,mirtazapine
131,reboxetine,0.7216738546,0.5224973305,0.9967766761,6.0689863446,0.0280045488,mirtazapine
132,sertraline,0.9244184196,0.7576461174,1.1279004735,9.8518012055,0.0280045488,mirtazapine
133,trazodone,0.7163056898,0.5441072712,0.9430012579,7.1282940242,0.0280045488,mirtazapine
134,venlafaxine,0.9727712996000001,0.8061258165,1.173866389,10.4305708966,0.0280045488,mirtazapine
135,vortioxetine,1.3565817611,0.7911714087,2.3260624112,3.6349557766,0.0280045488,mirtazapine
136,agomelatine,1.066542066,0.7946247598,1.4315083496,6.6597129944999995,0.0280045488,milnacipran
137,amitriptyline,1.1253110755,0.8806440744,1.4379532588,7.994738305,0.0280045488,milnacipran
138,bupropion,1.1341988715,0.8036513342,1.6007029734,5.6891352667,0.0280045488,milnacipran
139,citalopram,0.9650607313,0.7293836378,1.2768893719,7.0002203155,0.0280045488,milnacipran
140,clomipramine,0.9249825108,0.6969100242,1.2276945596,6.9228958096,0.0280045488,milnacipran
141,duloxetine,1.0082750738,0.7405573667,1.3727749802,6.3514037019,0.0280045488,milnacipran
142,escitalopram,1.1922179765,0.9017549656,1.5762416152,7.0193566108,0.0280045488,milnacipran
143,fluoxetine,0.8896385519000001,0.703771912,1.1245926978,8.3631682309,0.0280045488,milnacipran
144,fluvoxamine,0.8793712328000001,0.662340661,1.1675166732,6.9153578309,0.0280045488,milnacipran
145,mirtazapine,1.0682354504,0.8152594207,1.3997102622,7.25235383,0.0280045488,milnacipran
146,nefazodone,0.7976895584,0.5313714205,1.1974837318,4.8245174472,0.0280045488,milnacipran
147,paroxetine,1.0559893842,0.8409454459,1.3260236855,8.6075669911,0.0280045488,milnacipran
148,reboxetine,0.7709175951,0.5383470424,1.1039606267,5.4584229386,0.0280045488,milnacipran
149,sertraline,0.9874965269,0.7635924491,1.2770547845,7.622343186,0.0280045488,milnacipran
150,trazodone,0.7651831311,0.5527287967,1.0592992940000001,6.0261757484,0.0280045488,milnacipran
151,venlafaxine,1.0391487873,0.8088346791000001,1.3350443918,7.8223952519,0.0280045488,milnacipran
152,vortioxetine,1.4491487286,0.8243733759,2.5474282637,3.4745118132,0.0280045488,milnacipran
153,agomelatine,1.3370390207,0.9026665774,1.9804359523000001,4.9890607785,0.0280045488,nefazodone
154,amitriptyline,1.4107130570000002,0.9874235685,2.0154586062,5.4940207341,0.0280045488,nefazodone
155,bupropion,1.4218549805,0.9260411582,2.1831336195,4.5709068067,0.0280045488,nefazodone
156,citalopram,1.209819937,0.8257603294,1.7725049602,5.1319346868,0.0280045488,nefazodone
157,clomipramine,1.1595770573,0.7844692894,1.7140491921,5.0153122206,0.0280045488,nefazodone
158,duloxetine,1.2639943235,0.8440242138,1.8929334297,4.8532762929,0.0280045488,nefazodone
159,escitalopram,1.4945889211,1.02084581,2.1881816248,5.141392346,0.0280045488,nefazodone
160,fluoxetine,1.1152691452,0.7865311074,1.5814063226,5.6125276883,0.0280045488,nefazodone
161,fluvoxamine,1.1023978231,0.7398778093,1.6425427891000002,4.9152634212,0.0280045488,nefazodone
162,milnacipran,1.2536205212,0.8350844136000001,1.8819228158999999,4.8245174472,0.0280045488,nefazodone
163,mirtazapine,1.3391618821,0.9193212413,1.9507376377,5.2104985643,0.0280045488,nefazodone
164,paroxetine,1.3238099622,0.9347939507,1.8747156147,5.6331055742,0.0280045488,nefazodone
165,reboxetine,0.9664381173000001,0.6202523010000001,1.5058430789,4.419481523,0.0280045488,nefazodone
166,sertraline,1.2379459107,0.8670013913,1.7675981759,5.5030182669,0.0280045488,nefazodone
167,trazodone,0.9592492757000001,0.6327774643,1.4541592026,4.7111741276,0.0280045488,nefazodone
168,venlafaxine,1.3026982444000001,0.9085511671000001,1.8678339508000001,5.439280778,0.0280045488,nefazodone
169,vortioxetine,1.8166825844,0.9765794868000001,3.3794848828,3.1576680989,0.0280045488,nefazodone
170,agomelatine,1.3834709090000001,0.9852220116,1.9427009684,5.7734719888,0.0280045488,reboxetine
171,amitriptyline,1.459703453,1.0733059164,1.9852067692,6.3741957187,0.0280045488,reboxetine
172,bupropion,1.4712323065000001,1.0010122146,2.1623357518,5.0897371205,0.0280045488,reboxetine
173,citalopram,1.2518338373,0.9306222399,1.683914148,6.6102014393,0.0280045488,reboxetine
174,clomipramine,1.1998461531,0.8545003648,1.6847632258,5.7743576826,0.0280045488,reboxetine
175,duloxetine,1.3078895594,0.9210016108,1.8572987056999999,5.588689952,0.0280045488,reboxetine
176,escitalopram,1.5464921078,1.1248964527,2.1260959919,6.1577472763,0.0280045488,reboxetine
177,fluoxetine,1.1539995424,0.8630665085,1.5430038481000001,6.7470507596000004,0.0280045488,reboxetine
178,fluvoxamine,1.1406812328,0.8052645809000001,1.6158088978,5.6287865758999995,0.0280045488,reboxetine
179,milnacipran,1.297155502,0.9058294071,1.8575378356,5.4584229386,0.0280045488,reboxetine
180,mirtazapine,1.3856674919,1.0032337473,1.9138853764000001,6.0689863446,0.0280045488,reboxetine
181,nefazodone,1.0347273996,0.6640798195000001,1.6122471426,4.419481523,0.0280045488,reboxetine
182,paroxetine,1.3697824397,1.0227238671,1.8346143984,6.7081385188,0.0280045488,reboxetine
183,sertraline,1.280936553,0.9400749223,1.7453911532,6.3351038236,0.0280045488,reboxetine
184,trazodone,0.9925615086,0.6850018453000001,1.4382126924,5.2849070206,0.0280045488,reboxetine
185,venlafaxine,1.3479375668,1.0015283594,1.8141629908999999,6.5982490338,0.0280045488,reboxetine
186,vortioxetine,1.8797712464,1.0459367578,3.3783495156,3.3433566413999998,0.0280045488,reboxetine
187,agomelatine,1.3938389682,1.023546258,1.8980940569,6.3473873229,0.0280045488,trazodone
188,amitriptyline,1.470642817,1.1382935756,1.900028553,7.6511895081,0.0280045488,trazodone
189,bupropion,1.4822580705,1.0578619822,2.0769145923,5.8105618964,0.0280045488,trazodone
190,citalopram,1.2612153771,0.9401223676,1.6919757281,6.6707263952,0.0280045488,trazodone
191,clomipramine,1.2088380848,0.8955339083,1.6317523008,6.5334459102,0.0280045488,trazodone
192,duloxetine,1.3176911941,0.9548316616,1.8184462799999999,6.0850415397,0.0280045488,trazodone
193,escitalopram,1.5580818866000001,1.1615117736,2.0900512768,6.67272443,0.0280045488,trazodone
194,fluoxetine,1.1626478888,0.9035515304,1.4960409758,7.7740079125,0.0280045488,trazodone
195,fluvoxamine,1.1492297686,0.8397926254,1.572684757,6.2481621384,0.0280045488,trazodone
196,milnacipran,1.3068766931,0.9440202648,1.8092055379,6.0261757484,0.0280045488,trazodone
197,mirtazapine,1.3960520128,1.0604439725,1.8378728845,7.1282940242,0.0280045488,trazodone
198,nefazodone,1.0424818922,0.6876826129,1.580334409,4.7111741276,0.0280045488,trazodone
199,paroxetine,1.3800479143,1.0738117369,1.7736183916,7.8117673403,0.0280045488,trazodone
200,reboxetine,1.0074942373,0.6953074502000001,1.4598500819,5.2849070206,0.0280045488,trazodone
201,sertraline,1.2905361954,0.9891730919,1.6837130785,7.369980026,0.0280045488,trazodone
202,venlafaxine,1.3580393308,1.0444824729,1.7657269239,7.4660844693,0.0280045488,trazodone
203,vortioxetine,1.8938586982,1.071539303,3.3472414483,3.4414935564,0.0280045488,trazodone
204,agomelatine,0.8945864657,0.7074573605000001,1.1312129739,8.3516486492,0.0280045488,escitalopram
