,OR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0,0.7597348799,0.7597348799,1,CL3-20098-062,agomelatine,duloxetine,0.503332428,1.1467512435,0.503332428,1.1467512435,,,22.6618323562,,
1,1.1166666667,1.2235195528,2,Corruble2013 (CL3-20098-063),agomelatine,escitalopram,0.6417714336,1.9429728083,0.7966785549000001,1.8790515784,,,12.5221454258,0.0,0.0
2,1.403292181,1.2235195528,2,Quera-Salva2010 (CL3-20098-056),agomelatine,escitalopram,0.7120801467,2.765459695,0.7966785549000001,1.8790515784,,,8.3472348121,0.0,0.0
3,1.4246341463,1.1506146902,3,Hale2010 (CL3-20098-045),agomelatine,fluoxetine,0.9863827747,2.0576012709000002,0.7696793898000001,1.7200852495999999,,,11.4002226872,0.0525359628,0.6231491582
4,0.944866336,1.1506146902,3,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",agomelatine,fluoxetine,0.6792383925000001,1.3143726896999999,0.7696793898000001,1.7200852495999999,,,12.3614250189,0.0525359628,0.6231491582
5,1.0136972802,0.8558853448,4,CL3-20098-048,agomelatine,paroxetine,0.6838860603,1.5025634176,0.5924867917000001,1.2363815258,,,15.6609834038,0.0235307726,0.3305399221
6,0.6950819672,0.8558853448,4,Montgomery2004b (CL3-20098-030),agomelatine,paroxetine,0.4389573486,1.1006512198,0.5924867917000001,1.2363815258,,,12.7348231063,0.0235307726,0.3305399221
7,1.2301051051,1.3648353247,5,CL3-20098-036,agomelatine,venlafaxine,0.6744622948,2.243503575,0.9353014142,1.9916311848000001,,,10.6373934865,0.0,0.0
8,1.4608695651999999,1.3648353247,5,Lemoine2007 (CL3-20098-035),agomelatine,venlafaxine,0.898490596,2.3752501095,0.9353014142,1.9916311848000001,,,16.2591170047,0.0,0.0
9,0.8181818182,0.8142517255,6,Demyttenaere1998 ,amitriptyline,fluoxetine,0.3041832407,2.2007178504000002,0.3719970647,1.7822879140999999,,,3.9237804871,0.0,0.0
10,0.8076923077,0.8142517255,6,Fawcett1989,amitriptyline,fluoxetine,0.224027578,2.9119935579,0.3719970647,1.7822879140999999,,,2.335828877,0.0,0.0
11,0.3240740741,0.3240740741,7,Remick1994,amitriptyline,fluvoxamine,0.0770382217,1.363271415,0.0770382217,1.363271415,,,1.8611521417999999,,
12,0.6228373703,0.6228373703,8,Hutchinson1992,amitriptyline,paroxetine,0.261207372,1.4851280298,0.261207372,1.4851280298,,,5.0872817946,,
13,1.5705128205,1.5705128205,9,Moller1998 (Hegerl1997),amitriptyline,sertraline,0.839056303,2.9396245646,0.839056303,2.9396245646,,,9.775248568,,
14,0.9375,1.5086609909000002,10,Altamura1989b,amitriptyline,trazodone,0.370463445,2.372450675,0.9589591445000001,2.3734671059,0.5579304620000001,4.0794653461,4.4562298467,1.8e-07,0.0
15,1.8,1.5086609909000002,10,Blacker1988,amitriptyline,trazodone,0.8715999771,3.7173016121,0.9589591445000001,2.3734671059,0.5579304620000001,4.0794653461,7.3040948747,1.8e-07,0.0
16,1.26,1.5086609909000002,10,Kerr1984,amitriptyline,trazodone,0.5026500002000001,3.1584601603999998,0.9589591445000001,2.3734671059,0.5579304620000001,4.0794653461,4.5487327385,1.8e-07,0.0
17,3.0000000001,1.5086609909000002,10,Moises1981,amitriptyline,trazodone,0.8465897796,10.6308866671,0.9589591445000001,2.3734671059,0.5579304620000001,4.0794653461,2.399998963,1.8e-07,0.0
18,1.0222222222,1.0082123603,11,Grunebaum2011 (NCT00429169),bupropion,paroxetine,0.4125644243,2.5327881175,0.5903779361,1.7217651631000002,,,4.6661031286,0.0,0.0
19,1.0008169935,1.0082123603,11,WELL AK140016,bupropion,paroxetine,0.5158664219,1.9416550715,0.5903779361,1.7217651631000002,,,8.7464271127,0.0,0.0
20,0.9375,1.050959618,12,Caligiuri2003,bupropion,sertraline,0.12784958800000001,6.8745332977,0.7328048368000001,1.5072445802,0.10148046420000001,10.8840270581,0.9677419354000001,0.0,0.0
21,0.9888235294000001,1.050959618,12,Kavoussi1997,bupropion,sertraline,0.5815486064000001,1.6813245902,0.7328048368000001,1.5072445802,0.10148046420000001,10.8840270581,13.6332518353,0.0,0.0
