,studlab,treat1,treat2,OR,TE_direct,TE_adj,seTE
0,CL3-20098-036,venlafaxine,agomelatine,-0.207099617,-0.3110337801,0.1039341631,0.3066072273
1,Lemoine2007 (CL3-20098-035),venlafaxine,agomelatine,-0.37903185100000003,-0.3110337801,-0.0679980709,0.2479999092
2,CL3-20098-048,paroxetine,agomelatine,-0.0136043204,0.1460196717,-0.1596239921,0.20080382970000002
3,Montgomery2004b (CL3-20098-030),paroxetine,agomelatine,0.3637255019,0.1460196717,0.2177058302,0.23450814820000002
4,Hale2010 (CL3-20098-045),fluoxetine,agomelatine,-0.3539150413,-0.1265629109,-0.22735213040000002,0.1875676463
5,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668)",fluoxetine,agomelatine,0.0567118049,-0.1265629109,0.18327471580000002,0.1684068265
6,Quera-Salva2010 (CL3-20098-056),escitalopram,agomelatine,-0.3388210339,-0.2017315848,-0.1370894491,0.3461215857
7,Corruble2013 (CL3-20098-063),escitalopram,agomelatine,-0.1103480572,-0.2017315848,0.0913835276,0.282592498
8,CL3-20098-062,duloxetine,agomelatine,0.2747857488,0.2747857488,0.0,0.2100644149
9,CL3-20098-036,agomelatine,venlafaxine,0.207099617,0.3110337801,-0.1039341631,0.3066072273
10,Lemoine2007 (CL3-20098-035),agomelatine,venlafaxine,0.37903185100000003,0.3110337801,0.0679980709,0.2479999092
11,0600B1-367,paroxetine,venlafaxine,-0.207003138,-0.3495561501,0.14255301210000001,0.2736489622
12,Casabona2002 (0600B 428),paroxetine,venlafaxine,-0.9816909506,-0.3495561501,-0.6321348005,0.4017988007
13,McPartlin1998,paroxetine,venlafaxine,-0.2459424663,-0.3495561501,0.10361368380000001,0.22693762
14,0600B1-402,sertraline,venlafaxine,-0.0815528482,-0.1183933392,0.036840491,0.1671410217
15,Mehtonen2000,sertraline,venlafaxine,-0.3541388979,-0.1183933392,-0.2357455587,0.3398794053
16,Shelton2006 (NCT00179283),sertraline,venlafaxine,-0.32877989100000005,-0.1183933392,-0.21038655180000002,0.3227075629
17,Sir2005,sertraline,venlafaxine,0.1967102942,-0.1183933392,0.3151036334,0.338979103
18,Allard2004,citalopram,venlafaxine,0.09716374850000001,0.4842689858,-0.3871052373,0.3427027871
19,Hosseini2015 (IRCT201203048513N1.),citalopram,venlafaxine,1.9459101491,0.4842689858,1.4616411633,0.6659222034000001
20,Gentil2000,amitriptyline,venlafaxine,-0.0460033533,0.17873697800000002,-0.2247403313,0.4290434999
21,Sauer2003,amitriptyline,venlafaxine,0.3083013597,0.17873697800000002,0.1295643817,0.3257644072
22,0600A-332,fluoxetine,venlafaxine,0.43671765160000003,-0.1652734867,0.6019911383000001,0.5710774257
23,0600A-626,fluoxetine,venlafaxine,-0.0540672213,-0.1652734867,0.1112062654,0.3207398557
24,0600A1-372,fluoxetine,venlafaxine,-0.25849578770000003,-0.1652734867,-0.09322230100000001,0.22857744330000002
25,Alves1999,fluoxetine,venlafaxine,0.0083682497,-0.1652734867,0.1736417364,0.6032707305
26,Chang 2015,fluoxetine,venlafaxine,0.0153612852,-0.1652734867,0.18063477190000002,0.4147644666
27,Clerc1994,fluoxetine,venlafaxine,-0.8754687374000001,-0.1652734867,-0.7101952507,0.5092285592
28,Costaesilva1998,fluoxetine,venlafaxine,-0.3437715391,-0.1652734867,-0.1784980524,0.2849260771
29,Dierick1996,fluoxetine,venlafaxine,-0.4799652884,-0.1652734867,-0.3146918017,0.23824935630000002
30,Heller2009(NCT00909155),fluoxetine,venlafaxine,-0.11778303570000001,-0.1652734867,0.047490451,0.7546154282
31,Keller2007 (NCT00046020),fluoxetine,venlafaxine,0.09832223030000001,-0.1652734867,0.263595717,0.1629883311
32,Tylee1997,fluoxetine,venlafaxine,-0.21835758100000002,-0.1652734867,-0.0530840943,0.2251903828
33,Tzanakaki2000,fluoxetine,venlafaxine,-0.3523876919,-0.1652734867,-0.1871142052,0.4038086141
34,Benkert2006(C-1763),mirtazapine,venlafaxine,0.3440961617,0.3123137959,0.031782365800000004,0.2430777638
35,Szegedi2006,mirtazapine,venlafaxine,0.2787434655,0.3123137959,-0.0335703304,0.2498215675
36,Schwartz2002 (iQWIG),reboxetine,venlafaxine,0.0436750635,0.0436750635,0.0,0.311878197
37,Smeraldi1998,trazodone,venlafaxine,-0.756061006,-0.756061006,1.110223025e-16,0.4096199608
38,Bielski2004 (SCT-MD-12),escitalopram,venlafaxine,0.47870427050000003,0.1890934183,0.2896108522,0.28381999690000004
39,Montgomery2004a (Study 99067),escitalopram,venlafaxine,-0.0896121587,0.1890934183,-0.27870557700000004,0.2784251131
40,Thase2006 (WELL 100368),bupropion,venlafaxine,0.1588536841,0.1588536841,0.0,0.2147418231
41,Hackett1998,fluvoxamine,venlafaxine,-0.8605801249,-0.8605801249,0.0,0.4204101133
42,0600A-326,clomipramine,venlafaxine,0.5843084005,-0.09757413620000001,0.6818825367,0.37597144790000003
43,Samuelian1998,clomipramine,venlafaxine,-0.7156200364,-0.09757413620000001,-0.6180459002,0.40264278480000004
44,Smeraldi1998,clomipramine,venlafaxine,-0.2760070409,-0.09757413620000001,-0.1784329047,0.419969488
45,Perahia2008a (HMBU) (NCT00071695),duloxetine,venlafaxine,-0.1451692912,-0.1039793936,-0.041189897600000004,0.22007437200000002
46,Perahia2008b (HMCQ) (NCT00067912),duloxetine,venlafaxine,-0.073203404,-0.1039793936,0.0307759896,0.1902304908
47,"Wang2015 (NCT01571453, KCT0000432, 13926A)",vortioxetine,venlafaxine,0.332574396,0.332574396,0.0,0.1961825612
48,CL3-20098-048,agomelatine,paroxetine,0.0136043204,-0.1460196717,0.1596239921,0.20080382970000002
49,Montgomery2004b (CL3-20098-030),agomelatine,paroxetine,-0.3637255019,-0.1460196717,-0.2177058302,0.23450814820000002
50,0600B1-367,venlafaxine,paroxetine,0.207003138,0.3495561501,-0.14255301210000001,0.2736489622
51,Casabona2002 (0600B 428),venlafaxine,paroxetine,0.9816909506,0.3495561501,0.6321348005,0.4017988007
52,McPartlin1998,venlafaxine,paroxetine,0.2459424663,0.3495561501,-0.10361368380000001,0.22693762
53,Aberg-Wisted2000,sertraline,paroxetine,-0.00896867,0.0915848476,-0.1005535176,0.2206961966
54,Fava2002,sertraline,paroxetine,0.2972515235,0.0915848476,0.2056666759,0.3156299301
55,29060/299,amitriptyline,paroxetine,-0.056165857900000005,0.0451538007,-0.1013196586,0.2718028149
56,Bignamini1992 (PAR 29060/078),amitriptyline,paroxetine,0.28107096740000004,0.0451538007,0.23591716670000001,0.2298405506
57,Christiansen1996,amitriptyline,paroxetine,0.0425596144,0.0451538007,-0.0025941863,0.3501035044
58,Geretsegger1995 (MY-060/BRL-029060/1),amitriptyline,paroxetine,0.1335313926,0.0451538007,0.0883775919,0.41981214370000003
59,Hutchinson1992,amitriptyline,paroxetine,-0.4734698372,0.0451538007,-0.5186236379,0.44336060660000004
60,Kuhs1989 (MDUK_29060_III_85_043),amitriptyline,paroxetine,-1.0296194172,0.0451538007,-1.0747732179,0.8472645058
61,Miura2000,amitriptyline,paroxetine,0.2816197778,0.0451538007,0.2364659771,0.2695144353
62,"Moller1993 (Stuppaeck1994, MY-059.073/29060/1)",amitriptyline,paroxetine,0.2554935123,0.0451538007,0.2103397116,0.3287082773
63,PAR 29060.310 (HP 81/85A),amitriptyline,paroxetine,0.9162907319,0.0451538007,0.8711369312,0.9746794345
64,PAR 29060.318 (HP/82/64A),amitriptyline,paroxetine,-0.8754687374000001,0.0451538007,-0.9206225381,0.9457507306
65,PAR 29060/281,amitriptyline,paroxetine,0.70032854,0.0451538007,0.6551747393,0.3206975889
66,PAR MDUK 032,amitriptyline,paroxetine,-0.20252426410000002,0.0451538007,-0.24767806480000001,0.5215590183000001
67,Sacchetti2002 (BRL-29060/109),amitriptyline,paroxetine,-0.31314867890000003,0.0451538007,-0.3583024796,0.3822253531
68,SER-CHN-1,amitriptyline,paroxetine,-0.8544153282,0.0451538007,-0.8995691289000001,0.3195084761
69,Staner1995 (063),amitriptyline,paroxetine,0.5877866649,0.0451538007,0.5426328642,0.6522245207
70,29060/356,fluoxetine,paroxetine,-0.11300975690000001,-0.2330424339,0.120032677,0.3412334221
71,Cassano2002 (29060/421),fluoxetine,paroxetine,-0.4970323016,-0.2330424339,-0.2639898677,0.2723505473
72,Chouinard1999 (29060/131),fluoxetine,paroxetine,0.0289875369,-0.2330424339,0.2620299708,0.2963679125
