,agomelatine,amitriptyline,bupropion,citalopram,clomipramine,duloxetine,escitalopram,fluoxetine,fluvoxamine,milnacipran,mirtazapine,nefazodone,paroxetine,reboxetine,sertraline,trazodone,venlafaxine,vortioxetine
agomelatine,agomelatine,.,.,.,.,"0.76
(0.45, 1.29)","1.23
(0.75, 2.01)","1.15
(0.82, 1.61)",.,.,.,.,"0.85
(0.58, 1.25)",.,.,.,"1.36
(0.87, 2.12)",.
amitriptyline,"0.95
(0.75,1.19)",amitriptyline,.,"0.91
(0.56, 1.48)",.,.,.,"1.05
(0.78, 1.42)","1.09
(0.66, 1.78)","1.17
(0.64, 2.15)","1.45
(0.96, 2.20)","3.24
(1.37, 7.66)","1.03
(0.83, 1.27)",.,"1.28
(0.90, 1.81)","1.51
(0.93, 2.45)","1.19
(0.68, 2.08)",.
bupropion,"0.94
(0.68,1.30)","0.99
(0.74,1.32)",bupropion,.,.,.,.,"1.19
(0.54, 2.62)",.,.,.,.,"1.01
(0.56, 1.81)",.,"1.05
(0.69, 1.60)","2.10
(0.95, 4.64)","1.17
(0.69, 2.00)",.
citalopram,"1.11
(0.86,1.42)","1.17
(0.95,1.43)","1.18
(0.86,1.61)",citalopram,"0.57
(0.25, 1.28)",.,"0.69
(0.52, 0.91)","0.96
(0.65, 1.43)","1.11
(0.57, 2.16)",.,"1.32
(0.61, 2.87)",.,.,"1.47
(0.94, 2.32)","0.89
(0.56, 1.43)",.,"1.70
(0.89, 3.28)",.
clomipramine,"1.15
(0.88,1.51)","1.22
(0.97,1.53)","1.23
(0.89,1.69)","1.04
(0.81,1.34)",clomipramine,.,.,"0.61
(0.38, 0.99)","1.85
(0.66, 5.25)","0.87
(0.38, 2.02)",.,.,"0.91
(0.68, 1.22)",.,"0.96
(0.56, 1.64)","1.62
(0.70, 3.72)","0.90
(0.55, 1.47)",.
duloxetine,"1.06
(0.81,1.37)","1.12
(0.87,1.43)","1.12
(0.80,1.58)","0.96
(0.73,1.25)","0.92
(0.69,1.22)",duloxetine,"0.69
(0.46, 1.04)",.,.,.,.,.,"1.03
(0.71, 1.51)",.,.,.,"0.90
(0.62, 1.30)",.
escitalopram,"0.89
(0.71,1.13)","0.94
(0.77,1.16)","0.95
(0.70,1.30)","0.81
(0.66,0.99)","0.78
(0.60,1.00)","0.85
(0.67,1.08)",escitalopram,"0.98
(0.61, 1.57)",.,.,.,.,"1.09
(0.75, 1.59)",.,"0.88
(0.47, 1.63)",.,"1.21
(0.77, 1.90)",.
fluoxetine,"1.20
(0.98,1.47)","1.26
(1.09,1.47)","1.27
(0.97,1.68)","1.08
(0.90,1.31)","1.04
(0.84,1.28)","1.13
(0.90,1.43)","1.34
(1.11,1.61)",fluoxetine,"0.97
(0.57, 1.65)","1.17
(0.75, 1.82)","0.65
(0.44, 0.95)","0.96
(0.50, 1.85)","0.79
(0.61, 1.01)","1.01
(0.56, 1.82)","0.70
(0.53, 0.92)","0.83
(0.48, 1.46)","0.83
(0.68, 1.02)",.
fluvoxamine,"1.21
(0.91,1.61)","1.28
(1.02,1.61)","1.29
(0.92,1.80)","1.10
(0.85,1.42)","1.05
(0.80,1.39)","1.15
(0.85,1.55)","1.36
(1.04,1.77)","1.01
(0.81,1.26)",fluvoxamine,"0.58
(0.32, 1.05)","0.88
(0.55, 1.40)",.,"0.88
(0.46, 1.67)",.,"1.56
(0.82, 2.96)",.,"0.42
(0.17, 1.03)",.
milnacipran,"1.07
(0.79,1.43)","1.13
(0.88,1.44)","1.13
(0.80,1.60)","0.97
(0.73,1.28)","0.92
(0.70,1.23)","1.01
(0.74,1.37)","1.19
(0.90,1.58)","0.89
(0.70,1.12)","0.88
(0.66,1.17)",milnacipran,.,.,"0.95
(0.68, 1.34)",.,"2.09
(0.34,12.89)",.,.,.
