,studlab,treat1,treat2,TE1,seTE1,event11,n11,event21,n21,incr,allstudies,studlab.orig,year,rob,age,effect_size1,outcome1_direction,treat.orig1,treat.orig2,n12,r11,r12,No_randomised11,No_randomised12,No_randomised21,No_randomised22,Responders21,Responders22
0,Quera-Salva2010 (CL3-20098-056),agomelatine,escitalopram,0.3388210339,0.3461215857,44,71,36,67,0.0,0,Quera-Salva2010 (CL3-20098-056),2023,1,44,OR,harmful,agomelatine,escitalopram,67,44,36,71,67,71,67,44,36
1,0600A-326,venlafaxine,clomipramine,-0.5843084005,0.37597144790000003,32,60,41,61,0.0,0,0600A-326,2023,1,32,OR,harmful,venlafaxine,clomipramine,61,32,41,60,61,60,61,32,41
2,0600A-332,venlafaxine,fluoxetine,-0.43671765160000003,0.5710774257,14,27,15,24,0.0,0,0600A-332,2023,1,32,OR,harmful,venlafaxine,fluoxetine,24,14,15,27,24,27,24,14,15
3,0600A-626,venlafaxine,fluoxetine,0.0540672213,0.3207398557,38,79,36,77,0.0,0,0600A-626,2023,1,32,OR,harmful,venlafaxine,fluoxetine,77,38,36,79,77,79,77,38,36
4,0600A1-372,venlafaxine,fluoxetine,0.25849578770000003,0.22857744330000002,86,156,74,152,0.0,0,0600A1-372,2023,1,86,OR,harmful,venlafaxine,fluoxetine,152,86,74,156,152,156,152,86,74
5,0600B1-367,paroxetine,venlafaxine,-0.207003138,0.2736489622,44,81,98,165,0.0,0,0600B1-367,2023,1,86,OR,harmful,paroxetine,venlafaxine,165,44,98,81,165,81,165,44,98
6,0600B1-402,venlafaxine,sertraline,0.0815528482,0.1671410217,174,295,167,293,0.0,0,0600B1-402,2023,1,86,OR,harmful,venlafaxine,sertraline,293,174,167,295,293,295,293,174,167
7,29060/299,paroxetine,amitriptyline,0.056165857900000005,0.2718028149,53,109,51,108,0.0,0,29060/299,2023,1,53,OR,harmful,paroxetine,amitriptyline,108,53,51,109,108,109,108,53,51
8,29060/356,paroxetine,fluoxetine,0.11300975690000001,0.3412334221,33,68,32,70,0.0,0,29060/356,2023,1,33,OR,harmful,paroxetine,fluoxetine,70,33,32,68,70,68,70,33,32
9,Aberg-Wisted2000,paroxetine,sertraline,0.00896867,0.2206961966,112,177,111,176,0.0,0,Aberg-Wisted2000,2023,1,112,OR,harmful,paroxetine,sertraline,176,112,111,177,176,177,176,112,111
10,Aguglia1993,sertraline,fluoxetine,0.8652355611,0.398986002,35,52,26,56,0.0,0,Aguglia1993,2023,1,35,OR,harmful,sertraline,fluoxetine,56,35,26,52,56,52,56,35,26
11,Allard2004,citalopram,venlafaxine,0.09716374850000001,0.3427027871,50,75,49,76,0.0,0,Allard2004,2023,1,50,OR,harmful,citalopram,venlafaxine,76,50,49,75,76,75,76,50,49
12,Altamura1989b,amitriptyline,trazodone,-0.0645385211,0.47371379750000003,21,37,21,36,0.0,0,Altamura1989b,2023,1,50,OR,harmful,amitriptyline,trazodone,36,21,21,37,36,37,36,21,21
13,Alves1999,fluoxetine,venlafaxine,0.0083682497,0.6032707305,40,47,34,40,0.0,0,Alves1999,2023,1,50,OR,harmful,fluoxetine,venlafaxine,40,40,34,47,40,47,40,40,34
14,Amini2005,mirtazapine,fluoxetine,0.9162907319,0.6892024376,12,18,8,18,0.0,0,Amini2005,2023,1,50,OR,harmful,mirtazapine,fluoxetine,18,12,8,18,18,18,18,12,8
15,Andersen1986,citalopram,clomipramine,-0.5667569752,0.3789586106,23,57,31,57,0.0,0,Andersen1986,2023,1,50,OR,harmful,citalopram,clomipramine,57,23,31,57,57,57,57,23,31
16,Ansseau1989a,milnacipran,amitriptyline,-0.6836684366,0.37772668470000004,53,95,35,49,0.0,0,Ansseau1989a,2023,1,50,OR,harmful,milnacipran,amitriptyline,49,53,35,95,49,95,49,53,35
17,Ansseau1989b,milnacipran,amitriptyline,0.5130957723,0.4373646977,28,44,22,43,0.0,0,Ansseau1989b,2023,1,50,OR,harmful,milnacipran,amitriptyline,43,28,22,44,43,44,43,28,22
18,Ansseau1991,milnacipran,fluvoxamine,0.5114523866,0.38784794170000003,56,85,22,41,0.0,0,Ansseau1991,2023,1,50,OR,harmful,milnacipran,fluvoxamine,41,56,22,85,41,85,41,56,22
19,Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),paroxetine,fluvoxamine,0.2795848622,0.3741412056,24,55,24,65,0.0,0,Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),2023,1,50,OR,harmful,paroxetine,fluvoxamine,65,24,24,55,65,55,65,24,24
20,Ansseau1994b,milnacipran,fluoxetine,-0.5578284774,0.2998173266,32,97,43,93,0.0,0,Ansseau1994b,2023,1,50,OR,harmful,milnacipran,fluoxetine,93,32,43,97,93,97,93,32,43
21,Ansseau1994c,nefazodone,amitriptyline,-1.1749852675,0.4065293427,21,55,34,51,0.0,0,Ansseau1994c,2023,1,50,OR,harmful,nefazodone,amitriptyline,51,21,34,55,51,55,51,21,34
22,Armitage1997,nefazodone,fluoxetine,-0.0953101798,0.6105139415,11,22,11,21,0.0,0,Armitage1997,2023,1,50,OR,harmful,nefazodone,fluoxetine,21,11,11,22,21,22,21,11,11
23,Baldwin1996,nefazodone,paroxetine,-0.088947486,0.2810963684,58,105,58,101,0.0,0,Baldwin1996,2023,1,50,OR,harmful,nefazodone,paroxetine,101,58,58,105,101,105,101,58,58
24,Baldwin2006a (97-CRBX-052 - Study 052),reboxetine,paroxetine,-0.40293666180000004,0.2242983348,80,159,100,166,0.0,0,Baldwin2006a (97-CRBX-052 - Study 052),2023,1,50,OR,harmful,reboxetine,paroxetine,166,80,100,159,166,159,166,80,100
25,Baldwin2006b (Study 99505),paroxetine,escitalopram,0.1088143657,0.2393521094,111,159,112,166,0.0,0,Baldwin2006b (Study 99505),2023,1,50,OR,harmful,paroxetine,escitalopram,166,111,112,159,166,159,166,111,112
26,Beasley1991,trazodone,fluoxetine,0.1997519999,0.3577734368,34,61,33,65,0.0,0,Beasley1991,2023,1,50,OR,harmful,trazodone,fluoxetine,65,34,33,61,65,61,65,34,33
27,"Behnke2003 (E-1690, Kjernisted2002)",mirtazapine,sertraline,-0.0262102668,0.2283095131,117,176,114,170,0.0,0,"Behnke2003 (E-1690, Kjernisted2002)",2023,1,50,OR,harmful,mirtazapine,sertraline,170,117,114,176,170,176,170,117,114
28,Benkert2000 (E-1559),mirtazapine,paroxetine,0.1885183233,0.24152713790000002,74,139,66,136,0.0,0,Benkert2000 (E-1559),2023,1,50,OR,harmful,mirtazapine,paroxetine,136,74,66,139,136,139,136,74,66
29,Benkert2006(C-1763),mirtazapine,venlafaxine,0.3440961617,0.2430777638,70,140,56,135,0.0,0,Benkert2006(C-1763),2023,1,50,OR,harmful,mirtazapine,venlafaxine,135,70,56,140,135,140,135,70,56
30,Bennie1995,sertraline,fluoxetine,0.3076673648,0.2375080602,73,142,63,144,0.0,0,Bennie1995,2023,1,50,OR,harmful,sertraline,fluoxetine,144,73,63,142,144,142,144,73,63
31,Berlanga1997,nefazodone,fluoxetine,-0.10845170820000001,0.4658440339,17,37,18,37,0.0,0,Berlanga1997,2023,1,50,OR,harmful,nefazodone,fluoxetine,37,17,18,37,37,37,37,17,18
32,Berlanga2006,reboxetine,citalopram,0.0363676442,0.4086898788,28,46,33,55,0.0,0,Berlanga2006,2023,1,50,OR,harmful,reboxetine,citalopram,55,28,33,46,55,46,55,28,33
33,Bersani1994,sertraline,amitriptyline,0.11778303570000001,0.48549213630000004,18,34,17,34,0.0,0,Bersani1994,2023,1,50,OR,harmful,sertraline,amitriptyline,34,18,17,34,34,34,34,18,17
34,Bielski2004 (SCT-MD-12),escitalopram,venlafaxine,0.47870427050000003,0.28381999690000004,59,101,47,101,0.0,0,Bielski2004 (SCT-MD-12),2023,1,50,OR,harmful,escitalopram,venlafaxine,101,59,47,101,101,101,101,59,47
35,Bignamini1992 (PAR 29060/078),paroxetine,amitriptyline,-0.28107096740000004,0.2298405506,82,156,91,153,0.0,0,Bignamini1992 (PAR 29060/078),2023,1,50,OR,harmful,paroxetine,amitriptyline,153,82,91,156,153,156,153,82,91
36,Blacker1988,amitriptyline,trazodone,0.5877866649,0.3700125986,29,44,58,112,0.0,0,Blacker1988,2023,1,50,OR,harmful,amitriptyline,trazodone,112,29,58,44,112,44,112,29,58
37,Bosc1997b (Study 016 - Massana 1999),reboxetine,fluoxetine,0.14179791190000002,0.35010591620000003,59,79,64,89,0.0,0,Bosc1997b (Study 016 - Massana 1999),2023,1,50,OR,harmful,reboxetine,fluoxetine,89,59,64,79,89,79,89,59,64
38,Bougerol1997 (Study 91302 - FDA),fluoxetine,citalopram,0.1999064616,0.23925622170000002,109,158,102,158,0.0,0,Bougerol1997 (Study 91302 - FDA),2023,1,50,OR,harmful,fluoxetine,citalopram,158,109,102,158,158,158,158,109,102
39,Boulenger2006 (Study 10351),escitalopram,paroxetine,0.2355660713,0.1903197071,144,232,128,227,0.0,0,Boulenger2006 (Study 10351),2023,1,50,OR,harmful,escitalopram,paroxetine,227,144,128,232,227,232,227,144,128
40,Caligiuri2003,bupropion,sertraline,-0.0645385211,1.0165300455,3,7,4,9,0.0,0,Caligiuri2003,2023,1,50,OR,harmful,bupropion,sertraline,9,3,4,7,9,7,9,3,4
41,Casabona2002 (0600B 428),paroxetine,venlafaxine,-0.9816909506,0.4017988007,29,56,43,58,0.0,0,Casabona2002 (0600B 428),2023,1,50,OR,harmful,paroxetine,venlafaxine,58,29,43,56,58,56,58,29,43
42,Cassano2002 (29060/421),paroxetine,fluoxetine,0.4970323016,0.2723505473,50,123,35,119,0.0,0,Cassano2002 (29060/421),2023,1,50,OR,harmful,paroxetine,fluoxetine,119,50,35,123,119,123,119,50,35
