,comparison,k,direct,nma,indirect,p-value
1,agomelatine:amitriptyline,0,,0.9477753212000001,0.9477753212000001,
2,agomelatine:bupropion,0,,0.9403483752,0.9403483752,
3,agomelatine:citalopram,0,,1.105155387,1.105155387,
4,agomelatine:clomipramine,0,,1.1530402506,1.1530402506,
5,agomelatine:duloxetine,1,0.7597348799,1.0577887858,1.1784905381,0.1558142419
6,agomelatine:escitalopram,2,1.2296603331,0.8945864657,0.8135276363,0.1465676556
7,agomelatine:fluoxetine,2,1.1466995902,1.1988487501,1.2293617602,0.7471807483
8,agomelatine:fluvoxamine,0,,1.2128462091,1.2128462091,
9,agomelatine:milnacipran,0,,1.066542066,1.066542066,
10,agomelatine:mirtazapine,0,,0.9984147836,0.9984147836,
11,agomelatine:nefazodone,0,,1.3370390207,1.3370390207,
12,agomelatine:paroxetine,2,0.8549020277,1.0099931704,1.0828296216,0.3051863581
13,agomelatine:reboxetine,0,,1.3834709090000001,1.3834709090000001,
14,agomelatine:sertraline,0,,1.0800463971,1.0800463971,
15,agomelatine:trazodone,0,,1.3938389682,1.3938389682,
16,agomelatine:venlafaxine,2,1.3583571394,1.026361267,0.9463077963000001,0.1612970142
17,agomelatine:vortioxetine,0,,0.7359783333000001,0.7359783333000001,
18,amitriptyline:bupropion,0,,0.9921638116,0.9921638116,
19,amitriptyline:citalopram,2,0.9120525148,1.1660520825,1.2288095396,0.27570478460000003
20,amitriptyline:clomipramine,0,,1.2165755162,1.2165755162,
21,amitriptyline:duloxetine,0,,1.1160754687,1.1160754687,
22,amitriptyline:escitalopram,0,,0.9438803119,0.9438803119,
23,amitriptyline:fluoxetine,13,1.0507290013,1.2649081732,1.3427433408,0.16620146160000002
24,amitriptyline:fluvoxamine,3,1.0863264551,1.2796769255,1.3381514984,0.4637475244
25,amitriptyline:milnacipran,2,1.1733640073,1.1253110755,1.1161838804,0.8827116434000001
26,amitriptyline:mirtazapine,3,1.4547539131,1.0534298175,0.9665358611,0.0843888
27,amitriptyline:nefazodone,1,3.2380952382,1.4107130570000002,1.1879168347,0.0378651501
28,amitriptyline:paroxetine,15,1.0314049498,1.065646201,1.0934704258,0.6862147309000001
29,amitriptyline:reboxetine,0,,1.459703453,1.459703453,
30,amitriptyline:sertraline,4,1.2777646091000001,1.1395595275,1.0992898927,0.46064295990000004
31,amitriptyline:trazodone,4,1.5091142411,1.470642817,1.4560495845,0.9022788256000001
32,amitriptyline:venlafaxine,2,1.1865361883,1.0829162187999999,1.073383582,0.7384828399000001
33,amitriptyline:vortioxetine,0,,0.7765324934000001,0.7765324934000001,
34,bupropion:citalopram,0,,1.1752616542,1.1752616542,
35,bupropion:clomipramine,0,,1.226184126,1.226184126,
36,bupropion:duloxetine,0,,1.1248903211,1.1248903211,
37,bupropion:escitalopram,0,,0.9513351533000001,0.9513351533000001,
38,bupropion:fluoxetine,1,1.1892857143,1.2748985181,1.287115148,0.8540129692
39,bupropion:fluvoxamine,0,,1.2897839152000001,1.2897839152000001,
40,bupropion:milnacipran,0,,1.1341988715,1.1341988715,
41,bupropion:mirtazapine,0,,1.0617498896,1.0617498896,
42,bupropion:nefazodone,0,,1.4218549805,1.4218549805,
43,bupropion:paroxetine,2,1.0086850311,1.0740627591,1.0931028759,0.8124561334
44,bupropion:reboxetine,0,,1.4712323065000001,1.4712323065000001,
45,bupropion:sertraline,3,1.0487329662,1.1485598589000001,1.2233370408,0.5845911140000001
46,bupropion:trazodone,1,2.0952380952,1.4822580705,1.37359463,0.3455684368
47,bupropion:venlafaxine,1,1.1721664275,1.0914691768,1.0636682406,0.7598056674
48,bupropion:vortioxetine,0,,0.7826656085,0.7826656085,
49,citalopram:clomipramine,1,0.5673624288,1.0433286252,1.1129291116,0.1219889915
50,citalopram:duloxetine,0,,0.9571403245000001,0.9571403245000001,
51,citalopram:escitalopram,10,0.6867629631000001,0.8094666834,0.9550798182,0.10369394750000001
52,citalopram:fluoxetine,2,0.9639396161,1.0847784521,1.1209359004,0.5107372859
53,citalopram:fluvoxamine,1,1.1070967742,1.0974440547,1.0957715926,0.9778415228
54,citalopram:milnacipran,0,,0.9650607313,0.9650607313,
55,citalopram:mirtazapine,1,1.3238146552,0.9034157507,0.8711088624000001,0.31022402800000004
56,citalopram:nefazodone,0,,1.209819937,1.209819937,
57,citalopram:paroxetine,0,,0.9138924555,0.9138924555,
58,citalopram:reboxetine,2,1.4741080801,1.2518338373,1.1072137016,0.3490997742
59,citalopram:sertraline,3,0.8912873304000001,0.9772801271,0.9983947428000001,0.6704810641000001
60,citalopram:trazodone,0,,1.2612153771,1.2612153771,
61,citalopram:venlafaxine,2,1.7041179855,0.92870313,0.8740919491,0.056211406400000004
62,citalopram:vortioxetine,0,,0.6659500935,0.6659500935,
63,clomipramine:duloxetine,0,,0.9173910323000001,0.9173910323000001,
64,clomipramine:escitalopram,0,,0.7758501625,0.7758501625,
65,clomipramine:fluoxetine,4,0.6099424305000001,1.0397284479,1.17643009,0.0156045967
66,clomipramine:fluvoxamine,2,1.8541675974,1.0518680579,1.0075631818,0.2678139057
67,clomipramine:milnacipran,1,0.8695652174,0.9249825108,0.9323214439,0.8784214249000001
68,clomipramine:mirtazapine,0,,0.8658975982,0.8658975982,
69,clomipramine:nefazodone,0,,1.1595770573,1.1595770573,
70,clomipramine:paroxetine,6,0.9120197498,0.8759392136,0.8465725573,0.7154620979
71,clomipramine:reboxetine,0,,1.1998461531,1.1998461531,
72,clomipramine:sertraline,2,0.9550940778,0.9366944446000001,0.9329425917,0.9384591536
73,clomipramine:trazodone,1,1.6161616161999999,1.2088380848,1.1576087972,0.4637724265
74,clomipramine:venlafaxine,3,0.9015432184000001,0.8901348123,0.8873727123,0.9546102581
