,comparison,direct,indirect,p-value
1,agomelatine:duloxetine,0.7597348799,1.1784905381,0.1558142419
2,agomelatine:escitalopram,1.2296603331,0.8135276363,0.1465676556
3,agomelatine:fluoxetine,1.1466995902,1.2293617602,0.7471807483
4,agomelatine:paroxetine,0.8549020277,1.0828296216,0.3051863581
5,agomelatine:venlafaxine,1.3583571394,0.9463077963000001,0.1612970142
6,amitriptyline:citalopram,0.9120525148,1.2288095396,0.27570478460000003
7,amitriptyline:fluoxetine,1.0507290013,1.3427433408,0.16620146160000002
8,amitriptyline:fluvoxamine,1.0863264551,1.3381514984,0.4637475244
9,amitriptyline:milnacipran,1.1733640073,1.1161838804,0.8827116434000001
10,amitriptyline:mirtazapine,1.4547539131,0.9665358611,0.0843888
11,amitriptyline:nefazodone,3.2380952382,1.1879168347,0.0378651501
12,amitriptyline:paroxetine,1.0314049498,1.0934704258,0.6862147309000001
13,amitriptyline:sertraline,1.2777646091000001,1.0992898927,0.46064295990000004
14,amitriptyline:trazodone,1.5091142411,1.4560495845,0.9022788256000001
15,amitriptyline:venlafaxine,1.1865361883,1.073383582,0.7384828399000001
16,bupropion:fluoxetine,1.1892857143,1.287115148,0.8540129692
17,bupropion:paroxetine,1.0086850311,1.0931028759,0.8124561334
18,bupropion:sertraline,1.0487329662,1.2233370408,0.5845911140000001
19,bupropion:trazodone,2.0952380952,1.37359463,0.3455684368
20,bupropion:venlafaxine,1.1721664275,1.0636682406,0.7598056674
21,citalopram:clomipramine,0.5673624288,1.1129291116,0.1219889915
22,citalopram:escitalopram,0.6867629631000001,0.9550798182,0.10369394750000001
23,citalopram:fluoxetine,0.9639396161,1.1209359004,0.5107372859
24,citalopram:fluvoxamine,1.1070967742,1.0957715926,0.9778415228
25,citalopram:mirtazapine,1.3238146552,0.8711088624000001,0.31022402800000004
26,citalopram:reboxetine,1.4741080801,1.1072137016,0.3490997742
27,citalopram:sertraline,0.8912873304000001,0.9983947428000001,0.6704810641000001
28,citalopram:venlafaxine,1.7041179855,0.8740919491,0.056211406400000004
29,clomipramine:fluoxetine,0.6099424305000001,1.17643009,0.0156045967
30,clomipramine:fluvoxamine,1.8541675974,1.0075631818,0.2678139057
31,clomipramine:milnacipran,0.8695652174,0.9323214439,0.8784214249000001
32,clomipramine:paroxetine,0.9120197498,0.8465725573,0.7154620979
33,clomipramine:sertraline,0.9550940778,0.9329425917,0.9384591536
34,clomipramine:trazodone,1.6161616161999999,1.1576087972,0.4637724265
35,clomipramine:venlafaxine,0.9015432184000001,0.8873727123,0.9546102581
36,duloxetine:escitalopram,0.6929763519000001,0.9401410961000001,0.2361206663
37,duloxetine:paroxetine,1.034889242,0.9142942831,0.6025833932
38,duloxetine:venlafaxine,0.8993768095,1.0151102133,0.6078611967
39,fluoxetine:escitalopram,1.0206377037,0.7044317221,0.1546219409
40,paroxetine:escitalopram,0.9160924604,0.8762440417,0.8397201150000001
41,sertraline:escitalopram,1.1373163387,0.7957694701,0.2853022709
42,venlafaxine:escitalopram,0.8265292664,0.8815650076,0.8003169167
43,fluoxetine:fluvoxamine,0.9692252489000001,1.0208762545,0.8614507294
44,fluoxetine:milnacipran,1.1715571099,0.7978716720000001,0.14767881600000002
45,fluoxetine:mirtazapine,0.6492230859,0.8917047690000001,0.1503330955
46,fluoxetine:nefazodone,0.9646894554000001,1.1825094775,0.6050257805
47,fluoxetine:paroxetine,0.7882076957,0.8621389682,0.5453829204
48,fluoxetine:reboxetine,1.0136249419,1.2041629254,0.6162071699
49,fluoxetine:sertraline,0.7019583409,1.0050927036,0.0317116797
50,fluoxetine:trazodone,0.8346415366000001,1.2637438231,0.1962329248
51,fluoxetine:venlafaxine,0.83112947,0.8747885378,0.7074508505
52,fluvoxamine:milnacipran,0.5831990180000001,0.9944015018000001,0.1202266304
53,fluvoxamine:mirtazapine,0.8774164209,0.804090646,0.7534047521
54,fluvoxamine:paroxetine,0.8779880276,0.8267981139,0.8634129531
55,fluvoxamine:sertraline,1.5567293705,0.8151384674000001,0.06621938520000001
56,fluvoxamine:venlafaxine,0.4229166666,0.8910460642,0.11208395410000001
57,milnacipran:paroxetine,0.9525936279,0.9425372806000001,0.9638059303000001
58,milnacipran:sertraline,2.0869565218,0.9978716891,0.43173885630000003
59,mirtazapine:paroxetine,0.9765770038,1.0284814579,0.7865120663
60,mirtazapine:sertraline,0.9741302408,1.0986191979,0.6916617789
61,mirtazapine:trazodone,1.5027652086,1.3738379515,0.8064417140000001
62,mirtazapine:venlafaxine,1.3661980222,0.9543477779,0.1293560221
63,nefazodone:paroxetine,0.7636565334000001,0.7509345914000001,0.9639376721
64,nefazodone:sertraline,1.1666666666,0.7112287894,0.2338617889
65,paroxetine:reboxetine,1.4962121213000001,1.3226996665000001,0.7093224290000001
66,paroxetine:sertraline,0.8994330956000001,1.0987649005,0.3951622994
67,paroxetine:trazodone,1.7229555597,1.3045585607999999,0.3827606471
68,paroxetine:venlafaxine,0.688627308,1.0870568521,0.026875425
69,reboxetine:venlafaxine,1.0446428571,0.6870025369,0.28460230870000003
70,sertraline:trazodone,0.5595463138,1.4171934678,0.0392595846
71,sertraline:venlafaxine,0.8800180618000001,0.9772398068,0.5732521762
72,trazodone:venlafaxine,0.46951219510000003,0.7705508598,0.28593260930000003
