,StudyID,Drug,No_randomised,Responders,year,rob,No_randomised1,age,No_randomised2,Responders2
0,Quera-Salva2010 (CL3-20098-056),agomelatine,71,44,2023,l,71,44,71,44
1,Quera-Salva2010 (CL3-20098-056),escitalopram,67,36,2023,l,67,44,67,36
2,0600A-326,venlafaxine,60,32,2023,l,60,32,60,32
3,0600A-326,clomipramine,61,41,2023,l,61,32,61,41
4,0600A-332,venlafaxine,27,14,2023,l,27,32,27,14
5,0600A-332,fluoxetine,24,15,2023,l,24,32,24,15
6,0600A-626,venlafaxine,79,38,2023,l,79,32,79,38
7,0600A-626,fluoxetine,77,36,2023,l,77,32,77,36
8,0600A1-372,venlafaxine,156,86,2023,l,156,86,156,86
9,0600A1-372,fluoxetine,152,74,2023,l,152,86,152,74
10,0600B1-367,paroxetine,81,44,2023,l,81,86,81,44
11,0600B1-367,venlafaxine,165,98,2023,l,165,86,165,98
12,0600B1-402,venlafaxine,295,174,2023,l,295,86,295,174
13,0600B1-402,sertraline,293,167,2023,l,293,86,293,167
14,29060/299,paroxetine,109,53,2023,l,109,53,109,53
15,29060/299,amitriptyline,108,51,2023,l,108,53,108,51
16,29060/356,paroxetine,68,33,2023,l,68,33,68,33
17,29060/356,fluoxetine,70,32,2023,l,70,33,70,32
18,Aberg-Wisted2000,paroxetine,177,112,2023,l,177,112,177,112
19,Aberg-Wisted2000,sertraline,176,111,2023,l,176,112,176,111
20,Aguglia1993,sertraline,52,35,2023,l,52,35,52,35
21,Aguglia1993,fluoxetine,56,26,2023,l,56,35,56,26
22,Allard2004,citalopram,75,50,2023,l,75,50,75,50
23,Allard2004,venlafaxine,76,49,2023,l,76,50,76,49
24,Altamura1989b,amitriptyline,37,21,2023,l,37,50,37,21
25,Altamura1989b,trazodone,36,21,2023,l,36,50,36,21
26,Alves1999,fluoxetine,47,40,2023,l,47,50,47,40
27,Alves1999,venlafaxine,40,34,2023,l,40,50,40,34
28,Amini2005,mirtazapine,18,12,2023,l,18,50,18,12
29,Amini2005,fluoxetine,18,8,2023,l,18,50,18,8
30,Andersen1986,citalopram,57,23,2023,l,57,50,57,23
31,Andersen1986,clomipramine,57,31,2023,l,57,50,57,31
32,Ansseau1989a,milnacipran,95,53,2023,l,95,50,95,53
33,Ansseau1989a,amitriptyline,49,35,2023,l,49,50,49,35
34,Ansseau1989b,milnacipran,44,28,2023,l,44,50,44,28
35,Ansseau1989b,amitriptyline,43,22,2023,l,43,50,43,22
36,Ansseau1991,milnacipran,85,56,2023,l,85,50,85,56
37,Ansseau1991,fluvoxamine,41,22,2023,l,41,50,41,22
38,Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),paroxetine,55,24,2023,l,55,50,55,24
39,Ansseau1994a (MY-1005/BRL-029060/1/CPMS-112),fluvoxamine,65,24,2023,l,65,50,65,24
40,Ansseau1994b,milnacipran,97,32,2023,l,97,50,97,32
41,Ansseau1994b,fluoxetine,93,43,2023,l,93,50,93,43
42,Ansseau1994c,nefazodone,55,21,2023,l,55,50,55,21
43,Ansseau1994c,amitriptyline,51,34,2023,l,51,50,51,34
44,Armitage1997,nefazodone,22,11,2023,l,22,50,22,11
45,Armitage1997,fluoxetine,21,11,2023,l,21,50,21,11
46,Baldwin1996,nefazodone,105,58,2023,l,105,50,105,58
47,Baldwin1996,paroxetine,101,58,2023,l,101,50,101,58
48,Baldwin2006a (97-CRBX-052 - Study 052),reboxetine,159,80,2023,l,159,50,159,80
49,Baldwin2006a (97-CRBX-052 - Study 052),paroxetine,166,100,2023,l,166,50,166,100
50,Baldwin2006b (Study 99505),paroxetine,159,111,2023,l,159,50,159,111
51,Baldwin2006b (Study 99505),escitalopram,166,112,2023,l,166,50,166,112
52,Beasley1991,trazodone,61,34,2023,l,61,50,61,34
53,Beasley1991,fluoxetine,65,33,2023,l,65,50,65,33
54,"Behnke2003 (E-1690, Kjernisted2002)",mirtazapine,176,117,2023,l,176,50,176,117
55,"Behnke2003 (E-1690, Kjernisted2002)",sertraline,170,114,2023,l,170,50,170,114
56,Benkert2000 (E-1559),mirtazapine,139,74,2023,l,139,50,139,74
57,Benkert2000 (E-1559),paroxetine,136,66,2023,l,136,50,136,66
58,Benkert2006(C-1763),mirtazapine,140,70,2023,l,140,50,140,70
59,Benkert2006(C-1763),venlafaxine,135,56,2023,l,135,50,135,56
60,Bennie1995,sertraline,142,73,2023,l,142,50,142,73
61,Bennie1995,fluoxetine,144,63,2023,l,144,50,144,63
62,Berlanga1997,nefazodone,37,17,2023,l,37,50,37,17
63,Berlanga1997,fluoxetine,37,18,2023,l,37,50,37,18
