,Treatment,OR,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,DB,11.1668381862,1.4915826325000001,83.6013187342,0.9736175551,0.3779753011,TM
1,MT,5.2672163181,0.5342101055,51.9338130353,0.8564681432,0.3779753011,TM
2,NI,6.3633533838,1.4948365318,27.088089851,1.3530878243,0.3779753011,TM
3,PCT,2.1374766931,0.38494390110000004,11.8687595787,1.143334687,0.3779753011,TM
4,WBM,6.1357247203,0.9188965399000001,40.9699201261,1.0322798426,0.3779753011,TM
5,WC,6.4164032414,0.7427281514,55.4310893963,0.9089716387000001,0.3779753011,TM
6,WM,6.1546796363,0.5030810965,75.2961732981,0.7826798992,0.3779753011,TM
7,XX,4.1314042775,0.3465975133,49.2458850661,0.7908939236,0.3779753011,TM
8,YG,2.5264110796,0.2313440414,27.5898739569,0.8198610264,0.3779753011,TM
9,DB,5.224308748,0.9817097874,27.8019046416,1.1724016378,0.3779753011,PCT
10,MT,2.4642216382,0.5411037132000001,11.2222262266,1.2928586739,0.3779753011,PCT
11,NI,2.9770398922,1.1902212773,7.4463183345,2.1378936032,0.3779753011,PCT
12,TM,0.46784135860000003,0.084254803,2.5977811239,1.143334687,0.3779753011,PCT
13,WBM,2.870545789,0.6202697490000001,13.284596162,1.2792873598,0.3779753011,PCT
14,WC,3.0018588096,0.8116070262,11.1028564588,1.4985044996,0.3779753011,PCT
15,WM,2.8794136826,0.4639952379,17.8687677758,1.0736974533,0.3779753011,PCT
16,XX,1.93284179,0.3228294519,11.5722941719,1.0952030645,0.3779753011,PCT
17,YG,1.1819595918,0.22333332800000003,6.2553515389,1.1762844645000001,0.3779753011,PCT
18,DB,2.1200644727,0.22193752120000002,20.2519760717,0.8684840924,0.3779753011,MT
19,NI,1.2081055722,0.20543644190000002,7.1044799053,1.1062995436,0.3779753011,MT
20,PCT,0.4058076532,0.0891088791,1.8480745475,1.2928586739,0.3779753011,MT
21,TM,0.18985360380000002,0.0192552779,1.8719226567,0.8564681432,0.3779753011,MT
22,WBM,1.1648894501,0.1349632893,10.0543446871,0.9093529772000001,0.3779753011,MT
23,WC,1.2181772788,0.5660066446,2.6217994027,2.5570603812,0.3779753011,MT
24,WM,1.1684881092000001,0.26432257530000003,5.1655234512,1.3187146685,0.3779753011,MT
25,XX,0.7843619908,0.1854576377,3.3173275593,1.3591816876,0.3779753011,MT
26,YG,0.4796482482,0.1325942388,1.7350862604000001,1.5243909671,0.3779753011,MT
27,DB,1.8199705325000002,0.2831988421,11.6959967583,1.0535219714,0.3779753011,WBM
28,MT,0.8584505594,0.0994594905,7.4094222589,0.9093529772000001,0.3779753011,WBM
29,NI,1.0370989042,0.3038853226,3.5394079836,1.5966994893000002,0.3779753011,WBM
30,PCT,0.3483658069,0.0752751524,1.6122017907,1.2792873598,0.3779753011,WBM
31,TM,0.1629799324,0.0244081511,1.0882617973,1.0322798426,0.3779753011,WBM
32,WC,1.0457449664,0.1394917505,7.8397649405,0.9729561217,0.3779753011,WBM
33,WM,1.0030892709,0.0925393144,10.873087741700001,0.8224214881,0.3779753011,WBM
34,XX,0.6733359898,0.06384012700000001,7.1018241415,0.8319670593,0.3779753011,WBM
35,YG,0.41175430690000003,0.0428134084,3.9600119582,0.8658867373,0.3779753011,WBM
36,MT,0.47168376850000004,0.049377897600000005,4.5057725915999995,0.8684840924,0.3779753011,DB
37,NI,0.5698437891,0.1408057506,2.3061696173,1.402021932,0.3779753011,DB
38,PCT,0.1914128832,0.0359687587,1.0186309772,1.1724016378,0.3779753011,DB
39,TM,0.0895508633,0.0119615338,0.6704288306,0.9736175551,0.3779753011,DB
40,WBM,0.5494594457,0.08549933970000001,3.5310878838,1.0535219714,0.3779753011,DB
41,WC,0.5745944496000001,0.0687869876,4.7997272913,0.9233741304,0.3779753011,DB
42,WM,0.5511568748,0.0463723721,6.5507518082,0.7918182154000001,0.3779753011,DB
43,XX,0.3699708197,0.0319580332,4.2830673115,0.8003264821,0.3779753011,DB
44,YG,0.2262422933,0.0213542029,2.3969789668,0.8303825307,0.3779753011,DB
45,DB,4.4200400624,0.4171918126,46.8291887842,0.8303825307,0.3779753011,YG
46,MT,2.0848611537,0.5763402217,7.5418058053,1.5243909671,0.3779753011,YG
47,NI,2.5187323769,0.3760363867,16.8707417986,1.030588976,0.3779753011,YG
48,PCT,0.8460526121,0.1598631178,4.4776120482,1.1762844645000001,0.3779753011,YG
49,TM,0.3958184034,0.0362451819,4.3225664853,0.8198610264,0.3779753011,YG
50,WBM,2.4286327628,0.25252449,23.3571686347,0.8658867373,0.3779753011,YG
51,WC,2.5397304869,0.9046168041,7.13034615,1.8986695304,0.3779753011,YG
52,WM,2.4361354674,0.4729088099,12.549472311,1.1956573295,0.3779753011,YG
53,XX,1.6352858450999999,0.3304054421,8.093570669,1.225572661,0.3779753011,YG
54,DB,2.7029158698,0.23347753540000002,31.2910369969,0.8003264821,0.3779753011,XX
55,MT,1.2749215435,0.30144747,5.3920669557,1.3591816876,0.3779753011,XX
56,NI,1.5402398208,0.2062129271,11.5043161373,0.9747441071,0.3779753011,XX
57,PCT,0.5173729196,0.08641328890000001,3.0976108097,1.0952030645,0.3779753011,XX
58,TM,0.24204844960000002,0.0203062652,2.8851909251,0.7908939236,0.3779753011,XX
59,WBM,1.4851426557,0.1408088936,15.66412924,0.8319670593,0.3779753011,XX
60,WC,1.5530804565,0.4578478904,5.2682538351,1.6046388904,0.3779753011,XX
61,WM,1.4897306637,0.2551464389,8.698132177,1.1107880951,0.3779753011,XX
62,YG,0.6115138849,0.12355486110000001,3.0265845308,1.225572661,0.3779753011,XX
63,DB,1.814365466,0.1526542341,21.564564283,0.7918182154000001,0.3779753011,WM
64,MT,0.8558067405,0.19359122250000002,3.7832561178,1.3187146685,0.3779753011,WM
65,NI,1.0339048919,0.1340678287,7.973272453,0.9594898425,0.3779753011,WM
66,PCT,0.34729292500000003,0.055963568000000005,2.1551945327,1.0736974533,0.3779753011,WM
67,TM,0.1624779938,0.0132808874,1.9877510941,0.7826798992,0.3779753011,WM
68,WBM,0.9969202433000001,0.091970195,10.8062179417,0.8224214881,0.3779753011,WM
69,WC,1.0425243263,0.2917803654,3.7249146957,1.5391877088,0.3779753011,WM
70,XX,0.6712622787,0.11496721130000001,3.9193178795,1.1107880951,0.3779753011,WM
71,YG,0.4104862038,0.0796846254,2.1145725753,1.1956573295,0.3779753011,WM
72,DB,1.7548668937,0.43361944950000003,7.1019826668,1.402021932,0.3779753011,NI
73,MT,0.8277422297,0.1407562571,4.8676855508,1.1062995436,0.3779753011,NI
74,PCT,0.3359041317,0.134294554,0.8401799052000001,2.1378936032,0.3779753011,NI
75,TM,0.1571498453,0.0369165934,0.6689694684,1.3530878243,0.3779753011,NI
76,WBM,0.9642281907,0.28253312550000004,3.2907150345,1.5966994893000002,0.3779753011,NI
77,WC,1.0083367769,0.20413491960000002,4.9807404709,1.2270888496,0.3779753011,NI
78,WM,0.9672069529,0.1254190178,7.4589109832,0.9594898425,0.3779753011,NI
79,XX,0.6492495432000001,0.0869238978,4.8493565067,0.9747441071,0.3779753011,NI
80,YG,0.3970251104,0.0592742164,2.6593171177,1.030588976,0.3779753011,NI
81,DB,1.740357918,0.20834517030000002,14.5376332845,0.9233741304,0.3779753011,WC
82,MT,0.8208985813,0.38141743380000004,1.7667637112999999,2.5570603812,0.3779753011,WC
83,NI,0.9917321503000001,0.20077336010000002,4.8987209138,1.2270888496,0.3779753011,WC
84,PCT,0.3331269268,0.0900669124,1.2321233894,1.4985044996,0.3779753011,WC
85,TM,0.155850554,0.0180404176,1.3463876361,0.9089716387000001,0.3779753011,WC
86,WBM,0.956256097,0.1275548448,7.168882724,0.9729561217,0.3779753011,WC
87,WM,0.9592102311,0.2684625238,3.4272354094,1.5391877088,0.3779753011,WC
88,XX,0.6438816455,0.1898162145,2.1841315008,1.6046388904,0.3779753011,WC
89,YG,0.3937425665,0.1402456457,1.1054404423,1.8986695304,0.3779753011,WC
