,Treatment,MD,CI_lower,CI_upper,WEIGHT,tau2,Reference
0,DB,2.41294851,0.39983772570000004,4.4260592943,0.9736175551,0.3779753011,TM
1,MT,1.6615020101,-0.6269660614,3.9499700816,0.8564681432,0.3779753011,TM
2,NI,1.8505555,0.4020168576,3.2990941424,1.3530878243,0.3779753011,TM
3,PCT,0.7596260179000001,-0.9546576668000001,2.4739097026,1.143334687,0.3779753011,TM
4,WBM,1.8141281999999999,-0.084581742,3.712838142,1.0322798426,0.3779753011,TM
5,WC,1.8588577178999999,-0.29742518090000003,4.0151406168,0.9089716387000001,0.3779753011,TM
6,WM,1.8172127089,-0.6870038962,4.3214293141,0.7826798992,0.3779753011,TM
7,XX,1.4186173679,-1.0595910763,3.8968258122,0.7908939236,0.3779753011,TM
8,YG,0.9267997501,-1.4638493197,3.3174488198,0.8198610264,0.3779753011,TM
9,DB,1.6533224921,-0.0184595465,3.3251045306,1.1724016378,0.3779753011,PCT
10,MT,0.9018759922,-0.6141443120000001,2.4178962963,1.2928586739,0.3779753011,PCT
11,NI,1.0909294821,0.17413923720000002,2.007719727,2.1378936032,0.3779753011,PCT
12,TM,-0.7596260179000001,-2.4739097026,0.9546576668000001,1.143334687,0.3779753011,PCT
13,WBM,1.0545021821,-0.47760081660000003,2.5866051807,1.2792873598,0.3779753011,PCT
14,WC,1.0992317,-0.2087390138,2.4072024138,1.4985044996,0.3779753011,PCT
15,WM,1.057586691,-0.7678809899,2.8830543719,1.0736974533,0.3779753011,PCT
16,XX,0.65899135,-1.1306311078,2.4486138078,1.0952030645,0.3779753011,PCT
17,YG,0.1671737321,-1.4990898794,1.8334373436,1.1762844645000001,0.3779753011,PCT
18,DB,0.7514464999,-1.5053593728,3.0082523726,0.8684840924,0.3779753011,MT
19,NI,0.1890534899,-1.5826185779,1.9607255576,1.1062995436,0.3779753011,MT
20,PCT,-0.9018759922,-2.4178962963,0.6141443120000001,1.2928586739,0.3779753011,MT
21,TM,-1.6615020101,-3.9499700816,0.6269660614,0.8564681432,0.3779753011,MT
