,OR,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0,1.7548668937,1.7548668937,1,8,DB,NI,0.8638639549,3.5648643485,0.8638639549,3.5648643485,,,7.6477006792,,
1,0.8246708764,0.8446922723,2,5,MT,WC,0.4055822013,1.6768044852,0.5027379074,1.419238582,0.0027034137000000002,263.9274331809,3.7678890210000002,0.1342997652,0.6648736150000001
2,1.2093749066,0.8446922723,2,6,MT,WC,0.8670701037,1.6868159316,0.5027379074,1.419238582,0.0027034137000000002,263.9274331809,6.1304214516,0.1342997652,0.6648736150000001
3,0.5211378578,0.8446922723,2,9,MT,WC,0.2851821726,0.9523199305000001,0.5027379074,1.419238582,0.0027034137000000002,263.9274331809,4.3683764692,0.1342997652,0.6648736150000001
4,0.3230465011,0.33659040700000004,3,2,NI,PCT,0.1973093936,0.5289106613,0.24009999340000002,0.4718579974,,,15.8037943711,0.0,0.0
5,0.3490486389,0.33659040700000004,3,3,NI,PCT,0.2195150741,0.5550186146,0.24009999340000002,0.4718579974,,,17.8588183913,0.0,0.0
6,0.3331269268,0.3331269268,4,4,PCT,WC,0.20030692860000002,0.5540175277,0.20030692860000002,0.5540175277,,,14.8463345897,,
7,0.1571498453,0.1571498453,5,1,NI,TM,0.0703390814,0.3511003186,0.0703390814,0.3511003186,,,5.9445933285,,
8,0.9642281907,0.9642281907,6,7,NI,WBM,0.7629762484,1.2185648057,0.7629762484,1.2185648057,,,70.0953739392,,
9,0.9592102311,0.9592102311,7,12,WC,WM,0.6354897134,1.4478350288000001,0.6354897134,1.4478350288000001,,,22.6623080947,,
10,0.6438816455,0.6438816455,8,11,WC,XX,0.5272583118,0.7863006882,0.5272583118,0.7863006882,,,96.2053855766,,
11,0.1242397143,0.4146556213,9,10,WC,YG,0.058270276100000004,0.2648950311,0.0381643052,4.5052381593,,,0.3408294522,2.784796304,0.9398130482
12,1.4174397056,0.4146556213,9,13,WC,YG,0.5804959981,3.4610666146,0.0381643052,4.5052381593,,,0.3341957337,2.784796304,0.9398130482
