,MD,TE_diamond,id,studlab,treat1,treat2,CI_lower,CI_upper,CI_lower_diamond,CI_upper_diamond,Predict_lo,Predict_up,WEIGHT,tau2,I2
0,0.56239301,0.56239301,1,8,DB,NI,-0.1463399822,1.2711260022,-0.1463399822,1.2711260022,,,7.6477006792,,
1,-0.19277091000000002,-0.1687828928,2,5,MT,WC,-0.90243171,0.51688989,-0.6876863035,0.35012051790000004,-5.9132399766,5.575674191,3.7678890210000002,0.1342997652,0.6648736150000001
2,0.19010362,-0.1687828928,2,6,MT,WC,-0.1426354477,0.5228426877,-0.6876863035,0.35012051790000004,-5.9132399766,5.575674191,6.1304214516,0.1342997652,0.6648736150000001
3,-0.65174067,-0.1687828928,2,9,MT,WC,-1.2546271008,-0.0488542392,-0.6876863035,0.35012051790000004,-5.9132399766,5.575674191,4.3683764692,0.1342997652,0.6648736150000001
4,-1.129959,-1.0888884974,3,2,NI,PCT,-1.6229822564,-0.6369357436,-1.4266998032,-0.7510771915000001,,,15.8037943711,0.0,0.0
5,-1.052544,-1.0888884974,3,3,NI,PCT,-1.516334374,-0.588753626,-1.4266998032,-0.7510771915000001,,,17.8588183913,0.0,0.0
6,-1.0992317,-1.0992317,4,4,PCT,WC,-1.6079044456,-0.5905589544000001,-1.6079044456,-0.5905589544000001,,,14.8463345897,,
7,-1.8505555,-1.8505555,5,1,NI,TM,-2.6544277116,-1.0466832884,-2.6544277116,-1.0466832884,,,5.9445933285,,
8,-0.036427299999999996,-0.036427299999999996,6,7,NI,WBM,-0.27052837750000003,0.1976737775,-0.27052837750000003,0.1976737775,,,70.0953739392,,
9,-0.041645009000000004,-0.041645009000000004,7,12,WC,WM,-0.4533593751,0.3700693571,-0.4533593751,0.3700693571,,,22.6623080947,,
10,-0.44024035,-0.44024035,8,11,WC,XX,-0.6400646953,-0.24041600470000002,-0.6400646953,-0.24041600470000002,,,96.2053855766,,
11,-2.0855424,-0.8803069315000001,9,10,WC,YG,-2.8426631595,-1.3284216405,-3.2658546182,1.5052407552,,,0.3408294522,2.784796304,0.9398130482
12,0.34885222,-0.8803069315000001,9,13,WC,YG,-0.5438723717,1.2415768117,-3.2658546182,1.5052407552,,,0.3341957337,2.784796304,0.9398130482
