,studlab,treat1,treat2,MD,TE_direct,TE_adj,seTE
0,1,NI,TM,1.8505555,1.8505555,0.0,0.41014642
1,2,NI,PCT,1.129959,1.0888884974,0.0410705026,0.25154709999999997
2,3,NI,PCT,1.052544,1.0888884974,-0.0363444974,0.23663209000000002
3,4,WC,PCT,1.0992317,1.0992317,0.0,0.25953168
4,5,WC,MT,0.19277091000000002,0.0333225173,0.1594483927,0.36207849000000003
5,6,WC,MT,-0.19010362,0.0333225173,-0.22342613730000002,0.16976795
6,9,WC,MT,0.65174067,0.0333225173,0.6184181527,0.30760077
7,7,NI,WBM,0.036427299999999996,0.036427299999999996,0.0,0.11944152000000001
8,8,NI,DB,-0.56239301,-0.56239301,0.0,0.36160511
9,10,WC,YG,2.0855424,1.0670898534,1.0184525466,0.3862932
10,13,WC,YG,-0.34885222,1.0670898534,-1.4159420734000001,0.4554801
11,11,WC,XX,0.44024035,0.44024035,5.551115123e-17,0.10195307
12,12,WC,WM,0.041645009000000004,0.041645009000000004,0.0,0.21006221
13,1,TM,NI,-1.8505555,-1.8505555,0.0,0.41014642
14,2,PCT,NI,-1.129959,-1.0888884974,-0.0410705026,0.25154709999999997
15,3,PCT,NI,-1.052544,-1.0888884974,0.0363444974,0.23663209000000002
16,7,WBM,NI,-0.036427299999999996,-0.036427299999999996,0.0,0.11944152000000001
17,8,DB,NI,0.56239301,0.56239301,0.0,0.36160511
18,4,PCT,WC,-1.0992317,-1.0992317,0.0,0.25953168
19,5,MT,WC,-0.19277091000000002,-0.0333225173,-0.1594483927,0.36207849000000003
20,6,MT,WC,0.19010362,-0.0333225173,0.22342613730000002,0.16976795
21,9,MT,WC,-0.65174067,-0.0333225173,-0.6184181527,0.30760077
22,10,YG,WC,-2.0855424,-1.0670898534,-1.0184525466,0.3862932
23,13,YG,WC,0.34885222,-1.0670898534,1.4159420734000001,0.4554801
24,11,XX,WC,-0.44024035,-0.44024035,-5.551115123e-17,0.10195307
25,12,WM,WC,-0.041645009000000004,-0.041645009000000004,0.0,0.21006221
