,DB,MT,NI,PCT,TM,WBM,WC,WM,XX,YG
DB,DB,.,"0.56
(-0.84, 1.96)",.,.,.,.,.,.,.
MT,"0.75
(-1.51, 3.01)",MT,.,.,.,.,"-0.20
(-0.96, 0.57)",.,.,.
NI,"0.56
(-0.84, 1.96)","-0.19
(-1.96, 1.58)",NI,"1.09
( 0.17, 2.01)","1.85
( 0.40, 3.30)","0.04
(-1.19, 1.26)",.,.,.,.
PCT,"1.65
(-0.02, 3.33)","0.90
(-0.61, 2.42)","1.09
( 0.17, 2.01)",PCT,.,.,"-1.10
(-2.41, 0.21)",.,.,.
TM,"2.41
( 0.40, 4.43)","1.66
(-0.63, 3.95)","1.85
( 0.40, 3.30)","0.76
(-0.95, 2.47)",TM,.,.,.,.,.
WBM,"0.60
(-1.26, 2.46)","-0.15
(-2.31, 2.00)","0.04
(-1.19, 1.26)","-1.05
(-2.59, 0.48)","-1.81
(-3.71, 0.08)",WBM,.,.,.,.
WC,"0.55
(-1.57, 2.68)","-0.20
(-0.96, 0.57)","-0.01
(-1.61, 1.59)","-1.10
(-2.41, 0.21)","-1.86
(-4.02, 0.30)","-0.04
(-2.06, 1.97)",WC,"0.04
(-1.23, 1.32)","0.44
(-0.78, 1.66)","0.93
(-0.10, 1.96)"
WM,"0.60
(-1.88, 3.07)","-0.16
(-1.64, 1.33)","0.03
(-2.01, 2.08)","-1.06
(-2.88, 0.77)","-1.82
(-4.32, 0.69)","-0.00
(-2.39, 2.38)","0.04
(-1.23, 1.32)",WM,.,.
XX,"0.99
(-1.45, 3.44)","0.24
(-1.20, 1.68)","0.43
(-1.58, 2.44)","-0.66
(-2.45, 1.13)","-1.42
(-3.90, 1.06)","0.40
(-1.96, 2.75)","0.44
(-0.78, 1.66)","0.40
(-1.37, 2.16)",XX,.
YG,"1.49
(-0.87, 3.85)","0.73
(-0.55, 2.02)","0.92
(-0.98, 2.83)","-0.17
(-1.83, 1.50)","-0.93
(-3.32, 1.46)","0.89
(-1.38, 3.15)","0.93
(-0.10, 1.96)","0.89
(-0.75, 2.53)","0.49
(-1.11, 2.09)",YG
