,studlab,treat1,treat2,n11,n21,rob,year,TE1,seTE1,TE2,seTE2,n12,n22,effect_size1,outcome1_direction,effect_size2,outcome2_direction
0,1,TM,NI,15,18,3,2015,-1.8505555,0.41014642,-1.8505555,0.41014642,15,18,OR,beneficial,MD,harmful
1,2,PCT,NI,37,35,3,2015,-1.129959,0.25154709999999997,-1.129959,0.25154709999999997,37,35,OR,beneficial,MD,harmful
2,3,PCT,NI,39,41,3,2015,-1.052544,0.23663209000000002,-1.052544,0.23663209000000002,39,41,OR,beneficial,MD,harmful
3,4,PCT,WC,34,33,3,2015,-1.0992317,0.25953168,-1.0992317,0.25953168,34,33,OR,beneficial,MD,harmful
4,5,MT,WC,15,14,3,2015,-0.19277091000000002,0.36207849000000003,-0.19277091000000002,0.36207849000000003,15,14,OR,beneficial,MD,harmful
5,6,MT,WC,71,67,3,2015,0.19010362,0.16976795,0.19010362,0.16976795,71,67,OR,beneficial,MD,harmful
6,7,WBM,NI,137,142,3,2015,-0.036427299999999996,0.11944152000000001,-0.036427299999999996,0.11944152000000001,137,142,OR,beneficial,MD,harmful
7,8,DB,NI,13,18,3,2015,0.56239301,0.36160511,0.56239301,0.36160511,13,18,OR,beneficial,MD,harmful
8,9,MT,WC,22,21,3,2015,-0.65174067,0.30760077,-0.65174067,0.30760077,22,21,OR,beneficial,MD,harmful
9,10,YG,WC,28,15,3,2015,-2.0855424,0.3862932,-2.0855424,0.3862932,28,15,OR,beneficial,MD,harmful
10,11,XX,WC,128,74,3,2015,-0.44024035,0.10195307,-0.44024035,0.10195307,128,74,OR,beneficial,MD,harmful
11,12,WM,WC,39,52,3,2015,-0.041645009000000004,0.21006221,-0.041645009000000004,0.21006221,39,52,OR,beneficial,MD,harmful
12,13,YG,WC,10,8,3,2015,0.34885222,0.4554801,0.34885222,0.4554801,10,8,OR,beneficial,MD,harmful
