,comparison,k,direct,nma,indirect,p-value
1,DB:MT,0,,2.1200644727,2.1200644727,
2,DB:NI,1,1.7548668937,1.7548668937,,
3,DB:PCT,0,,5.224308748,5.224308748,
4,DB:TM,0,,11.1668381862,11.1668381862,
5,DB:WBM,0,,1.8199705325000002,1.8199705325000002,
6,DB:WC,0,,1.740357918,1.740357918,
7,DB:WM,0,,1.814365466,1.814365466,
8,DB:XX,0,,2.7029158698,2.7029158698,
9,DB:YG,0,,4.4200400624,4.4200400624,
10,MT:NI,0,,0.8277422297,0.8277422297,
11,MT:PCT,0,,2.4642216382,2.4642216382,
12,MT:TM,0,,5.2672163181,5.2672163181,
13,MT:WBM,0,,0.8584505594,0.8584505594,
14,MT:WC,3,0.8208985813,0.8208985813,,
15,MT:WM,0,,0.8558067405,0.8558067405,
16,MT:XX,0,,1.2749215435,1.2749215435,
17,MT:YG,0,,2.0848611537,2.0848611537,
18,PCT:NI,2,0.3359041317,0.3359041317,,
19,TM:NI,1,0.1571498453,0.1571498453,,
20,WBM:NI,1,0.9642281907,0.9642281907,,
21,WC:NI,0,,1.0083367769,1.0083367769,
22,WM:NI,0,,0.9672069529,0.9672069529,
23,XX:NI,0,,0.6492495432000001,0.6492495432000001,
24,YG:NI,0,,0.3970251104,0.3970251104,
25,PCT:TM,0,,2.1374766931,2.1374766931,
26,PCT:WBM,0,,0.3483658069,0.3483658069,
27,PCT:WC,1,0.3331269268,0.3331269268,,
28,PCT:WM,0,,0.34729292500000003,0.34729292500000003,
29,PCT:XX,0,,0.5173729196,0.5173729196,
30,PCT:YG,0,,0.8460526121,0.8460526121,
31,TM:WBM,0,,0.1629799324,0.1629799324,
32,TM:WC,0,,0.155850554,0.155850554,
33,TM:WM,0,,0.1624779938,0.1624779938,
34,TM:XX,0,,0.24204844960000002,0.24204844960000002,
35,TM:YG,0,,0.3958184034,0.3958184034,
36,WBM:WC,0,,0.956256097,0.956256097,
37,WBM:WM,0,,0.9969202433000001,0.9969202433000001,
38,WBM:XX,0,,1.4851426557,1.4851426557,
39,WBM:YG,0,,2.4286327628,2.4286327628,
40,WC:WM,1,1.0425243263,1.0425243263,,
41,WC:XX,1,1.5530804565,1.5530804565,,
42,WC:YG,2,2.5397304869,2.5397304869,,
43,WM:XX,0,,1.4897306637,1.4897306637,
44,WM:YG,0,,2.4361354674,2.4361354674,
45,XX:YG,0,,1.6352858450999999,1.6352858450999999,
