,comparison,direct,indirect,p-value
1,DB:MT,,2.1200644727,
2,DB:NI,1.7548668937,,
3,DB:PCT,,5.224308748,
4,DB:TM,,11.1668381862,
5,DB:WBM,,1.8199705325000002,
6,DB:WC,,1.740357918,
7,DB:WM,,1.814365466,
8,DB:XX,,2.7029158698,
9,DB:YG,,4.4200400624,
10,MT:NI,,0.8277422297,
11,MT:PCT,,2.4642216382,
12,MT:TM,,5.2672163181,
13,MT:WBM,,0.8584505594,
14,MT:WC,0.8208985813,,
15,MT:WM,,0.8558067405,
16,MT:XX,,1.2749215435,
17,MT:YG,,2.0848611537,
18,PCT:NI,0.3359041317,,
19,TM:NI,0.1571498453,,
20,WBM:NI,0.9642281907,,
21,WC:NI,,1.0083367769,
22,WM:NI,,0.9672069529,
23,XX:NI,,0.6492495432000001,
24,YG:NI,,0.3970251104,
25,PCT:TM,,2.1374766931,
26,PCT:WBM,,0.3483658069,
27,PCT:WC,0.3331269268,,
28,PCT:WM,,0.34729292500000003,
29,PCT:XX,,0.5173729196,
30,PCT:YG,,0.8460526121,
31,TM:WBM,,0.1629799324,
32,TM:WC,,0.155850554,
33,TM:WM,,0.1624779938,
34,TM:XX,,0.24204844960000002,
35,TM:YG,,0.3958184034,
36,WBM:WC,,0.956256097,
37,WBM:WM,,0.9969202433000001,
38,WBM:XX,,1.4851426557,
39,WBM:YG,,2.4286327628,
40,WC:WM,1.0425243263,,
41,WC:XX,1.5530804565,,
42,WC:YG,2.5397304869,,
43,WM:XX,,1.4897306637,
44,WM:YG,,2.4361354674,
45,XX:YG,,1.6352858450999999,
