studlab,name,year,treat,nz,r,z1,age,perc_male,weight,pasi_score,rob,effect_size1,effect_size2
1,Griffith_2010_ACCEPT,2010,AIL1223,556,231,8,45.0,0.678848283,90.0,20.0,3,RR,RR
1,Griffith_2010_ACCEPT,2010,ATA,347,80,4,45.0,0.678848283,90.0,20.0,3,RR,RR
2,Igarashi_2012,2012,AIL1223,126,48,3,45.0,0.7875,72.0,30.0,2,RR,RR
2,Igarashi_2012,2012,PBO,32,1,2,45.0,0.7875,72.0,30.0,2,RR,RR
3,Krueger_2007,2007,AIL1223,256,95,9,45.0,0.69375,93.0,19.0,1,RR,RR
3,Krueger_2007,2007,PBO,64,1,1,45.0,0.69375,93.0,19.0,1,RR,RR
4,Leonardi_2008_PHOENIX1,2008,AIL1223,511,200,6,45.0,0.693211488,93.5,20.5,1,RR,RR
4,Leonardi_2008_PHOENIX1,2008,PBO,255,5,2,45.0,0.693211488,93.5,20.5,1,RR,RR
5,Papp_2008_PHOENIX2,2008,AIL1223,820,382,13,47.0,0.682926829,91.0,19.5,1,RR,RR
5,Papp_2008_PHOENIX2,2008,PBO,410,3,8,47.0,0.682926829,91.0,19.5,1,RR,RR
6,Tsai_2011_PEARL,2011,AIL1223,61,30,0,41.0,0.851239669,74.0,24.0,1,RR,RR
6,Tsai_2011_PEARL,2011,PBO,60,1,2,41.0,0.851239669,74.0,24.0,1,RR,RR
7,Papp_2012a,2012,PBO,50,0,0,44.5,0.634517766,91.0,22.0,1,RR,RR
7,Papp_2012a,2012,SM,147,32,4,44.5,0.634517766,91.0,22.0,1,RR,RR
8,Blauvelt_2015_FEATURE,2014,AIL17,118,63,4,46.0,0.661016949,92.0,21.0,1,RR,RR
8,Blauvelt_2015_FEATURE,2014,PBO,59,0,1,46.0,0.661016949,92.0,21.0,1,RR,RR
9,Langley_2014_ERASURE,2014,AIL17,490,240,10,45.0,0.689701897,89.0,22.0,1,RR,RR
9,Langley_2014_ERASURE,2014,PBO,248,3,4,45.0,0.689701897,89.0,22.0,1,RR,RR
10,Langley_2014_FIXTURE,2014,AIL17,654,312,11,44.0,0.711332312,83.0,23.5,1,RR,RR
10,Langley_2014_FIXTURE,2014,ATA,326,67,3,44.0,0.711332312,83.0,23.5,1,RR,RR
10,Langley_2014_FIXTURE,2014,PBO,326,5,6,44.0,0.711332312,83.0,23.5,1,RR,RR
11,Papp_2013a,2013,AIL17,103,20,3,46.0,0.728,91.0,21.0,3,RR,RR
11,Papp_2013a,2013,PBO,22,1,2,46.0,0.728,91.0,21.0,3,RR,RR
12,Rich_2013,2013,AIL17,337,73,12,44.0,0.757425743,,20.5,1,RR,RR
12,Rich_2013,2013,PBO,67,1,1,44.0,0.757425743,,20.5,1,RR,RR
18,Reich_2005_EXPRESS,2005,ATA,301,172,17,43.0,0.708994709,,23.0,1,RR,RR
18,Reich_2005_EXPRESS,2005,PBO,77,1,2,43.0,0.708994709,,23.0,1,RR,RR
19,Torii_2010,2010,ATA,35,19,1,45.0,0.666666667,69.0,32.0,2,RR,RR
19,Torii_2010,2010,PBO,19,0,1,45.0,0.666666667,69.0,32.0,2,RR,RR
20,Papp_2012,2012,AIL17,160,89,2,42.5,0.641414141,90.0,19.0,1,RR,RR
20,Papp_2012,2012,PBO,38,0,1,42.5,0.641414141,90.0,19.0,1,RR,RR
21,Papp_2015_ESTEEM-1,2015,PBO,282,1,8,46.5,0.678909953,93.5,19.0,1,RR,RR
21,Papp_2015_ESTEEM-1,2015,SM,562,55,12,46.5,0.678909953,93.5,19.0,1,RR,RR
22,Asahina_2010,2010,ATA,123,57,4,45.0,0.846153846,70.0,28.0,2,RR,RR
22,Asahina_2010,2010,PBO,46,0,2,45.0,0.846153846,70.0,28.0,2,RR,RR
23,Gordon_2006,2006,ATA,96,35,14,44.0,0.668918919,95.0,16.0,1,RR,RR
23,Gordon_2006,2006,PBO,52,0,0,44.0,0.668918919,95.0,16.0,1,RR,RR
24,Menter_2008_REVEAL,2008,ATA,814,366,15,44.0,0.662541254,93.0,19.0,1,RR,RR
24,Menter_2008_REVEAL,2008,PBO,398,9,7,44.0,0.662541254,93.0,19.0,1,RR,RR
26,Bagel_2012,2012,ATA,62,15,0,40.5,0.556451613,,15.5,1,RR,RR
26,Bagel_2012,2012,PBO,62,1,0,40.5,0.556451613,,15.5,1,RR,RR
29,Gottlieb_2003,2003,ATA,57,0,2,47.5,0.625,91.5,19.0,3,RR,RR
29,Gottlieb_2003,2003,PBO,55,0,2,47.5,0.625,91.5,19.0,3,RR,RR
30,Leonardi_2003,2003,ATA,504,60,0,45.0,0.65327381,,18.0,1,RR,RR
