unique_id,name,bias,non_inferiority,cointervention,rPASI90M1,nM1,rPASI90M2,nM2,_design,_t1,_t2,_y,_stderr,_contrast,indirectness
1,Griffith_2010_ACCEPT,H,0,0,80,347,231,556,ETA USK,ETA,USK,0.588947562,0.110220682,USK - ETA,1
2,Igarashi_2012,M,0,0,1,32,48,126,PBO USK,PBO,USK,2.500655007,0.990780917,USK - PBO,1
3,Krueger_2007,L,0,0,1,64,95,256,PBO USK,PBO,USK,3.16758253,0.995487351,USK - PBO,1
4,Leonardi_2008_PHOENIX1,L,0,0,5,255,200,511,PBO USK,PBO,USK,2.993773409,0.446230304,USK - PBO,1
5,Papp_2008_PHOENIX2,L,0,0,3,410,382,820,PBO USK,PBO,USK,4.153661139,0.576448261,USK - PBO,1
6,Tsai_2011_PEARL,L,0,0,1,60,30,61,PBO USK,PBO,USK,3.38466808,1.000136603,USK - PBO,1
7,Papp_2012a,L,0,0,0.5,51,32.5,148,PBO TOFA,PBO,TOFA,3.109000629,1.415769978,TOFA - PBO,1
8,Blauvelt_2015_FEATURE,L,0,0,0.5,60,63.5,119,PBO SECU,PBO,SECU,4.159408156,1.410913889,SECU - PBO,1
9,Langley_2014_ERASURE,L,0,0,3,248,240,490,PBO SECU,PBO,SECU,3.70104999,0.575696904,SECU - PBO,1
10,Langley_2014_FIXTURE,L,0,0,67,326,5,326,ETA PBO SECU,ETA,PBO,-2.595254707,0.456935886,PBO - ETA,1
10,Langley_2014_FIXTURE,L,0,0,67,326,312,654,ETA PBO SECU,ETA,SECU,0.842100598,0.116335569,SECU - ETA,1
10,Langley_2014_FIXTURE,L,0,0,5,326,312,654,ETA PBO SECU,PBO,SECU,3.437355305,0.445655238,SECU - PBO,1
11,Papp_2013a,H,0,0,1,22,20,103,PBO SECU,PBO,SECU,1.452045739,0.997415017,SECU - PBO,1
12,Rich_2013,L,0,0,1,67,73,337,PBO SECU,PBO,SECU,2.67506913,0.997900746,SECU - PBO,1
15,Flystrom_2007,H,0,0,9,43,4,41,CICLO MTX,CICLO,MTX,-0.763302167,0.559879499,MTX - CICLO,1
16,Heydendael_2003,H,0,0,14,44,17,44,CICLO MTX,CICLO,MTX,0.194156014,0.291200198,MTX - CICLO,1
18,Reich_2005_EXPRESS,L,0,0,172,301,1,77,IFX PBO,IFX,PBO,-3.784189634,0.994738499,PBO - IFX,1
19,Torii_2010,M,0,0,19.5,36,0.5,20,IFX PBO,IFX,PBO,-3.075774981,1.404814676,PBO - IFX,1
20,Papp_2012,L,0,0,89.5,161,0.5,39,BRODA PBO,BRODA,PBO,-3.769543087,1.406883428,PBO - BRODA,1
21,Papp_2015_ESTEEM-1,L,0,0,55,562,1,282,APRE PBO,APRE,PBO,-3.317738406,1.006407651,PBO - APRE,1
22,Asahina_2010,M,0,0,57.5,124,0.5,47,ADA PBO,ADA,PBO,-3.774798164,1.409982338,PBO - ADA,1
23,Gordon_2006,L,0,0,35.5,97,0.5,53,ADA PBO,ADA,PBO,-3.658260812,1.413857069,PBO - ADA,1
24,Menter_2008_REVEAL,L,0,0,366,814,9,398,ADA PBO,ADA,PBO,-2.989900395,0.331816647,PBO - ADA,1
26,Bagel_2012,L,0,0,15,62,1,62,ETA PBO,ETA,PBO,-2.708050201,1.0170588,PBO - ETA,1
30,Leonardi_2003,L,0,0,60,504,1,168,ETA PBO,ETA,PBO,-2.995732274,1.004355594,PBO - ETA,1
31,Papp_2005,M,0,0,59,407,1,204,ETA PBO,ETA,PBO,-3.386844252,1.004783653,PBO - ETA,1
32,Tyring_2006,L,0,0,65,311,4,309,ETA PBO,ETA,PBO,-2.781641273,0.508854533,PBO - ETA,1
33,Vandekerkhof_2008,L,0,0,13,96,1,46,ETA PBO,ETA,PBO,-1.829242562,1.022138582,PBO - ETA,1
36,Fallaharani_2011,H,0,0,1,30,2,30,FUM MTX,FUM,MTX,0.693147181,1.197219,MTX - FUM,1
39,Leonardi_2012,L,0,0,57.5,116,0.5,28,IXE PBO,IXE,PBO,-3.323546447,1.404655235,PBO - IXE,1
41,Menter_2007_EXPRESSII,L,0,0,258,627,1,208,IFX PBO,IFX,PBO,-4.449551124,0.998735891,PBO - IFX,1
43,Gottlieb_2004,L,0,0,102,198,1,51,IFX PBO,IFX,PBO,-3.268531415,0.992544998,PBO - IFX,1
51,Hunter_1963,H,0,0,1.5,20,0.5,18,MTX PBO,MTX,PBO,-0.993251773,1.600347185,PBO - MTX,1
53,Reich_2012,L,0,0,50,118,1,58,CERTO PBO,CERTO,PBO,-3.201781392,0.997137926,PBO - CERTO,1
56,Yang_2012,H,0,0,48.5,85,0.5,46,IFX PBO,IFX,PBO,-3.960701119,1.409650567,PBO - IFX,1
67,Paul_2015_ESTEEM-2,L,0,0,24,275,2,138,APRE PBO,APRE,PBO,-1.795389237,0.728549193,PBO - APRE,1
69,Bachelez_2015,L,0,0,108,336,1,108,ETA PBO TOFA,ETA,PBO,-3.547151294,0.998510796,PBO - ETA,1
69,Bachelez_2015,L,0,0,108,336,188,662,ETA PBO TOFA,ETA,TOFA,-0.12384366,0.100457173,TOFA - ETA,1
69,Bachelez_2015,L,0,0,1,108,188,662,ETA PBO TOFA,PBO,TOFA,3.423307634,0.997270934,TOFA - PBO,1
70,Papp_2015_OPT Pivotal-1,M,0,0,10,177,214,723,PBO TOFA,PBO,TOFA,1.656131432,0.312474085,TOFA - PBO,1
71,Papp_2015_OPT Pivotal-2,M,0,0,10,196,237,763,PBO TOFA,PBO,TOFA,1.806331676,0.312740711,TOFA - PBO,1
72,Gordon_2015_X-PLORE,H,0,0,19,43,97,208,ADA GUSEL PBO,ADA,GUSEL,0.053934035,0.186754789,GUSEL - ADA,1
72,Gordon_2015_X-PLORE,H,0,0,19,43,1,42,ADA GUSEL PBO,ADA,PBO,-2.920908482,1.002779258,PBO - ADA,1
72,Gordon_2015_X-PLORE,H,0,0,97,208,1,42,ADA GUSEL PBO,GUSEL,PBO,-2.974842517,0.990803746,PBO - GUSEL,1
73,Griffith_2015_UNCOVER2,L,0,0,67,358,455,698,ETA IXE PBO,ETA,IXE,1.247918683,0.113565904,IXE - ETA,1
73,Griffith_2015_UNCOVER2,L,0,0,67,358,1,168,ETA IXE PBO,ETA,PBO,-3.448123612,1.003085089,PBO - ETA,1
73,Griffith_2015_UNCOVER2,L,0,0,455,698,1,168,ETA IXE PBO,IXE,PBO,-4.696042296,0.997403006,PBO - IXE,1
74,Griffith_2015_UNCOVER3,L,0,0,98,382,514,771,ETA IXE PBO,ETA,IXE,0.954988022,0.090745738,IXE - ETA,1
74,Griffith_2015_UNCOVER3,L,0,0,98,382,6,193,ETA IXE PBO,ETA,PBO,-2.11047759,0.411183171,PBO - ETA,1
74,Griffith_2015_UNCOVER3,L,0,0,514,771,6,193,ETA IXE PBO,IXE,PBO,-3.065465612,0.402658451,PBO - IXE,1
76,Thaçi_2015_CLEAR,L,0,0,264,337,193,339,SECU USK,SECU,USK,-0.319176091,0.055245039,USK - SECU,1
77,Paul_2015_JUNCTURE,L,0,0,0.5,62,57.5,122,PBO SECU,PBO,SECU,4.068045469,1.411759735,SECU - PBO,1
78,Papp_2016_AMAGINE-1,L,0,0,249,441,2,220,BRODA PBO,BRODA,PBO,-4.128888387,0.705126255,PBO - BRODA,1
79,Nakagawa_2016,H,0,0,64,113,1,38,BRODA PBO,BRODA,PBO,-3.069081424,0.990181626,PBO - BRODA,1
80,Lebwohl_2015_AMAGINE2,M,0,0,731,1222,10,309,BRODA PBO USK,BRODA,PBO,-2.916925504,0.311950978,PBO - BRODA,1
80,Lebwohl_2015_AMAGINE2,M,0,0,731,1222,141,300,BRODA PBO USK,BRODA,USK,-0.241191904,0.065639346,USK - BRODA,1
80,Lebwohl_2015_AMAGINE2,M,0,0,10,309,141,300,BRODA PBO USK,PBO,USK,2.6757336,0.317053023,USK - PBO,1
81,Lebwohl_2015_AMAGINE3,M,0,0,756,1253,5,315,BRODA PBO USK,BRODA,PBO,-3.637880148,0.444240997,PBO - BRODA,1
81,Lebwohl_2015_AMAGINE3,M,0,0,756,1253,149,313,BRODA PBO USK,BRODA,USK,-0.237002306,0.063570339,USK - BRODA,1
81,Lebwohl_2015_AMAGINE3,M,0,0,5,315,149,313,BRODA PBO USK,PBO,USK,3.400877842,0.447595708,USK - PBO,1
82,Papp_2015a,M,0,0,1,46,105,309,PBO TILDRA,PBO,TILDRA,2.74926047,0.99224414,TILDRA - PBO,1
83,deVries_2016_PIECE,H,0,0,1,23,10,25,ETA IFX,ETA,IFX,2.219203484,1.008227028,IFX - ETA,1
84,Cai_2016,L,0,0,188,338,3,87,ADA PBO,ADA,PBO,-2.780691897,0.569385326,PBO - ADA,1
85,Reich_2015,L,0,0,0.5,11,42.5,91,PBO SECU,PBO,SECU,2.329687023,1.386229169,SECU - PBO,1
88,Gottlieb_2011,L,0,0,33,141,1,68,ETA PBO,ETA,PBO,-2.767255376,1.004243471,PBO - ETA,1
89,Strober_2011,L,0,0,27,139,3,72,ETA PBO,ETA,PBO,-1.539416763,0.591005277,PBO - ETA,1
91,Gordon_2016_UNCOVER1,L,0,0,586,865,2,431,IXE PBO,IXE,PBO,-4.983551192,0.705854255,PBO - IXE,1
92,Warren_2016_METOP,L,0,0,16.5,92,0.5,30,MTX PBO,MTX,PBO,-2.375916366,1.420001113,PBO - MTX,1
93,Mrowietz_2016_BRIDGE,H,0,0,110,566,6,138,FUM PBO,FUM,PBO,-1.497380504,0.408343501,PBO - FUM,1
97,Papp_2012b,L,0,0,22,264,1,88,APRE PBO,APRE,PBO,-1.992430165,1.015038438,PBO - APRE,1
99,Reich_2016_LIBERATE,M,0,0,12,83,17,83,APRE ETA PBO,APRE,ETA,0.348306694,0.343599297,ETA - APRE,1
99,Reich_2016_LIBERATE,M,0,0,12,83,3,84,APRE ETA PBO,APRE,PBO,-1.398270552,0.626668742,PBO - APRE,1
99,Reich_2016_LIBERATE,M,0,0,17,83,3,84,APRE ETA PBO,ETA,PBO,-1.746577246,0.606798078,PBO - ETA,1
100,Blauvelt_2016_VOYAGE1,L,0,0,166,334,241,329,ADA GUSEL PBO,ADA,GUSEL,0.387892387,0.06434243,GUSEL - ADA,1
100,Blauvelt_2016_VOYAGE1,L,0,0,166,334,5,174,ADA GUSEL PBO,ADA,PBO,-2.850464182,0.444165462,PBO - ADA,1
100,Blauvelt_2016_VOYAGE1,L,0,0,241,329,5,174,ADA GUSEL PBO,GUSEL,PBO,-3.23835657,0.441998572,PBO - GUSEL,1
101,Reich_2017_VOYAGE-2,L,0,0,116,248,347,496,ADA GUSEL PBO,ADA,GUSEL,0.402587408,0.073852197,GUSEL - ADA,1
101,Reich_2017_VOYAGE-2,L,0,0,116,248,6,248,ADA GUSEL PBO,ADA,PBO,-2.961830722,0.408928894,PBO - ADA,1
101,Reich_2017_VOYAGE-2,L,0,0,347,496,6,248,ADA GUSEL PBO,GUSEL,PBO,-3.36441813,0.404351486,PBO - GUSEL,1
103,Bagel_2018_CLARITY,L,0,0,421,550,299,552,SECU USK,SECU,USK,-0.345819028,0.045716545,USK - SECU,1
105,Elewski_2018,L,0,0,47,109,7,108,ADA PBO,ADA,PBO,-1.895020798,0.381706913,PBO - ADA,1
107,"Gordon UltIMMa-1, 2018  ",L,0,0,5,102,229,304,PBO RISAN USK,PBO,RISAN,2.732229203,0.437348164,RISAN - PBO,1
107,"Gordon UltIMMa-1, 2018  ",L,0,0,5,102,42,102,PBO RISAN USK,PBO,USK,2.128231706,0.451886801,USK - PBO,1
107,"Gordon UltIMMa-1, 2018  ",L,0,0,229,304,42,102,PBO RISAN USK,RISAN,USK,-0.603997497,0.122812625,USK - RISAN,1
