unique_id,name,naif,bias,non_inferiority,cointervention,short_time_evaluationw,rSAEM1,nM1,rSAEM2,nM2,_design,_t1,_t2,_y,_stderr,_contrast
1,Griffith_2010_ACCEPT,,H,0,0,12,4,347,8,556,ETA USK,ETA,USK,.2217036662562224,.6085389014920155,USK - ETA
2,Igarashi_2012,,M,0,0,12,2,32,3,126,PBO USK,PBO,USK,-.9650808960435873,.8911491600157773,USK - PBO
3,Krueger_2007,,L,0,0,12,1,64,9,256,PBO USK,PBO,USK,.8109302162163283,1.044786993176653,USK - PBO
4,Leonardi_2008_PHOENIX1,,L,0,0,12,2,255,6,511,PBO USK,PBO,USK,.4035062436228314,.8128887690679391,USK - PBO
5,Papp_2008_PHOENIX2,,L,0,0,12,8,410,13,820,PBO USK,PBO,USK,-.2076393647782444,.4452690651030128,USK - PBO
6,Tsai_2011_PEARL,,L,0,0,12,2.5,61,.5,62,PBO USK,PBO,USK,-1.625698433305881,1.538660951970571,USK - PBO
7,Papp_2012a,,L,0,0,12,.5,51,4.5,148,PBO TOFA,PBO,TOFA,1.13183793629643,1.481842644253502,TOFA - PBO
8,Blauvelt_2015_FEATURE,,L,0,0,12,1,59,4,118,PBO SECU,PBO,SECU,.6931471805599454,1.106605743337003,SECU - PBO
9,Langley_2014_ERASURE,,L,0,0,12,4,248,10,490,PBO SECU,PBO,SECU,.2353140869344648,.5864528332346544,SECU - PBO
10,Langley_2014_FIXTURE,,L,0,0,12,3,326,6,326,ETA PBO SECU,ETA,PBO,.693147180559945,.7027553135159111,PBO - ETA
10,Langley_2014_FIXTURE,,L,0,0,12,3,326,11,654,ETA PBO SECU,ETA,SECU,.6030730140397695,.6478008085762783,SECU - ETA
10,Langley_2014_FIXTURE,,L,0,0,12,6,326,11,654,ETA PBO SECU,PBO,SECU,-.0900741665201754,.5029703976631361,SECU - PBO
11,Papp_2013a,,H,0,0,13,2,22,3,103,PBO SECU,PBO,SECU,-1.138221426763155,.8821394731076885,SECU - PBO
12,Rich_2013,,L,0,0,12,1,67,12,337,PBO SECU,PBO,SECU,.8695163388266045,1.032201821907208,SECU - PBO
15,Flystrom_2007,,H,0,0,12,.5,44,.5,42,CICLO MTX,CICLO,MTX,.0465200156348935,1.988331763650722,MTX - CICLO
16,Heydendael_2003,,H,0,0,16,.5,45,.5,45,CICLO MTX,CICLO,MTX,0,1.98885785175295,MTX - CICLO
18,Reich_2005_EXPRESS,,L,0,0,10,17,301,2,77,IFX PBO,IFX,PBO,-.7767613206010786,.7365556715473306,PBO - IFX
19,Torii_2010,,M,0,0,10,1,35,1,19,IFX PBO,IFX,PBO,.6109090823229728,1.385206480089233,PBO - IFX
20,Papp_2012,,L,0,0,12,2,160,1,38,BRODA PBO,BRODA,PBO,.7444404749474955,1.211376989432404,PBO - BRODA
21,Papp_2015_ESTEEM-1,,L,0,0,16,12,562,8,282,APRE PBO,APRE,PBO,.2841296708474133,.4505639517448641,PBO - APRE
22,Asahina_2010,,M,0,0,16,4,123,2,46,ADA PBO,ADA,PBO,.290395778323377,.8486052016482131,PBO - ADA
23,Gordon_2006,,L,0,0,12,14.5,97,.5,53,ADA PBO,ADA,PBO,-2.762876765035213,1.428211578990509,PBO - ADA
24,Menter_2008_REVEAL,,L,0,0,16,15,814,7,398,ADA PBO,ADA,PBO,-.0466316913287939,.4536328311324456,PBO - ADA
26,Bagel_2012,,L,0,0,12,.5,63,.5,63,ETA PBO,ETA,PBO,0,1.992047682223989,PBO - ETA
29,Gottlieb_2003,,H,0,0,12,2,57,2,55,ETA PBO,ETA,PBO,.0357180826020791,.981974705462956,PBO - ETA
32,Tyring_2006,,L,0,0,12,6,311,3,309,ETA PBO,ETA,PBO,-.6866955452784569,.702529942395131,PBO - ETA
33,Vandekerkhof_2008,,L,0,0,12,2,96,3,46,ETA PBO,ETA,PBO,1.141171903086906,.8950852117155573,PBO - ETA
36,Fallaharani_2011,,H,0,0,12,.5,31,.5,31,FUM MTX,FUM,MTX,0,1.983805401501828,MTX - FUM
39,Leonardi_2012,,L,0,0,12,2,115,1,27,IXE PBO,IXE,PBO,.7559480817989757,1.20593006048819,PBO - IXE
40,Chaudhari_2001,,L,0,0,10,.5,23,.5,12,IFX PBO,IFX,PBO,.6505875661411493,1.968041769322262,PBO - IFX
41,Menter_2007_EXPRESSII,,L,0,0,10,12,627,5,208,IFX PBO,IFX,PBO,.2279397235777032,.5262420970370031,PBO - IFX
43,Gottlieb_2004,,L,0,0,10,12.5,199,.5,52,IFX PBO,IFX,PBO,-1.876814718725135,1.433786631664939,PBO - IFX
51,Hunter_1963,,H,0,0,,.5,20,.5,18,MTX PBO,MTX,PBO,.1053605156578263,1.973434682082091,PBO - MTX
53,Reich_2012,,L,0,0,12,7,118,1,58,CERTO PBO,CERTO,PBO,-1.235668535136067,1.056948999373012,PBO - CERTO
56,Yang_2012,,H,0,0,10,1.5,85,.5,46,IFX PBO,IFX,PBO,-.4846024286668884,1.622702323394384,PBO - IFX
59,Meffert_1997,,H,0,0,10,5.5,85,.5,44,CICLO PBO,CICLO,PBO,-1.739433650226316,1.46537578907547,PBO - CICLO
60,Zhu_2013_LOTUS,,M,0,0,12,1,162,1,160,PBO USK,PBO,USK,.0124225199985579,1.409814583728593,USK - PBO
67,Paul_2015_ESTEEM-2,,L,0,0,16,5,275,3,138,APRE PBO,APRE,PBO,.1786917887433761,.7228074383163026,PBO - APRE
69,Bachelez_2015,,L,0,0,12,7,336,2,108,ETA PBO TOFA,ETA,PBO,-.1177830356563834,.7941169266057065,PBO - ETA
69,Bachelez_2015,,L,0,0,12,7,336,12,662,ETA PBO TOFA,ETA,TOFA,-.1391578952411163,.4708542361454964,TOFA - ETA
69,Bachelez_2015,,L,0,0,12,2,108,12,662,ETA PBO TOFA,PBO,TOFA,-.021374859584733,.7566792583756655,TOFA - PBO
70,Papp_2015_OPT Pivotal-1,,M,0,0,16,5,177,18,723,PBO TOFA,PBO,TOFA,-.1263256441228715,.498520523325748,TOFA - PBO
71,Papp_2015_OPT Pivotal-2,,M,0,0,16,2,196,16,763,PBO TOFA,PBO,TOFA,.7202981696258965,.745712641165589,TOFA - PBO
72,Gordon_2015_X-PLORE,,H,0,0,16,1,43,3,208,ADA GUSEL PBO,ADA,GUSEL,-.4777256753396455,1.142484059876615,GUSEL - ADA
72,Gordon_2015_X-PLORE,,H,0,0,16,1,43,1,42,ADA GUSEL PBO,ADA,PBO,.023530497410194,1.397474386969932,PBO - ADA
72,Gordon_2015_X-PLORE,,H,0,0,16,3,208,1,42,ADA GUSEL PBO,GUSEL,PBO,.5012561727498395,1.142241707002558,PBO - GUSEL
73,Griffith_2015_UNCOVER2,,L,0,0,12,8,358,13,698,ETA IXE PBO,ETA,IXE,-.1821783005799715,.4446314384715104,IXE - ETA
73,Griffith_2015_UNCOVER2,,L,0,0,12,8,358,2,168,ETA IXE PBO,ETA,PBO,-.6297253541224492,.7850186768212802,PBO - ETA
73,Griffith_2015_UNCOVER2,,L,0,0,12,13,698,2,168,ETA IXE PBO,IXE,PBO,-.4475470535424777,.7546774352094072,PBO - IXE
74,Griffith_2015_UNCOVER3,,L,0,0,12,5,382,15,771,ETA IXE PBO,ETA,IXE,.3963445237113552,.5125932585962549,IXE - ETA
