Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading
EGM:PVI,4,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
EGM:PVI_EGM,3,Some concerns,Low risk,Some concerns,No concerns,No concerns,No concerns,High,[]
GP:PVI,2,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
GP:PVI_GP,1,Some concerns,Low risk,Some concerns,No concerns,Some concerns,No concerns,High,[]
PVI:PVI_EGM,9,Some concerns,Low risk,Some concerns,Some concerns,Some concerns,No concerns,High,[]
PVI:PVI_GP,2,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
PVI:PVI_LAA,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_RDN,3,Some concerns,Low risk,Major concerns,No concerns,Major concerns,No concerns,Low,"[""Indirectness"", Heterogeneity""]"
PVI:PVI_SVC_lines,4,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_lines,15,Some concerns,Low risk,Some concerns,No concerns,Major concerns,No concerns,Moderate,"[""Heterogeneity""]"
PVI:PVI_partly,3,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_posterior_lines,6,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:PVI_step,3,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:Singlebox,2,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI:Singlebox_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
lines:PVI,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_BI_mod:PVI_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_EGM,3,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_lines,4,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_posterior_lines,2,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_EGM:PVI_trig,2,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_GP:PVI_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_posterior_lines:PVI_SUB_mod,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_step:PVI_SUB_mod,2,Some concerns,Low risk,Major concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_SVC_lines,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_comb:PVI_posterior_lines,2,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
PVI_lines:PVI_posterior_lines,1,Some concerns,Low risk,Some concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]"
