Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading,Default_data
ADA:BIME,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:GUSEL,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:PBO,8,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:RISAN,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
APRE:ETA,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:PBO,3,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:SECU,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BIME:USK,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
BRODA:PBO,5,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
BRODA:USK,2,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
CERTO:ETA,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
CERTO:PBO,5,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
CICLO:MTX,2,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
DEUCRAVA:PBO,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ETA:IFX,1,Some concerns,Low risk,No concerns,No concerns,No concerns,No concerns,Moderate,"[""Within-study bias""]",Yes
ETA:IXE,2,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
