Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating,Reason(s) for downgrading,Default_data
ADA:BIME,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:GUSEL,3,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:PBO,9,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:RISAN,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:ETA,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:PBO,7,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
BIME:PBO,3,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
BIME:USK,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
BRODA:PBO,5,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
BRODA:USK,2,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
CERTO:ETA,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
CERTO:PBO,5,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
CICLO:PBO,1,Major concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Imprecision""]",Yes
DEUCRAVA:PBO,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ETA:IFX,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ETA:IXE,2,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ETA:PBO,12,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ETA:SECU,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ETA:TILDRA,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ETA:USK,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
FUM:PBO,2,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
GUSEL:IXE,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
GUSEL:PBO,5,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
GUSEL:SECU,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IFX:PBO,5,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IXE:PBO,5,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
IXE:USK,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
MTX:PBO,1,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
NETA:PBO,1,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
PBO:RISAN,5,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
PBO:SECU,16,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
PBO:SONELO,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
PBO:TILDRA,3,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
PBO:USK,11,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
RISAN:SECU,1,No concerns,Low risk,No concerns,Major concerns,No concerns,Major concerns,Low,"[""Imprecision"",""Incoherence""]",Yes
RISAN:USK,3,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
SECU:SONELO,1,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
SECU:USK,2,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:APRE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:BRODA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:CERTO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
ADA:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:ETA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:FUM,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
ADA:IFX,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:IXE,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:MTX,0,No concerns,Low risk,No concerns,No concerns,No concerns,No concerns,High,[],Yes
ADA:NETA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
ADA:SECU,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:SONELO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:TILDRA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
ADA:USK,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:BIME,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:BRODA,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:CERTO,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
APRE:CICLO,0,Some concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Low,"[""Within-study bias"",""Imprecision""]",Yes
APRE:DEUCRAVA,0,No concerns,Low risk,No concerns,Major concerns,No concerns,No concerns,Moderate,"[""Imprecision""]",Yes
