Comparison,Number of studies,Within-study bias,Reporting bias,Indirectness,Imprecision,Heterogeneity,Incoherence,Confidence rating
Acarbose:Metformin,1,--,Undetected,--,--,--,--,Very Low
Acarbose:Placebo,2,--,Undetected,--,--,--,--,High
Acarbose:Sulfonylurea,1,--,Undetected,--,--,--,--,High
Benfluorex:Placebo,2,--,Undetected,--,--,--,--,High
Metformin:Pioglitazone,1,--,Undetected,--,--,--,--,Medium
Metformin:Placebo,4,--,Undetected,--,--,--,--,Medium
Metformin:Rosiglitazone,2,--,Undetected,--,--,--,--,Medium
Metformin:Sulfonylurea,1,--,Undetected,--,--,--,--,Medium
Miglitol:Placebo,3,--,Undetected,--,--,--,--,Medium
Pioglitazone:Placebo,1,--,Undetected,--,--,--,--,Medium
Pioglitazone:Rosiglitazone,1,--,Undetected,--,--,--,--,High
Placebo:Rosiglitazone,6,--,Undetected,--,--,--,--,High
Placebo:Sitagliptin,1,--,Undetected,--,--,--,--,High
Placebo:Vildagliptin,1,--,Undetected,--,--,--,--,High
Rosiglitazone:Sulfonylurea,1,--,Undetected,--,--,--,--,High
Acarbose:Benfluorex,0,--,Undetected,--,--,--,--,High
Acarbose:Miglitol,0,--,Undetected,--,--,--,--,Medium
Acarbose:Pioglitazone,0,--,Undetected,--,--,--,--,Medium
Acarbose:Rosiglitazone,0,--,Undetected,--,--,--,--,Medium
Acarbose:Sitagliptin,0,--,Undetected,--,--,--,--,Medium
Acarbose:Vildagliptin,0,--,Undetected,--,--,--,--,High
Benfluorex:Metformin,0,--,Undetected,--,--,--,--,High
Benfluorex:Miglitol,0,--,Undetected,--,--,--,--,High
Benfluorex:Pioglitazone,0,--,Undetected,--,--,--,--,High
Benfluorex:Rosiglitazone,0,--,Undetected,--,--,--,--,High
Benfluorex:Sitagliptin,0,--,Undetected,--,--,--,--,High
Benfluorex:Sulfonylurea,0,--,Undetected,--,--,--,--,High
Benfluorex:Vildagliptin,0,--,Undetected,--,--,--,--,High
Metformin:Miglitol,0,--,Undetected,--,--,--,--,High
Metformin:Sitagliptin,0,--,Undetected,--,--,--,--,Medium
Metformin:Vildagliptin,0,--,Undetected,--,--,--,--,Medium
Miglitol:Pioglitazone,0,--,Undetected,--,--,--,--,Medium
Miglitol:Rosiglitazone,0,--,Undetected,--,--,--,--,Medium
Miglitol:Sitagliptin,0,--,Undetected,--,--,--,--,Medium
Miglitol:Sulfonylurea,0,--,Undetected,--,--,--,--,Medium
Miglitol:Vildagliptin,0,--,Undetected,--,--,--,--,Medium
Pioglitazone:Sitagliptin,0,--,Undetected,--,--,--,--,High
Pioglitazone:Sulfonylurea,0,--,Undetected,--,--,--,--,High
Pioglitazone:Vildagliptin,0,--,Undetected,--,--,--,--,High
Placebo:Sulfonylurea,0,--,Undetected,--,--,--,--,High
Rosiglitazone:Sitagliptin,0,--,Undetected,--,--,--,--,High
Rosiglitazone:Vildagliptin,0,--,Undetected,--,--,--,--,High
Sitagliptin:Sulfonylurea,0,--,Undetected,--,--,--,--,Low
Sitagliptin:Vildagliptin,0,--,Undetected,--,--,--,--,Low
Sulfonylurea:Vildagliptin,0,--,Undetected,--,--,--,--,Low
