Study,Author,Year,n_DEP_IG,n_DEP_CG,mean_int_DEP,SD_int_DEP,mean_con_DEP,SD_con_DEP,outcome_description_DEP,Type_intervention,Type_comparator,RoB
1,Abdelbasset_a,2019,23,12,3.65,1.21,8.54,2.14,PHQ,EXE,UC,3
2,Abdelbasset_b,2019,23,12,3.12,1.18,8.54,2.14,PHQ,EXE,UC,3
3,Blumenthal_a,2012,18,24,-7.50,7.35,-4.50,7.46,HAMD,EXE,PP,2
4,Blumenthal_b,2012,18,40,-7.50,7.35,-6.10,6.89,HAMD,EXE,Sertaline,2
5,Gary_a,2010,20,15,8.40,5.60,9.30,4.90,HAMD,EXE_EDU,UC,3
6,Gary_b,2010,16,17,6.50,3.70,8.20,6.30,HAMD,EXE_EDU_CBT,CBT,3
7,Koukouvou,2004,16,10,13.10,3.13,18.80,5.10,BDI,EXE,UC,2
8,Kulcu,2007,23,21,13.50,8.00,22.50,11.80,BDI,EXE,UC,1
9,Schneider,2016,14,14,15.10,13.80,16.50,7.20,BDI_II,EXE,UC,2
10,Blumenthal_aa,2012,337,316,16.60,8.20,17.90,8.48,BDI_II,EXE,UC,2
11,deGroot_a,2019,30,28,11.76,7.64,18.04,11.63,BDI,EXE_EDU,UC,2
12,deGroot_b,2019,25,24,8.83,8.98,11.35,9.17,BDI,EXE_EDU_CBT,CBT,2
14,Gary_c,2004,15,13,4.00,4.00,7.00,5.00,GDS,EXE_EDU,EDU,3
16,Leung,2013,22,20,3.00,3.00,4.00,4.00,HADD,EXE,UC,2
17,Oerkild,2012,21,19,-1.00,3.40,-1.10,3.50,HADD,EXE_TEL,UC,3
21,Gary_d,2012,12,12,8.90,6.20,12.90,9.00,BDI,EXE_EDU,PEX,3
24,Nolte,2014,41,20,5.00,5.00,4.00,5.00,PHQ,EXE,UC,1
26,Soliman,2019,17,17,7.43,2.10,13.70,2.91,PHQ,EXE,UC,3
27,Pibernik_Okanović,2015,29,64,18.10,9.80,16.70,7.90,CESD,EXE_EDU,PSY,2
28,Pibernik_Okanović,2015,29,57,18.10,9.80,17.40,9.00,CESD,EXE_EDU,UC,2
29,Keihani,2015,33,32,33.10,9.00,43.70,10.70,BDI,EXE,UC,1
30,Asa,2012,8,9,3.60,2.30,4.90,3.70,HADD,EXE,UC,2
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
