studlab,Author,year,n1,n2,y1,sd1,y2,sd2,outcome_description_DEP,treat1,treat2,rob
1,Abdelbasset_a,2019,23,12,3.65,1.21,8.54,2.14,PHQ,EXE,UC,3
2,Abdelbasset_b,2019,23,12,3.12,1.18,8.54,2.14,PHQ,EXE,UC,3
3,Blumenthal_a,2012,18,24,-7.5,7.35,-4.5,7.46,HAMD,EXE,PP,2
4,Blumenthal_b,2012,18,40,-7.5,7.35,-6.1,6.89,HAMD,EXE,Sertaline,2
5,Gary_a,2010,20,15,8.4,5.6,9.3,4.9,HAMD,EXE_EDU,UC,3
7,Koukouvou,2004,16,10,13.1,3.13,18.8,5.1,BDI,EXE,UC,2
8,Kulcu,2007,23,21,13.5,8,22.5,11.8,BDI,EXE,UC,1
9,Schneider,2016,14,14,15.1,13.8,16.5,7.2,BDI_II,EXE,UC,2
10,Blumenthal_aa,2012,337,316,16.6,8.2,17.9,8.48,BDI_II,EXE,UC,2
11,deGroot_a,2019,30,28,11.76,7.64,18.04,11.63,BDI,EXE_EDU,UC,2
14,Gary_c,2004,15,13,4,4,7,5,GDS,EXE_EDU,EDU,3
16,Leung,2013,22,20,3,3,4,4,HADD,EXE,UC,2
17,Oerkild,2012,21,19,-1,3.4,-1.1,3.5,HADD,EXE_TEL,UC,3
21,Gary_d,2012,12,12,8.9,6.2,12.9,9,BDI,EXE_EDU,PEX,3
24,Nolte,2014,41,20,5,5,4,5,PHQ,EXE,UC,1
26,Soliman,2019,17,17,7.43,2.1,13.7,2.91,PHQ,EXE,UC,3
27,Pibernik_Okanović,2015,29,64,18.1,9.8,16.7,7.9,CESD,EXE_EDU,PSY,2
28,Pibernik_Okanović,2015,29,57,18.1,9.8,17.4,9,CESD,EXE_EDU,UC,2
29,Keihani,2015,33,32,33.1,9,43.7,10.7,BDI,EXE,UC,1
30,Asa,2012,8,9,3.6,2.3,4.9,3.7,HADD,EXE,UC,2
