studlab,treat1,r1,n1,treat2,r2,n2,rob,indirectness,year
Jacobs1996,interferon,18,85,placebo,29,87,2,1,1996
Vollmer2014,interferon,35,447,placebo,46,450,2,1,2014
Fox2012,glatirameeraceta,56,350,placebo,62,363,2,1,2012
Johnson1995,glatirameeraceta,26,125,placebo,36,126,2,1,1995
Confavreux2014,teriflunomide,58,370,placebo,76,388,2,1,2014
O'Connor2011,teriflunomide,72,358,placebo,99,363,2,1,2011
Fox2012a,dimethylfumaraat,47,359,placebo,62,363,2,1,2012
Gold2012,dimethylfumaraat,65,409,placebo,110,408,2,1,2012
Calabresi2014b,fingolimod,49,358,placebo,63,355,2,1,2014
Kappos2010,fingolimod,53,425,placebo,79,418,2,1,2010
Cohen2010,fingolimod,25,429,interferon,34,431,2,1,2010
Polman2006,natalizumab,106,627,placebo,91,315,1,1,2006
O'Connor2009,interferon,186,888,glatirameeraceta,90,448,2,1,2009
Camms2008,alemtuzumab,8,112,interferon,24,111,2,1,2008
Cohen2012,alemtuzumab,30,376,interferon,20,187,2,1,2012
Coles2012,alemtuzumab,54,426,interferon,40,202,2,1,2012
OperaI2016,ocrelizumab,28,364,interferon,46,338,2,1,2016
OperaII2016,ocrelizumab,45,360,interferon,62,317,2,1,2016
