studyID,armID,study_name,manga,study_year,pub_year,drug_name,Responders,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,baseline_mean,V,mean_efficacy,Imputation,IMPUTEDresp,Unpublished,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,RoB,OverallRoB,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t,rowID
8,1,Hale2010 (CL3-20098-045),0,2008,2008,agom,177,252,R can come both from pub and unpub data and match,42,11,1,Flexible,Licensed,Yes,Investigational,29,8,-17,LOCF,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a20
8,2,Hale2010 (CL3-20098-045),0,2008,2008,fluo,164,263,R can come both from pub and unpub data and match,43,12,1,Flexible,Licensed,No,Comparator,29,8,-16,LOCF,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,fluo,a21
10,1,Montgomery2004b (CL3-20098-030),0,2001,2001,agom,106,167,Inadequate pub data and R from unpub data,43,14,,Fixed,Licensed,Yes,Investigational,23,12,-12,Others,0,Yes,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a24
10,2,Montgomery2004b (CL3-20098-030),0,2001,2001,paro,120,168,Inadequate pub data and R from unpub data,42,13,,Fixed,Licensed,No,Comparator,23,12,-14,Others,0,Yes,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,paro,a25
11,1,CL3-20098-036,0,2004,2004,agom,113,137,No pub data and R from unpub data,40,10,1,Fixed,Licensed,Yes,Investigational,28,12,-18,Others,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a26
11,2,CL3-20098-036,0,2004,2004,venl,111,140,No pub data and R from unpub data,42,10,1,Flexible,Licensed,No,Comparator,28,12,-18,Others,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,venl,a27
12,1,CL3-20098-048,0,2008,2008,agom,127,213,No pub data and R from unpub data,69,6,,Flexible,Licensed,Yes,Investigational,26,12,-14,Others,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a28
12,2,CL3-20098-048,0,2008,2008,paro,118,199,No pub data and R from unpub data,68,6,,Flexible,Licensed,No,Comparator,26,12,-15,Others,0,Yes,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,paro,a29
13,1,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",0,2008,2014,agom,205,314,R can come both from pub and unpub data and match,39,13,1,Flexible,Licensed,Yes,Investigational,27,8,12,LOCF,0,Yes,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a30
13,2,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",0,2008,2014,fluo,209,314,R can come both from pub and unpub data and match,39,13,1,Flexible,Licensed,No,Comparator,27,8,12,LOCF,0,Yes,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,l,Low risk,2,0,Low risk,0,0,0,0,fluo,a31
14,1,"
Quera-Salva2010 (CL3-20098-056)",0,2008,2010,agom,44,71,R can come both from pub and unpub data and match,41,12,,Flexible,Licensed,Yes,Investigational,26,6,11,Others,0,Yes,Multi-center,Outpatients only,No,25,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,l,Low risk,2,0,Moderate risk,0,0,0,0,agom,a32
