studyID,armID,manga,drug_name,Responders,Ntotal,age_mean,age_sd,pub_year,RoB,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,study_year,Published,study_name,ascale,baseline_mean,V,mean_efficacy,Imputation,IMPUTEDresp,Unpublished,Recruitment,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,OverallRoB,Narms,PLAprop,Overall_arm_RoB,PC,PLAprob,PC2,PC3,t,rowID
8,1,0,agom,177,252,42,11,2008,l,1,Flexible,Licensed,Yes,Investigational,2008,R can come both from pub and unpub data and match,Hale2010 (CL3-20098-045),HAMD17,29,8,-17,LOCF,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a20
8,2,0,fluo,164,263,43,12,2008,l,1,Flexible,Licensed,No,Comparator,2008,R can come both from pub and unpub data and match,Hale2010 (CL3-20098-045),HAMD17,29,8,-16,LOCF,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,fluo,a21
10,1,0,agom,106,167,43,14,2001,l,,Fixed,Licensed,Yes,Investigational,2001,Inadequate pub data and R from unpub data,Montgomery2004b (CL3-20098-030),MADRS,23,12,-12,Others,0,Yes,,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a24
10,2,0,paro,120,168,42,13,2001,l,,Fixed,Licensed,No,Comparator,2001,Inadequate pub data and R from unpub data,Montgomery2004b (CL3-20098-030),MADRS,23,12,-14,Others,0,Yes,,Multi-center,Outpatients only,No,12,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,paro,a25
11,1,0,agom,113,137,40,10,2004,l,1,Fixed,Licensed,Yes,Investigational,2004,No pub data and R from unpub data,CL3-20098-036,MADRS,28,12,-18,Others,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a26
11,2,0,venl,111,140,42,10,2004,l,1,Flexible,Licensed,No,Comparator,2004,No pub data and R from unpub data,CL3-20098-036,MADRS,28,12,-18,Others,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,venl,a27
12,1,0,agom,127,213,69,6,2008,l,,Flexible,Licensed,Yes,Investigational,2008,No pub data and R from unpub data,CL3-20098-048,HAMD17,26,12,-14,Others,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a28
12,2,0,paro,118,199,68,6,2008,l,,Flexible,Licensed,No,Comparator,2008,No pub data and R from unpub data,CL3-20098-048,HAMD17,26,12,-15,Others,0,Yes,,Multi-center,Outpatients only,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,paro,a29
13,1,0,agom,205,314,39,13,2014,l,1,Flexible,Licensed,Yes,Investigational,2008,R can come both from pub and unpub data and match,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",HAMD17,27,8,12,LOCF,0,Yes,Asia,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,2,0,Moderate risk,0,0,0,0,agom,a30
13,2,0,fluo,209,314,39,13,2014,l,1,Flexible,Licensed,No,Comparator,2008,R can come both from pub and unpub data and match,"Shu2014 (CL3-20098-052, ChiCTR-TRC-11001668) ",HAMD17,27,8,12,LOCF,0,Yes,Asia,Multi-center,Outpatients only,No,8,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,2,0,Low risk,0,0,0,0,fluo,a31
