rowID,studyID,armID,study_name,manga,study_year,pub_year,drug_name,Ntotal,Published,age_mean,age_sd,_Female,Dosing_schedule,Dose_range,Sponsoredbythisdrugcompanyo,Investigational_Comparator,ascale,baseline_mean,V,mean_efficacy,Imputation,Responders,IMPUTEDresp,Unpublished,Recruitment,type,Patient_status,Placebo_run_in,weeks,Rescue_med,Sequence_generation,Allocation_concealment,Blinding_participant,Blinding_therapist,Blinding_assessor,AP,Selective_reporting_bias,dropoutSTUDY,dropoutARM,dropoutDIFF,OverallRoB,PLAresp,Narms,PLAprop,Overall_arm_RoB,bipolar,PC,PLAprob,PC2,PC3,t,RiskOfBias
a03,1,3,CL3-20098-022,0,2001,2001,Plac,149,No pub data and R from unpub data,43,10,1,Fixed,Licensed,No,Comparator,HAMD17,28,6,16,Others,69,0,Yes,Europe,Multi-center,Both,Yes,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Moderate risk,0,3,0,Moderate risk,0,1,0,0,1,Plac,l
a01,1,1,CL3-20098-022,0,2001,2001,agom,133,No pub data and R from unpub data,41,10,1,Fixed,Licensed,Yes,Investigational,HAMD17,28,6,15,Others,68,0,Yes,Europe,Multi-center,Both,Yes,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,High risk,0,1,0,0,1,agom,l
a02,1,2,CL3-20098-022,0,2001,2001,fluo,137,No pub data and R from unpub data,43,11,1,Fixed,Licensed,no,Comparator,HAMD17,28,6,13,Others,77,0,Yes,Europe,Multi-center,Both,Yes,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Moderate risk,,3,0,Moderate risk,0,1,0,0,1,fluo,l
a06,2,3,CL3-20098-023,0,2001,2001,Plac,137,No pub data and R from unpub data,41,10,1,Fixed,Licensed,No,Comparator,HAMD17,26,6,14,Others,63,1,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,0,3,0,Low risk,0,1,0,0,1,Plac,m
a04,2,1,CL3-20098-023,0,2001,2001,agom,142,No pub data and R from unpub data,41,11,1,Fixed,Licensed,Yes,Investigational,HAMD17,26,6,13,Others,71,0,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,3,0,Moderate risk,0,1,0,0,1,agom,m
a05,2,2,CL3-20098-023,0,2001,2001,paro,138,No pub data and R from unpub data,41,11,1,Fixed,Licensed,No,Comparator,HAMD17,26,6,12,Others,74,0,Yes,,Multi-center,Both,No,24,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,3,0,Low risk,0,1,0,0,1,paro,m
a08,3,2,Kennedy2006 (CL3-20098-043),0,2003,2003,Plac,105,R can come both from pub and unpub data and match,43,12,1,Flexible,Licensed,No,Comparator,HAMD17,27,6,17,LOCF,36,0,Yes,,Multi-center,Both,No,6,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,0,2,0,Low risk,0,1,1,1,0,Plac,h
a07,3,1,Kennedy2006 (CL3-20098-043),0,2003,2003,agom,107,R can come both from pub and unpub data and match,42,13,1,Flexible,Licensed,Yes,Investigational,HAMD17,27,6,14,LOCF,52,0,Yes,,Multi-center,Both,No,6,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,0,Moderate risk,0,1,1,1,0,agom,h
a10,4,2,Olie2007 (CL3-20098-042),0,2004,2004,Plac,120,R can come both from pub and unpub data and match,46,11,1,Flexible,Licensed,No,Comparator,HAMD17,27,6,17,LOCF,42,0,Yes,Europe,Multi-center,Both,No,6,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,0,0,0,Low risk,0,2,1,Low risk,0,1,1,1,0,Plac,l
a09,4,1,Olie2007 (CL3-20098-042),0,2004,2004,agom,118,R can come both from pub and unpub data and match,44,12,1,Flexible,Licensed,Yes,Investigational,HAMD17,27,6,14,LOCF,63,0,Yes,Europe,Multi-center,Both,No,6,No,Low risk of bias,Low risk of bias,Stated but not tested,Stated but not tested,Unclear risk of bias,Low risk of bias,Low risk of bias,,0,0,Low risk,,2,1,Moderate risk,0,1,1,1,0,agom,l
