Study_No,Study_ID,Drug,OverallEfficM,OverallEfficSD,OverallEfficN,No_randomised,RoB,Year,sec_OverallEfficM,sec_OverallEfficSD,sec_OverallEfficN
3,Abdolahian 2008,Haloperidol,86.1,17,30,30,1,2000,86.1,17,30
3,Abdolahian 2008,Risperidone,71.3,17,35,35,1,2000,71.3,17,35
3345,Abuzzahab 1977a,Fluphenazine,31.3,11.34306207,16,31,1,2000,31.3,11.34306207,16
3345,Abuzzahab 1977a,Pimozide,22.3,11.34306207,16,31,1,2000,22.3,11.34306207,16
518,Addington 2004,Risperidone,-27.3,20.48923902,132,147,1,2000,-27.3,20.48923902,132
518,Addington 2004,Ziprasidone,-25.8,20.48923902,125,149,1,2000,-25.8,20.48923902,125
523,Allan 1998,Haloperidol,85.3,14.6,10,10,1,2000,85.3,14.6,10
523,Allan 1998,Olanzapine,83.4,26.2,13,13,1,2000,83.4,26.2,13
1158,Alvarez 2012,Olanzapine,-17.5,15.48,23,24,1,2000,-17.5,15.48,23
1158,Alvarez 2012,Ziprasidone,-5.4,15.48,26,28,1,2000,-5.4,15.48,26
14,Arvanitis 1997,Haloperidol,-7.58,14.85,50,52,1,2000,-7.58,14.85,50
14,Arvanitis 1997,Placebo,1.71,14.71,51,51,1,2000,1.71,14.71,51
14,Arvanitis 1997,Quetiapine,-6.99,14.8,104,105,1,2000,-6.99,14.8,104
533,Azorin 2006,Risperidone,-25.8,22.4,82,89,1,2000,-25.8,22.4,82
533,Azorin 2006,Sertindole,-29.3,23.9,90,98,1,2000,-29.3,23.9,90
1184,Balasubramanian 1991,Chlorpromazine,12.9,9.3,38,44,1,2000,12.9,9.3,38
1184,Balasubramanian 1991,Zuclopenthixol,13.1,11.7,45,50,1,2000,13.1,11.7,45
539,Barbato 2007c,Olanzapine,-22,18.2,148,150,1,2000,-22,18.2,148
539,Barbato 2007c,Placebo,-10.7,19.4,145,145,1,2000,-10.7,19.4,145
28,Barbato 2007d,Haloperidol,-18.9,20.9,50,52,1,2000,-18.9,20.9,50
28,Barbato 2007d,Placebo,-14.7,17.1,51,51,1,2000,-14.7,17.1,51
31,Beasley 1996a,Olanzapine,-12.3,21.8,49,50,1,2000,-12.3,21.8,49
31,Beasley 1996a,Placebo,2.8,20.6,49,50,1,2000,2.8,20.6,49
32,Beasley 1996b,Haloperidol,-12.9,13.5,68,69,1,2000,-12.9,13.5,68
32,Beasley 1996b,Olanzapine,-13.93,16.06,127,133,1,2000,-13.93,16.06,127
32,Beasley 1996b,Placebo,-3.1,17.5,62,68,1,2000,-3.1,17.5,62
33,Beasley 1997,Haloperidol,-20,25.9,79,81,1,2000,-20,25.9,79
33,Beasley 1997,Olanzapine,-24.72,26.64,168,175,1,2000,-24.72,26.64,168
