studlab,name,treat,r,n ,rob,z1,nz,year,funding,co_intervention,sample_size,age,male,duration_pso,weight,pasi_score,previous_topical,previous_photo,previous_systemic
,,,,,,,,,,,,,,,,,,,
1,ACCEPT_2010,ETA,80,347,H,4,347,2010,1,0,903,45,613,19,90,20,874,592,510
,,,,,,,,,,,,,,,,,,,
1,ACCEPT_2010,USK,231,556,H,8,556,2010,1,0,903,45,613,19,90,20,874,592,510
,,,,,,,,,,,,,,,,,,,
2,Igarashi_2012,PBO,1,32,M,2,32,2012,1,0,160,45,126,16,72,30,158,107,119
,,,,,,,,,,,,,,,,,,,
2,Igarashi_2012,USK,48,126,M,3,126,2012,1,0,160,45,126,16,72,30,158,107,119
,,,,,,,,,,,,,,,,,,,
3,Krueger_2007,USK,95,256,L,9,256,2007,1,0,320,45,222,18,93,19,,,
,,,,,,,,,,,,,,,,,,,
3,Krueger_2007,PBO,1,64,L,1,64,2007,1,0,320,45,222,18,93,19,,,
,,,,,,,,,,,,,,,,,,,
4,PHOENIX1_2008,USK,200,511,L,6,511,2008,1,0,766,45,531,20,93.5,20.5,726,492,424
,,,,,,,,,,,,,,,,,,,
4,PHOENIX1_2008,PBO,5,255,L,2,255,2008,1,0,766,45,531,20,93.5,20.5,726,492,424
,,,,,,,,,,,,,,,,,,,
5,PHOENIX2_2008,USK,382,820,L,13,820,2008,1,0,1230,47,840,20,91,19.5,1173,829,688
,,,,,,,,,,,,,,,,,,,
5,PHOENIX2_2008,PBO,3,410,L,8,410,2008,1,0,1230,47,840,20,91,19.5,1173,829,688
,,,,,,,,,,,,,,,,,,,
6,PEARL_2011,USK,30,61,L,0,61,2011,1,0,121,41,103,13,74,24,118,101,86
,,,,,,,,,,,,,,,,,,,
6,PEARL_2011,PBO,1,60,L,2,60,2011,1,0,121,41,103,13,74,24,118,101,86
,,,,,,,,,,,,,,,,,,,
7,FEATURE_2015,PBO,0,59,L,1,59,2014,1,0,177,46,117,19,92,21,,,88
,,,,,,,,,,,,,,,,,,,
7,FEATURE_2015,SECU,63,118,L,4,118,2014,1,0,177,46,117,19,92,21,,,88
,,,,,,,,,,,,,,,,,,,
8,ERASURE_2014,SECU,240,490,L,10,490,2014,1,0,738,45,509,17.5,89,22,,,361
,,,,,,,,,,,,,,,,,,,
8,ERASURE_2014,PBO,3,248,L,4,248,2014,1,0,738,45,509,17.5,89,22,,,361
,,,,,,,,,,,,,,,,,,,
9,FIXTURE_2014,PBO,5,326,L,6,326,2014,1,0,1306,44,929,16.5,83,23.5,,,796
,,,,,,,,,,,,,,,,,,,
9,FIXTURE_2014,ETA,67,326,L,3,326,2014,1,0,1306,44,929,16.5,83,23.5,,,796
,,,,,,,,,,,,,,,,,,,
9,FIXTURE_2014,SECU,312,654,L,11,654,2014,1,0,1306,44,929,16.5,83,23.5,,,796
