studlab,treat1,treat2,n1,y1,sd1,n2,y2,sd2,Study_No,Study_ID,y2.1,sd1.2,y2.2,sd2.2,n2.1,n2.2,rob,year,age
1,Loxapine,Trifluoperazine,25,24.2,11.34,25,20.79,11.34,1183,Bagadia 1980,24.2,11.34,20.79,11.34,25,25,M,1980,50
2,Fluphenazine,Haloperidol,15,42.4,3.45,15,37.6,3.45,1271,Engelhardt 1973,42.4,3.45,37.6,3.45,15,15,L,1973,51
3,Aripiprazole,Placebo,202,-27.64030612,14.85027856,100,-21.2,18.8,1017,Findling 2008,-27.64030612,14.85027856,-21.2,18.8,202,100,L,2008,54
4,Placebo,Quetiapine,75,-19.15,25.97,147,-27.87884354,19.42948751,1015,Findling 2012,-19.15,25.97,-27.87884354,19.42948751,75,147,L,2012,60
5,Placebo,Ziprasidone,90,-21,15.77,193,-23.6,18.94,3123,Findling 2013,-21,15.77,-23.6,18.94,90,193,L,2013,51
6,Asenapine,Placebo,204,-24.64172185,17.75371562,102,-17.8,17.8,1013,Findling 2015,-24.64172185,17.75371562,-17.8,17.8,204,102,L,2015,51
7,Placebo,Risperidone,54,-10.3,14.62,106,-23.33653846,16.99980417,1319,Haas 2009,-10.3,14.62,-23.33653846,16.99980417,54,106,L,1996,51
8,Olanzapine,Placebo,72,-21.3,21.15,35,-8.8,21.15,256,Kryzhanovskaya 2009,-21.3,21.15,-8.8,21.15,72,35,L,1980,51
9,Clozapine,Haloperidol,10,52.5,12.6,11,64.7,18.1,760,Kumra 1996,52.5,12.6,64.7,18.1,10,11,H,1980,51
10,Loxapine,Trifluoperazine,26,18.6,11.34,26,20.95,11.34,3479,Malik 1980,18.6,11.34,20.95,11.34,26,26,H,2017,51
11,Lurasidone,Placebo,214,-18.45140187,16.49932496,113,-10.5,16.83,3179,NCT01911429,-18.45140187,16.49932496,-10.5,16.83,214,113,H,2017,51
12,Aripiprazole,Quetiapine,58,59.98,14.34,55,60.95,14.34,4104,Pagsberg 2017,59.98,14.34,60.95,14.34,58,55,M,2006,51
13,Aripiprazole,Paliperidone,115,-26.8,18.82,113,-25.6,16.88,1100,Savitz 2015_26weeks,-26.8,18.82,-25.6,16.88,115,113,M,2004,47
14,Clozapine,Olanzapine,12,-20,18.33030278,13,-13,18.33030278,600,Shaw 2006,-20,18.33030278,-13,18.33030278,12,13,M,2004,47
15,Haloperidol,Olanzapine,15,33,19,16,22,12,93,Sikich 2004,33,19,22,12,15,16,L,2004,47
16,Haloperidol,Risperidone,15,33,19,20,27,20,93,Sikich 2004,33,19,27,20,15,20,L,2004,47
17,Olanzapine,Risperidone,16,22,12,20,27,20,93,Sikich 2004,22,12,27,20,16,20,L,2004,47
18,Molindone,Olanzapine,41,-27,17.7,36,-26.6,17.8,94,Sikich 2008,-27,17.7,-26.6,17.8,41,36,L,2008,47
19,Molindone,Risperidone,41,-27,17.7,42,-23.7,25.5,94,Sikich 2008,-27,17.7,-23.7,25.5,41,42,L,2008,48
20,Olanzapine,Risperidone,36,-26.6,17.8,42,-23.7,25.5,94,Sikich 2008,-26.6,17.8,-23.7,25.5,36,42,H,2008,51
21,Paliperidone,Placebo,95,-15.56842105,15.14553596,51,-7.9,20.15,1074,Singh 2011,-15.56842105,15.14553596,-7.9,20.15,95,51,H,2008,52
22,Quetiapine,Risperidone,11,-20.47,17.75435517,11,-25.26,17.75435517,1397,Swadi 2010,-20.47,17.75435517,-25.26,17.75435517,11,11,M,2008,43
23,Haloperidol,Loxapine,25,19.7,11.34,25,20.8,11.34,1062,Versiani 1978,19.7,11.34,20.8,11.34,25,25,L,2008,53
