treat1,treat2,n1,y1,sd1,n2,y2,sd2,Study_No,studlab,y2.1,sd1.2,y2.2,sd2.2,n2.1,n2.2,rob,year,age,effect_size1,TE,seTE,effect_size2,TE2,seTE2
Loxapine,Trifluoperazine,25,24.2,11.34,25,20.79,11.34,1183,Bagadia 1980,24.2,11.34,20.79,11.34,25,25,2,1980,50,MD,3.41,3.207,MD,3.41,3.207
Fluphenazine,Haloperidol,15,42.4,3.45,15,37.6,3.45,1271,Engelhardt 1973,42.4,3.45,37.6,3.45,15,15,1,1973,51,MD,4.8,1.26,MD,4.8,1.26
Aripiprazole,Placebo,202,-27.64030612,14.85027856,100,-21.2,18.8,1017,Findling 2008,-27.64030612,14.85027856,-21.2,18.8,202,100,1,2008,54,MD,-6.44,2.151,MD,-6.44,2.151
Placebo,Quetiapine,75,-19.15,25.97,147,-27.87884354,19.42948751,1015,Findling 2012,-19.15,25.97,-27.87884354,19.42948751,75,147,1,2012,60,MD,8.729,3.4,MD,8.729,3.4
Placebo,Ziprasidone,90,-21.0,15.77,193,-23.6,18.94,3123,Findling 2013,-21.0,15.77,-23.6,18.94,90,193,1,2013,51,MD,2.6,2.15,MD,2.6,2.15
Asenapine,Placebo,204,-24.64172185,17.75371562,102,-17.8,17.8,1013,Findling 2015,-24.64172185,17.75371562,-17.8,17.8,204,102,1,2015,51,MD,-6.842,2.157,MD,-6.842,2.157
Placebo,Risperidone,54,-10.3,14.62,106,-23.33653846,16.99980417,1319,Haas 2009,-10.3,14.62,-23.33653846,16.99980417,54,106,1,1996,51,MD,13.037,2.585,MD,13.037,2.585
Olanzapine,Placebo,72,-21.3,21.15,35,-8.8,21.15,256,Kryzhanovskaya 2009,-21.3,21.15,-8.8,21.15,72,35,1,1980,51,MD,-12.5,4.358,MD,-12.5,4.358
Clozapine,Haloperidol,10,52.5,12.6,11,64.7,18.1,760,Kumra 1996,52.5,12.6,64.7,18.1,10,11,3,1980,51,MD,-12.2,6.757,MD,-12.2,6.757
Loxapine,Trifluoperazine,26,18.6,11.34,26,20.95,11.34,3479,Malik 1980,18.6,11.34,20.95,11.34,26,26,3,2017,51,MD,-2.35,3.145,MD,-2.35,3.145
Lurasidone,Placebo,214,-18.45140187,16.49932496,113,-10.5,16.83,3179,NCT01911429,-18.45140187,16.49932496,-10.5,16.83,214,113,3,2017,51,MD,-7.951,1.944,MD,-7.951,1.944
Aripiprazole,Quetiapine,58,59.98,14.34,55,60.95,14.34,4104,Pagsberg 2017,59.98,14.34,60.95,14.34,58,55,2,2006,51,MD,-0.97,2.699,MD,-0.97,2.699
Aripiprazole,Paliperidone,115,-26.8,18.82,113,-25.6,16.88,1100,Savitz 2015_26weeks,-26.8,18.82,-25.6,16.88,115,113,2,2004,47,MD,-1.2,2.367,MD,-1.2,2.367
Clozapine,Olanzapine,12,-20.0,18.33030278,13,-13.0,18.33030278,600,Shaw 2006,-20.0,18.33030278,-13.0,18.33030278,12,13,2,2004,47,MD,-7.0,7.338,MD,-7.0,7.338
Haloperidol,Olanzapine,15,33.0,19.0,16,22.0,12.0,93,Sikich 2004,33.0,19.0,22.0,12.0,15,16,1,2004,47,MD,11.0,5.75,MD,11.0,5.75
Haloperidol,Risperidone,15,33.0,19.0,20,27.0,20.0,93,Sikich 2004,33.0,19.0,27.0,20.0,15,20,1,2004,47,MD,6.0,6.638,MD,6.0,6.638
Olanzapine,Risperidone,16,22.0,12.0,20,27.0,20.0,93,Sikich 2004,22.0,12.0,27.0,20.0,16,20,1,2004,47,MD,-5.0,5.385,MD,-5.0,5.385
Molindone,Olanzapine,41,-27.0,17.7,36,-26.6,17.8,94,Sikich 2008,-27.0,17.7,-26.6,17.8,41,36,1,2008,47,MD,-0.4,4.055,MD,-0.4,4.055
Molindone,Risperidone,41,-27.0,17.7,42,-23.7,25.5,94,Sikich 2008,-27.0,17.7,-23.7,25.5,41,42,1,2008,48,MD,-3.3,4.809,MD,-3.3,4.809
Olanzapine,Risperidone,36,-26.6,17.8,42,-23.7,25.5,94,Sikich 2008,-26.6,17.8,-23.7,25.5,36,42,3,2008,51,MD,-2.9,4.928,MD,-2.9,4.928
Paliperidone,Placebo,95,-15.56842105,15.14553596,51,-7.9,20.15,1074,Singh 2011,-15.56842105,15.14553596,-7.9,20.15,95,51,3,2008,52,MD,-7.668,3.221,MD,-7.668,3.221
Quetiapine,Risperidone,11,-20.47,17.75435517,11,-25.26,17.75435517,1397,Swadi 2010,-20.47,17.75435517,-25.26,17.75435517,11,11,2,2008,43,MD,4.79,7.57,MD,4.79,7.57
Haloperidol,Loxapine,25,19.7,11.34,25,20.8,11.34,1062,Versiani 1978,19.7,11.34,20.8,11.34,25,25,1,2008,53,MD,-1.1,3.207,MD,-1.1,3.207
