comparison,direct,indirect,p-value
ADA:BIME,0.602621697,0.557911152,0.437083978
ADA:GUSEL,0.688856924,0.79015153,0.09979484
ADA:PBO,15.31255659,18.07966023,0.415987925
ADA:RISAN,0.654031869,0.555742511,0.10214668
APRE:ETA,0.705882353,0.749491659,0.915567783
APRE:PBO,6.954681362,8.706560948,0.684792849
BIME:PBO,25.52257941,30.49872937,0.677420634
BIME:SECU,1.150670241,1.158327159,0.929038888
BIME:USK,1.711434176,1.569358182,0.355784216
BRODA:PBO,26.6006313,23.62230462,0.637537152
BRODA:USK,1.270016681,1.476051496,0.590952989
CERTO:ETA,1.196491228,1.867176814,0.361089393
CERTO:PBO,19.7279593,12.46909719,0.335923211
ETA:IFX,0.108695652,0.251653313,0.456797105
ETA:IXE,0.343304246,0.367659966,0.541594175
ETA:PBO,11.66838443,10.32308771,0.565080149
ETA:SECU,0.430804625,0.397703112,0.550765279
ETA:TILDRA,0.568075694,0.643611009,0.768761935
ETA:USK,0.554910987,0.566895478,0.8691879
FUM:MTX,0.5,0.769831525,0.793850466
FUM:PBO,4.469964664,2.903209677,0.793850466
GUSEL:IXE,0.773300773,0.859279524,0.222036033
GUSEL:PBO,27.76493388,23.72606218,0.586588269
GUSEL:SECU,0.908388172,0.939225903,0.624425898
IFX:PBO,42.5525808,98.51818086,0.456797105
IXE:PBO,37.65238422,29.50852882,0.426450565
IXE:USK,1.407412965,1.713590481,0.036198401
MTX:PBO,5.806419354,8.939929329,0.793850466
PBO:RISAN,0.044417759,0.03383318,0.36463475
PBO:SECU,0.043992353,0.03679829,0.403495579
PBO:SONELO,0.015333701,0.03974155,0.501148689
PBO:TILDRA,0.05797744,0.053227625,0.833239557
PBO:USK,0.055992209,0.051820879,0.685953831
RISAN:SECU,1.123945749,1.076195858,0.644343614
RISAN:USK,1.653633473,1.440827809,0.1591334
SECU:SONELO,1.038249197,0.306147043,0.501148689
SECU:USK,1.3979262,1.371533639,0.758350201
