comparison,direct,indirect,p-value
ADA:GUSEL,1.149627081,1.074724328,0.910293346
ADA:PBO,1.231115393,0.574012875,0.129279366
ADA:RISAN,0.891118421,1.931418888,0.175526681
APRE:ETA,1.4,0.965520504,0.678363921
APRE:PBO,0.845327645,0.904047605,0.945476593
BRODA:PBO,0.89592476,2.409736828,0.255052184
BRODA:USK,1.437609313,0.847048218,0.424384925
CERTO:ETA,4.071856287,1.087686989,0.288876517
CERTO:PBO,0.99450738,114.7902679,0.061691202
ETA:IFX,1.086956522,0.520065313,0.611996004
ETA:IXE,0.926868173,0.691599179,0.607851815
ETA:PBO,0.735992852,1.098077355,0.374636552
ETA:SECU,0.752300613,0.821476081,0.914320542
ETA:TILDRA,1.716453674,0.475945087,0.221209547
ETA:TOFA,1.383333333,0.799819456,0.462609877
ETA:USK,0.602305476,0.937370166,0.560197557
GUSEL:IXE,0.833333333,1.000384434,0.75411547
GUSEL:PBO,1.066287527,0.812731082,0.624372078
IFX:PBO,1.564081435,0.74835054,0.611996004
IXE:PBO,0.986887374,1.072697872,0.872088915
IXE:USK,6.098901099,1.012430521,0.255159485
PBO:RISAN,1.959426196,1.100719266,0.218265075
PBO:SECU,0.920853287,1.078455737,0.710018371
PBO:TILDRA,1.144425355,2.408881631,0.551431955
PBO:TOFA,1.071016736,2.048394164,0.463736675
PBO:USK,1.006047343,1.141044887,0.750331749
RISAN:SECU,1.490853659,0.532170054,0.086575788
RISAN:USK,0.541572114,1.066903752,0.163797926
SECU:USK,1.26444075,0.915181334,0.462854678
