"","comparison","k","direct","nma","indirect","p.value"
"1","ADA:APRE",0,NA,1.18131044520425,1.18131044520425,NA
"2","ADA:BIME",1,2.0062893081761,1.92938141905343,1.88268808954293,0.936418985263049
"3","ADA:BRODA",0,NA,0.976366739441398,0.976366739441398,NA
"4","ADA:CERTO",0,NA,1.4413506576053,1.4413506576053,NA
"5","ADA:CICLO",0,NA,0.17791159304262,0.17791159304262,NA
"6","ADA:DEUCRAVA",0,NA,1.65671836897992,1.65671836897992,NA
"7","ADA:ETA",0,NA,1.26467987032804,1.26467987032804,NA
"8","ADA:FUM",0,NA,1.15193402135222,1.15193402135222,NA
"9","ADA:GUSEL",3,1.09790986099227,1.11426967227819,1.12803319123449,0.955526786310057
"10","ADA:IFX",0,NA,0.853654338412184,0.853654338412184,NA
"11","ADA:IXE",0,NA,1.11067523204474,1.11067523204474,NA
"12","ADA:MTX",0,NA,12.6454086131832,12.6454086131832,NA
"13","ADA:NETA",0,NA,1.27913952418204,1.27913952418204,NA
"14","ADA:PBO",9,1.19177277754012,1.00746387302833,0.701390990029548,0.221706498724793
"15","ADA:RISAN",1,0.891118421052631,1.37984602476612,1.72622155975132,0.234431421832085
"16","ADA:SECU",0,NA,0.947700697737823,0.947700697737823,NA
"17","ADA:SONELO",0,NA,0.816221440730371,0.816221440730371,NA
"18","ADA:TILDRA",0,NA,1.26800285168819,1.26800285168819,NA
"19","ADA:USK",0,NA,1.04222048695342,1.04222048695342,NA
"20","APRE:BIME",0,NA,1.6332551928971,1.6332551928971,NA
"21","APRE:BRODA",0,NA,0.826511560449786,0.826511560449786,NA
"22","APRE:CERTO",0,NA,1.22012859825013,1.22012859825013,NA
"23","APRE:CICLO",0,NA,0.150605282265035,0.150605282265035,NA
"24","APRE:DEUCRAVA",0,NA,1.40244114128143,1.40244114128143,NA
"25","APRE:ETA",1,1.4,1.07057367981655,1.01398389378035,0.71762916836444
"26","APRE:FUM",0,NA,0.975132342246453,0.975132342246453,NA
"27","APRE:GUSEL",0,NA,0.943248810506815,0.943248810506815,NA
"28","APRE:IFX",0,NA,0.722633361854838,0.722633361854838,NA
"29","APRE:IXE",0,NA,0.940206053839385,0.940206053839385,NA
"30","APRE:MTX",0,NA,10.7045600625302,10.7045600625302,NA
"31","APRE:NETA",0,NA,1.08281403027878,1.08281403027878,NA
"32","APRE:PBO",7,0.851569974225133,0.852835829157626,0.865446070821504,0.986819637676564
"33","APRE:RISAN",0,NA,1.16806384838791,1.16806384838791,NA
"34","APRE:SECU",0,NA,0.802245253637762,0.802245253637762,NA
