Trial_ID,stats_name,n_Randomized,All_cause_mortality_events_D1428,Year,ROB_6_mortality_D28,rob
110,Convalescent plasma,179,7,2021,Low,l
110,Standard care/Placebo,171,14,2021,Low,l
111,Interferon beta-1b,40,2,2020,Some concerns,m
111,Standard care/Placebo,40,6,2020,Some concerns,m
112,Hydrocortisone,76,11,2020,Low,l
112,Standard care/Placebo,73,20,2020,Low,l
113,Fixed-dose hydrocortisone,143,41,2020,Some concerns,m
113,Standard care/Placebo,108,33,2020,Some concerns,m
114,Dexamethasone,151,85,2020,Some concerns,m
114,Standard care/Placebo,148,91,2020,Some concerns,m
123,Convalescent plasma,235,34,2020,Some concerns,m
123,Standard care/Placebo,229,31,2020,Some concerns,m
125,Tocilizumab,301,58,2022,Low,l
125,Standard care/Placebo,151,28,2022,Low,l
131,rhG-CSF,100,3,2020,Some concerns,m
131,Standard care/Placebo,100,12,2020,Some concerns,m
148,Convalescent plasma,28,5,2021,Low,l
148,Late CP,30,2,2021,Low,l
164,Interferon beta-1a,2063,243,2020,Low,l
164,Standard care/Placebo,2064,216,2020,Low,l
167,Methylprednisolone,24,13,2020,Some concerns,m
167,Standard care/Placebo,23,13,2020,Some concerns,m
168,Dexamethasone,7,2,2020,Low,l
168,Standard care/Placebo,12,2,2020,Low,l
169,Tocilizumab,60,2,2020,Some concerns,m
169,Standard care/Placebo,66,1,2020,Some concerns,m
171,Tocilizumab,64,7,2020,Some concerns,m
171,Standard care/Placebo,67,8,2020,Some concerns,m
173,Tocilizumab,161,9,2020,Low,l
173,Standard care/Placebo,82,3,2020,Low,l
174,Hydrocortisone,15,6,2020,Low,l
174,Standard care/Placebo,14,2,2020,Low,l
180,Tocilizumab,259,26,2020,Low,l
180,Standard care/Placebo,129,11,2020,Low,l
182,Convalescent plasma,15,3,2022,Some concerns,m
182,Standard plasma,16,1,2022,Some concerns,m
195,IV Ig,52,24,2020,Some concerns,m
195,Standard care/Placebo,32,14,2020,Some concerns,m
200,Convalescent plasma,20,1,2021,Some concerns,m
200,Standard care/Placebo,20,2,2021,Some concerns,m
205,Convalescent plasma,80,2,2021,Low,l
205,Standard care/Placebo,80,4,2021,Low,l
206,Convalescent plasma,228,25,2020,Low,l
206,Standard care/Placebo,106,12,2020,Low,l
209,Convalescent plasma,40,10,2022,High,h
209,Standard care/Placebo,40,14,2022,High,h
211,Itolizumab,22,1,2021,Some concerns,m
211,Standard care/Placebo,10,3,2021,Some concerns,m
232,Tocilizumab,366,98,2021,Some concerns,m
232,Sarilumab,48,10,2021,Some concerns,m
232,Standard care/Placebo,412,142,2021,Some concerns,m
24,Ruxolitinib,22,0,2020,Some concerns,m
24,Standard care/Placebo,21,3,2020,Some concerns,m
244,Interferon beta-1a High,83,34,2021,Some concerns,m
244,Interferon beta-1a,85,31,2021,Some concerns,m
245,INF-beta-1a+INF-beta-1b,40,10,2021,Some concerns,m
245,Interferon beta-1b,20,6,2021,Some concerns,m
245,Interferon beta-1a,20,4,2021,Some concerns,m
245,Standard care/Placebo,20,9,2021,Some concerns,m
25,Interferon beta-1a,46,8,2020,High,h
25,Standard care/Placebo,46,17,2020,High,h
250,Tocilizumab,65,14,2021,Some concerns,m
250,Standard care/Placebo,64,6,2021,Some concerns,m
252,Anakinra,59,13,2021,Low,l
252,Standard care/Placebo,57,13,2021,Low,l
254,Methylprednisolone,43,0,2021,Some concerns,m
254,Standard care/Placebo,43,1,2021,Some concerns,m
26,Convalescent plasma,52,8,2020,Some concerns,m
26,Standard care/Placebo,51,12,2020,Some concerns,m
261,Methylprednisolone,47,8,2021,Some concerns,m
261,Dexamethasone,46,15,2021,Some concerns,m
267,Sarilumab,334,30,2021,Low,l
267,Standard care/Placebo,86,7,2021,Low,l
274,Tocilizumab,2022,621,2021,Low,l
274,Standard care/Placebo,2094,729,2021,Low,l
277,INM005,120,8,2021,Low,l
277,Standard care/Placebo,125,14,2021,Low,l
280,Convalescent plasma,21,1,2020,,
280,Standard care/Placebo,28,8,2020,,
282,Dexamethasone,25,16,2021,Some concerns,m
282,Standard care/Placebo,25,15,2021,Some concerns,m
283,IV Ig,50,0,2021,Some concerns,m
283,Standard care/Placebo,50,1,2021,Some concerns,m
295,Tocilizumab,90,13,2021,Some concerns,m
295,Standard care/Placebo,90,15,2021,Some concerns,m
296,Convalescent plasma,5795,1399,2021,Low,l
296,Standard care/Placebo,5763,1408,2021,Low,l
300,Convalescent plasma,150,19,2021,Low,l
300,Standard plasma,73,18,2021,Low,l
304,Mavrilimumab,21,1,2021,Some concerns,m
304,Standard care/Placebo,19,3,2021,Some concerns,m
311,TD-0903,7,0,2021,Some concerns,m
311,Standard care/Placebo,6,2,2021,Some concerns,m
321,Thalidomide,30,4,2021,High,h
321,Standard care/Placebo,30,6,2021,High,h
