id,treat,total,events,year,rob
110,Inf Beta,2063,,2020,
110,Standard Care,2064,,2020,
113,Standard Care,67,14,2020,Medium
113,Tocilizumab,64,7,2020,Medium
114,Standard Care,66,,2020,
114,Tocilizumab,60,,2020,
123,Placebo,82,,2020,
123,Tocilizumab,161,,2020,
127,Placebo,129,,2020,
127,Tocilizumab,259,,2020,
136,Iv Ig,52,,2020,
136,Standard Care,32,,2020,
147,Convalescent Plasma,20,,2021,
147,Standard Care,20,,2021,
150,Hydrocortisone,15,,2020,
150,Placebo,14,,2020,
152,Convalescent Plasma,80,2,2021,Low
152,Placebo,80,5,2021,Low
153,Methylprednisolone,24,,2020,
153,Standard Care,23,,2020,
154,Dexamethasone,7,,2020,
154,Standard Care,12,,2020,
155,Convalescent Plasma,228,44,2020,Low
155,Placebo,106,22,2020,Low
156,Convalescent Plasma,40,,2020,
156,Standard Care,40,,2020,
163,Ly-Cov555,169,9,2021,Low
163,Placebo,157,5,2021,Low
169,Itolizumab,22,0,2021,Medium
169,Standard Care,10,0,2021,Medium
170,Sarilumab,48,,2021,
170,Standard Care,412,,2021,
170,Tocilizumab,366,,2021,
179,Standard Care,64,10,2021,Medium
179,Tocilizumab,65,18,2021,Medium
184,Placebo,86,,2021,
184,Sarilumab,334,,2021,
189,Anakinra,59,,2021,Low
189,Standard Care,57,,2021,Low
191,Standard Care,2094,,2021,
191,Tocilizumab,2022,,2021,
201,Inf Beta,40,,2021,
201,Standard Care,20,,2021,
205,Methylprednisolone,43,,2021,
205,Placebo,43,,2021,
207,Convalescent Plasma,21,,2020,
207,Standard Care,28,,2020,
209,Dexamethasone,46,,2021,
209,Methylprednisolone,47,,2021,
211,Convalescent Plasma,15,,2020,
211,Standard Care,15,,2020,
217,Iv Ig,50,,2021,
217,Standard Care,50,,2021,
219,Standard Care,90,,2021,
219,Tocilizumab,90,,2021,
220,Convalescent Plasma,5795,,2021,
220,Standard Care,5763,,2021,
229,Dexamethasone,25,18,2021,Medium
229,Standard Care,25,16,2021,Medium
232,Mavrilimumab,21,1,2021,Medium
232,Placebo,19,4,2021,Medium
24,Ruxolitinib,22,0,2020,Medium
24,Vitamin C,21,0,2020,Medium
244,Placebo,6,2,2021,Medium
244,Td-0903,19,1,2021,Medium
245,Inf Alpha,20,0,2021,Medium
245,Standard Care,20,0,2021,Medium
248,Convalescent Plasma,31,,2021,
248,Standard Care,31,,2021,
25,Inf Beta,46,8,2020,High
25,Standard Care,46,16,2020,High
253,Canakinumab,29,5,2021,Low
253,Placebo,16,4,2021,Low
26,Convalescent Plasma,52,,2020,
26,Standard Care,51,,2020,
260,Cerc-002,41,,2021,
260,Placebo,42,,2021,
263,Otilimab,403,,2021,
263,Placebo,403,,2021,
