Treatment,RR,CI_lower,CI_upper,se,WEIGHT,tau2,Reference
AIL17,1.507274614,1.319178639,1.722190379,0.068007055,14.70435673,0.027575793,AIL1223
AIL23,1.211252197,1.033200642,1.419987391,0.081119028,12.32756395,0.027575793,AIL1223
ATA,0.685598529,0.580650681,0.80951484,0.084766777,11.79707465,0.027575793,AIL1223
CSA,0.238136268,0.104476268,0.542791996,0.42034853,2.378978227,0.027575793,AIL1223
PBO,0.051292714,0.041902776,0.062786831,0.103161553,9.693533755,0.027575793,AIL1223
SM,0.477732499,0.35348743,0.645647685,0.153675013,6.507238761,0.027575793,AIL1223
AIL1223,19.49594631,15.9269066,23.86476748,0.103161553,9.693533755,0.027575793,PBO
AIL17,29.38574494,24.29028729,35.55009438,0.097159755,10.29232728,0.027575793,PBO
AIL23,23.6145078,19.50815733,28.5852205,0.09746355,10.26024601,0.027575793,PBO
ATA,13.36639211,11.17835765,15.98270906,0.091206096,10.96417936,0.027575793,PBO
CSA,4.642691893,2.088838109,10.3189366,0.407493043,2.454029624,0.027575793,PBO
SM,9.31384715,7.085854207,12.24238408,0.139490715,7.16893592,0.027575793,PBO
AIL1223,0.663449109,0.580655898,0.758047447,0.068007055,14.70435673,0.027575793,AIL17
AIL23,0.803604191,0.692322643,0.932772751,0.076048344,13.14953022,0.027575793,AIL17
ATA,0.454859733,0.391821397,0.528040017,0.076113764,13.13822826,0.027575793,AIL17
CSA,0.157991295,0.069509582,0.359105155,0.41891598,2.38711352,0.027575793,AIL17
PBO,0.034030105,0.028129321,0.041168719,0.097159755,10.29232728,0.027575793,AIL17
SM,0.316951201,0.236511542,0.424749096,0.149362659,6.695113805,0.027575793,AIL17
AIL1223,1.458579559,1.235307805,1.722205851,0.084766777,11.79707465,0.027575793,ATA
AIL17,2.198479941,1.893795865,2.552183232,0.076113764,13.13822826,0.027575793,ATA
AIL23,1.766707696,1.540482649,2.026154649,0.069909173,14.30427443,0.027575793,ATA
CSA,0.347340693,0.153217508,0.787413649,0.417575301,2.394777652,0.027575793,ATA
PBO,0.074814504,0.062567616,0.08945858,0.091206096,10.96417936,0.027575793,ATA
SM,0.696810858,0.533306316,0.910443692,0.136437779,7.329348268,0.027575793,ATA
AIL1223,4.199276359,1.842326356,9.57155169,0.42034853,2.378978227,0.027575793,CSA
AIL17,6.329462652,2.784699651,14.38650572,0.41891598,2.38711352,0.027575793,CSA
AIL23,5.086382717,2.237486835,11.56265536,0.418986544,2.386711494,0.027575793,CSA
ATA,2.879017694,1.269980526,6.526669278,0.417575301,2.394777652,0.027575793,CSA
PBO,0.215392282,0.096909211,0.478735042,0.407493043,2.454029624,0.027575793,CSA
SM,2.006130789,0.862450781,4.666423673,0.430706675,2.321765734,0.027575793,CSA
AIL1223,0.825591898,0.704231605,0.96786622,0.081119028,12.32756395,0.027575793,AIL23
AIL17,1.244393709,1.072072484,1.444413252,0.076048344,13.14953022,0.027575793,AIL23
ATA,0.566024591,0.493545742,0.649147201,0.069909173,14.30427443,0.027575793,AIL23
CSA,0.196603373,0.086485324,0.446930004,0.418986544,2.386711494,0.027575793,AIL23
PBO,0.042346849,0.034983113,0.051260608,0.09746355,10.26024601,0.027575793,AIL23
SM,0.39441208,0.295231843,0.526910945,0.147773111,6.767131012,0.027575793,AIL23
AIL1223,2.09322163,1.548832318,2.828954911,0.153675013,6.507238761,0.027575793,SM
AIL17,3.155059823,2.354331082,4.228123463,0.149362659,6.695113805,0.027575793,SM
AIL23,2.535419298,1.897853916,3.387168508,0.147773111,6.767131012,0.027575793,SM
ATA,1.43510967,1.098365565,1.875094988,0.136437779,7.329348268,0.027575793,SM
CSA,0.498471987,0.214296873,1.159486457,0.430706675,2.321765734,0.027575793,SM
PBO,0.107367019,0.081683436,0.141126245,0.139490715,7.16893592,0.027575793,SM
